command_id	source_command_de	component_recipe	portable_core_de	default_surface	allowed_observed_surfaces	readback_de
C01	Diesen Posten setzen	OK+Y	SETZEN · DIES	qoky	qoky|oky|qokchy|choky|okchy|okchey	SETZEN · DIES
C02	Eine Einheit setzen	OK+AIN	SETZEN · EINHEIT	qokain	qokain|okain|chokain	SETZEN · EINHEIT
C03	Diesen Posten kurz halten	SH+E+Y	HALTEN · KURZ · DIES	shey	shey|tshey	HALTEN · KURZ · DIES
C04	Diesen Posten länger halten	SH+EE+Y	HALTEN · LÄNGER · DIES	cheey	cheey|sheey	HALTEN · LÄNGER · DIES
C05	Kurz setzen und schließen	OK+E+DY	SETZEN · KURZ · SCHLIESSEN	qokedy	qokedy|okedy	SETZEN · KURZ · SCHLIESSEN
C06	Länger setzen und schließen	OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	qokeedy	qokeedy|okeedy	SETZEN · LÄNGER · SCHLIESSEN
C07	Diesen Posten umsetzen	CHD+Y	UMSETZEN · DIES	chedy	chedy|chdy|chedchy	UMSETZEN · DIES
C08	Absetzen und schließen	SHED+DY	ABSETZEN · SCHLIESSEN	shedy	shedy	ABSETZEN · SCHLIESSEN
C09	Fortsetzen und schließen	OL+DY	FORTSETZEN · SCHLIESSEN	oldy	oldy|qoldy	FORTSETZEN · SCHLIESSEN
C10	Ziel auswählen	S+AL	AUSWÄHLEN · ZIEL	sal	sal	AUSWÄHLEN · ZIEL
C11	Danach aus der Quelle	OT+AR	DANACH · QUELLE	otar	otar|qotar	DANACH · QUELLE
C12	Aus der Quelle setzen	OK+AR	SETZEN · QUELLE	okar	okar|qokar	SETZEN · QUELLE
