surface	component_recipe	portable_core_de	events	physical_pages	layers	decode_instruction_de
a	A_ADDR	ORT	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
aiin	AIIN	SOLLWERT	27	f10r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
aildy	A_ADDR+IIN+L+DY	ORT · STUFE · LEITEN · SCHLIESSEN	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ain	AIN	EINHEIT	5	f55v|f67r2|f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
air	AIR	LAUF	5	f67r2|f69v|f70v	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
airchy	AIR+Y	LAUF · DIES	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ajy	A_ADDR+Y	ORT · DIES	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
al	AL	ZIEL	10	f55v|f70v|f75r|f81v|f83r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
alaiin	AL+AIIN	ZIEL · SOLLWERT	1	f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
alain	AL+AIN	ZIEL · EINHEIT	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
alals	AL+AL+S_ADDR	ZIEL · ZIEL · STERNORT	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
aldaiin	AL+D_ADDR+AIIN	ZIEL · TEIL · SOLLWERT	1	f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
aldy	AL+D_ADDR+Y	ZIEL · TEIL · DIES	2	f55v|f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
alody	AL+O+DY	ZIEL · AUSFÜHREN · SCHLIESSEN	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
alos	AL+O+S_ADDR	ZIEL · AUSFÜHREN · STERNORT	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
alsy	AL+S+Y	ZIEL · AUSWÄHLEN · DIES	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
altedy	AL+T+E+D_ADDR+Y	ZIEL · EINSTELLEN · KURZ · TEIL · DIES	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
aly	AL+Y	ZIEL · DIES	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
alys	AL+Y+S	ZIEL · DIES · AUSWÄHLEN	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
am	AM_ADDR	INNEN	10	f10r|f55v|f67r2|f70v|f75r|f88r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
amdy	AM_ADDR+DY	INNEN · SCHLIESSEN	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
amy	AM_ADDR+Y	INNEN · DIES	1	f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ar	AR	QUELLE	21	f55v|f67r2|f69v|f70v|f75r|f83r|f88r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
araiin	AR+AIIN	QUELLE · SOLLWERT	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
aral	AR+AL	QUELLE · ZIEL	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
araly	AR+AL+Y	QUELLE · ZIEL · DIES	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
aram	AR+AM_ADDR	QUELLE · INNEN	1	f67r2	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
arar	AR+AR	QUELLE · QUELLE	2	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
araydy	AR+A_ADDR+Y+DY	QUELLE · ORT · DIES · SCHLIESSEN	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	ORT · HALTEN · DIES · EINSTELLEN · LÄNGER · TEIL	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ay	A_ADDR+Y	ORT · DIES	2	f67r2	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cfholdy	CFH+OL+DY	TRENNEN · FORTSETZEN · SCHLIESSEN	1	f13r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cfhy	CFH+Y	TRENNEN · DIES	2	f10r|f11r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ch	CH	NEHMEN	3	f55v|f69v|f75r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chaiin	CH+AIIN	NEHMEN · SOLLWERT	4	f10r|f11r|f55v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chair	CH+AIR	NEHMEN · LAUF	1	f10r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chal	CH+AL	NEHMEN · ZIEL	3	f56r|f75r|f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
