component_recipe	portable_core_de	default_surface	default_surface_events	allowed_observed_surfaces	variant_count	encode_instruction_de
AIIN	SOLLWERT	daiin	51	daiin|aiin	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AIN	EINHEIT	dain	16	dain|ain	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AIN+Y	EINHEIT · DIES	dainy	1	dainy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AIR	LAUF	air	5	air	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AIR+Y	LAUF · DIES	airchy	1	airchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AIR+Y+DY	LAUF · DIES · SCHLIESSEN	dairydy	1	dairydy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL	ZIEL	dal	25	dal|al|cheal	3	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+AIIN	ZIEL · SOLLWERT	alaiin	1	alaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+AIN	ZIEL · EINHEIT	alain	1	alain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+AL	ZIEL · ZIEL	dalal	2	dalal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+AL+O+DY	ZIEL · ZIEL · AUSFÜHREN · SCHLIESSEN	dalalody	1	dalalody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+AL+S_ADDR	ZIEL · ZIEL · STERNORT	alals	1	alals	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+CHD+DY	ZIEL · UMSETZEN · SCHLIESSEN	dalchdy	1	dalchdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+DY	ZIEL · SCHLIESSEN	daldy	4	daldy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+D_ADDR+AIIN	ZIEL · TEIL · SOLLWERT	aldaiin	1	aldaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+D_ADDR+Y	ZIEL · TEIL · DIES	aldy	2	aldy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+O+DY	ZIEL · AUSFÜHREN · SCHLIESSEN	alody	1	alody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+O+S_ADDR	ZIEL · AUSFÜHREN · STERNORT	alos	1	alos	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+R+OR	ZIEL · MARKIEREN · SATZ	chealror	1	chealror	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+S+Y	ZIEL · AUSWÄHLEN · DIES	alsy	1	alsy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+T+E+D_ADDR+Y	ZIEL · EINSTELLEN · KURZ · TEIL · DIES	altedy	1	altedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AL+Y	ZIEL · DIES	daly	3	daly|aly	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
