edition	paragraph	at	left	right	direct_qokain	full_line
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.36|G009	chey	q{cthh}y	False	qokeey rain shey okeey lkain l dain chey sheckhy q{cthh}y qokl ain
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.42|G003	qokain	qokain	True	qo qokain sheckhy qokain shekain shkain shedy shey qokan cham
ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.44|G003	ol	qokain	True	olshees ol sheckhy qokain ol chedy qol chedy qol keey qolchedy chealy
ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.46|G003	qotain	qokedy	False	ychey qotain sheckhy qokedy qokedy lsheckhy qokain dal tol olchedy
ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.32|G005	cheykain	qokain	True	solchey qoky r cheykain sheckhy qokain okain ol
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.36|G009	chey	qcthhy	False	qokeey rain shey okeey lkain l dain chey sheckhy qcthhy qoklain
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.42|G003	qokain	qokain	True	qo qokain sheckhy qokain shekain shkain shedy shey qokan cham
IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.44|G003	ol	qokain	True	olshees ol sheckhy qokain ol chedy qol chedy qol keey qolchedy chealy
IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.46|G003	qotain	qokedy	False	ychey qotain sheckhy qokedy qokedy lsheckhy qokain dal tol olchedy
IT2a	f80r|f80r.28-f80r.33	IT2a|f80r.32|G005	cheykain	qokain	True	solchey qoky r cheykain sheckhy qokain okain ol
