edition	paragraph	model	at	word	hypothesis
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G001	pchall[a:o]rar	⟦pchall[a:o]rar⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G002	al	davon
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G003	ckhal	presse aus
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G004	rain	⟦rain⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G005	alolfchy	⟦alolfchy⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G006	rpchey	⟦rpchey⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G007	shfy	⟦shfy⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G008	ches	stampfe
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G009	ar	Teil
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G010	opchekan	⟦opchekan⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.31|G011	dlr	⟦dlr⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G001	olkeey	⟦olkeey⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G002	rain	⟦rain⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G003	shey	Zubereitung B
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G004	qor	⟦qor⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G005	aiin	Maßzahl Q
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G006	shey	Zubereitung B
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G007	ol	mit
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G008	lchedy	⟦lchedy⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G009	rshey	⟦rshey⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G010	qokeedy	⟦qokeedy⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G011	chtain	⟦chtain⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.32|G012	oly	⟦oly⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G001	soraiin	⟦soraiin⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G002	ykeey	erwärme erneut
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G003	arain	⟦arain⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G004	sheeky	⟦sheeky⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G005	qokain	erwärmte Dosis P
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G006	sheey	benetze
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G007	qol	⟦qol⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G008	cheds	⟦cheds⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G009	ar	Teil
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G010	r	darauf
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.33|G011	[?:a]rsheg	⟦[?:a]rsheg⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.34|G001	qokain	erwärmte Dosis P
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.34|G002	ar	Teil
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.34|G003	raiin	⟦raiin⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.34|G004	shek	⟦shek⟧
ZL3b	f116r|f116r.31-f116r.45	N	ZL3b|f116r.34|G005	okain	⟦okain⟧
