action_case_id	operation_agreement	degree_agreement	material_agreement	completion_agreement	result_role	competing_or_missing_patient	decision	decision_reason_de	portable_default
A002	CONFLICT	UNSPECIFIED	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Abkühlen und Abziehen erzeugen nicht den geschriebenen trockenen Gradanfang.	NO
A003	CONFLICT	CONFLICT	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Erhitzen steht einem unmittelbar kalten Unteranteil gegenüber.	NO
A004	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	NONE	OPEN_PARTIAL	Abmessen erklärt weder Trockenstand noch Mittelstufe des rechten Materials.	NO
A005	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	NONE	RETAIN_PRIOR_HOLD	Der gemessene Ansatzanteil kann vor der Trockenmasse stehen; die Trocknung bleibt ungeschrieben.	NO
A006	NONE	UNSPECIFIED	UNRESOLVED	EXACT	RESULT_PRODUCT	LEFT_OPEN	HOLD_NEW	Abschluss passt; Abfüllen in drei Bündel und die Bündelzahl verschwinden im Kompositum.	NO
A007	PRIOR_LOCAL_BINDING	EXACT	CURRENTLY_BOUND	RELATED	RESULT_PRODUCT	CURRENTLY_BOUND	REPLAY_ADMITTED	C012 bleibt durch den vorgeschalteten Holzpulver-Anker und die unmittelbare Ergebnislage gebunden.	NO
A008	CONFLICT	CONFLICT	CONFLICT	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Getrocknetes Pulver wechselt ohne Brücke zu abgeschlossenem Samenanteil II.	NO
A009	NONPRODUCTIVE	UNSPECIFIED	CONFLICT	UNSPECIFIED	RESULT_PRODUCT	NONE	RETAIN_PRIOR_HOLD	Nehmen produziert kein Holzextraktpulver; Drogenanteil und Holzpulver brechen sichtbar.	NO
A010	CONFLICT	UNSPECIFIED	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Abmessen erklärt weder Erhitzung noch Abziehen des rechten Anteils.	NO
A012	NONE	CONFLICT	CONFLICT	UNSPECIFIED	QUANTITY	NONE	OPEN_PARTIAL	Aufbereitetes Arzneikompositum und abgemessener Anteil II teilen keinen geschriebenen Ergebniskopf.	NO
A014	RELATED_ONLY	UNSPECIFIED	GENERIC	UNSPECIFIED	QUANTITY	NONE	OPEN_PARTIAL	Die Menge kann das Genommene zählen, ist aber kein geschriebenes Verarbeitungsergebnis.	NO
A015	RELATED_ONLY	UNSPECIFIED	RELATED	UNSPECIFIED	QUANTITY	NONE	OPEN_PARTIAL	Drogenportion und Menge III sind kompatibel, aber Nehmen erzeugt keinen neuen Zustand.	NO
A016	NONE	UNSPECIFIED	CONFLICT	RELATED	MATERIAL_LABEL	LEFT_OPEN	CONTROL_CONFLICT	Der Abschluss der vorstehenden Behandlung schreibt keinen Übergang zu einer Holzportion.	NO
A017	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	NONE	OPEN_PARTIAL	Die Krautansatz-Portion kann Patient sein; der getrocknete Mittelzustand wird rechts nicht gespiegelt.	NO
A019	CONFLICT	CONFLICT	CONFLICT	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Drei Dosen Trockenansatz II wechseln zu heißem Holzansatz-Anteil III.	NO
A021	NONPRODUCTIVE	CONFLICT	CONFLICT	UNSPECIFIED	POSTPOSED_OBJECT	NONE	CONTROL_CONFLICT	Nehmen von Pulverzubereitung erzeugt keinen kalten Drogenanteil I.	NO
A024	CONFLICT	EXACT	RELATED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	NONE	RETAIN_PRIOR_HOLD	Mittelstufe stimmt; Abmessen von Trockengut erklärt den kalten Ansatz nicht.	NO
A025	CONFLICT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Mittelstufen-Trocknung steht heißem Endgrad gegenüber.	NO
A026	PRIOR_LOCAL_BINDING	UNSPECIFIED	RELATED	EXACT	RESULT_PRODUCT	NONE	REPLAY_ADMITTED	C014 bleibt die lokale Bereiten-und-Abschließen-zu-abgeschlossener-Zubereitung-Lesung.	NO
A027	NONE	UNSPECIFIED	CONFLICT	UNSPECIFIED	POSTPOSED_OBJECT	RIGHT_LABEL	CONTROL_CONFLICT	Samenposten ist der plausiblere neue Patient, kein Ergebnis von Erhitzen, Trocknen und Ansetzen.	NO
A028	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	NONE	OPEN_PARTIAL	Der Drogenanteil kann das Genommene benennen, bildet aber keinen neuen Ergebniszustand.	NO
A029	NONE	UNSPECIFIED	GENERIC	UNSPECIFIED	QUANTITY	LEFT_OPEN	OPEN_PARTIAL	Leichtes Erhitzen erzeugt nicht ohne weiteres einen abgemessenen Anteil I.	NO
A032	CONFLICT	UNSPECIFIED	RELATED	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Trocknen erklärt den heißen, abgezogenen Auszug nicht; mehrere rechte Operationen fehlen links.	NO
A033	PRIOR_LOCAL_BINDING	EXACT	CURRENTLY_BOUND	RELATED	STATE_ATTRIBUTE	CURRENTLY_BOUND	REPLAY_ADMITTED	C013 bleibt der bereits isolierte Mittelstufen-Checkpoint der geschriebenen Krautdroge.	NO
A035	CONFLICT	UNSPECIFIED	CONFLICT	UNSPECIFIED	MATERIAL_LABEL	NONE	CONTROL_CONFLICT	Auf getrocknete Krautdroge folgt ausdrücklich eine Holzcharge; das ist ein Batchbruch.	NO
A036	CONFLICT	CONFLICT	RELATED	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Trocknen und Abschließen spiegeln keinen vollständig erhitzten und abgezogenen Auszug.	NO
A038	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Trocken kann das genommene Material beschreiben; Nehmen produziert den Zustand nicht.	NO
A039	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	RIGHT_LABEL	OPEN_PARTIAL	Pflanzenteil ist ein möglicher Patient, aber kein ausgeschriebener Mittelstufen-Trockenzustand.	NO
A041	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Der Trocken-Endgrad kann das genommene Gut beschreiben; er ist kein durch Nehmen erzeugtes Ergebnis.	NO
A043	DRY_STATE_RELATED	UNSPECIFIED	RELATED	RELATED	MATERIAL_STATE_PRODUCT	LEFT_OPEN	HOLD_NEW	Trockenheit passt, doch Abmessen, Portion und Mittelstufe erscheinen erst rechts; warm und Mischung gehen verloren.	NO
A044	NONPRODUCTIVE	CONFLICT	GENERIC	UNSPECIFIED	STATE_ATTRIBUTE	CURRENTLY_BOUND	OPEN_PARTIAL	Der heiße Grad-II-Wert kann Registerwert sein; Nehmen der Mittelstufenportion erzeugt ihn nicht.	NO
