outcome	domain	n	positives	source_only_auc
POST_RETURN_ABC_A	COREMA	23941	341	0.6812809409016353
POST_RETURN_ABC_A	CURIOUS_CURES	21268	322	0.6328378118711647
POST_RETURN_ABC_A	HARLEIAN_COOKERY	39245	475	0.5617111982949378
POST_RETURN_ABC_A	PCEEC2	24494	154	0.5093288798301123
POST_RETURN_ABC_A	QUINTE_ESSENCE	14530	137	0.5356377618682236
POST_PERSIST_THEN_EXIT	COREMA	23941	58	0.48363429766086685
POST_PERSIST_THEN_EXIT	CURIOUS_CURES	21268	15	0.45739111341143995
POST_PERSIST_THEN_EXIT	HARLEIAN_COOKERY	39245	37	0.38306337096124893
POST_PERSIST_THEN_EXIT	PCEEC2	24494	14	0.4257061157796452
POST_PERSIST_THEN_EXIT	QUINTE_ESSENCE	14530	15	0.44188770237685154
POST_HOMOGENEOUS_3	COREMA	23941	0	NA
POST_HOMOGENEOUS_3	CURIOUS_CURES	21268	4	0.6433761286681715
POST_HOMOGENEOUS_3	HARLEIAN_COOKERY	39245	0	NA
POST_HOMOGENEOUS_3	PCEEC2	24494	0	NA
POST_HOMOGENEOUS_3	QUINTE_ESSENCE	14530	0	NA
POST_LOW_DIVERSITY_3	COREMA	23941	458	0.6409795751158461
POST_LOW_DIVERSITY_3	CURIOUS_CURES	21268	356	0.6233555353412481
POST_LOW_DIVERSITY_3	HARLEIAN_COOKERY	39245	550	0.5386324989134138
POST_LOW_DIVERSITY_3	PCEEC2	24494	181	0.506880001672479
POST_LOW_DIVERSITY_3	QUINTE_ESSENCE	14530	167	0.514339906137735
POST_ANY_BOUNDARY_3	COREMA	23941	1132	0.912270619727784
POST_ANY_BOUNDARY_3	CURIOUS_CURES	21268	183	0.9177000198260747
POST_ANY_BOUNDARY_3	HARLEIAN_COOKERY	39245	525	0.883948101141283
POST_ANY_BOUNDARY_3	PCEEC2	24494	989	0.9085283792855209
POST_ANY_BOUNDARY_3	QUINTE_ESSENCE	14530	376	0.7017852069484907
POST_WRAPPER_CHANGE_3	COREMA	23941	23290	0.514391176767387
POST_WRAPPER_CHANGE_3	CURIOUS_CURES	21268	20650	0.4910370091758935
POST_WRAPPER_CHANGE_3	HARLEIAN_COOKERY	39245	38196	0.49968541917305564
POST_WRAPPER_CHANGE_3	PCEEC2	24494	23834	0.47541149516478876
POST_WRAPPER_CHANGE_3	QUINTE_ESSENCE	14530	14133	0.4953136815937689
POST_RENDERER_STABLE_3	COREMA	23941	2807	0.5013805153058492
POST_RENDERER_STABLE_3	CURIOUS_CURES	21268	2427	0.49927951925758174
POST_RENDERER_STABLE_3	HARLEIAN_COOKERY	39245	4437	0.4967030672578592
POST_RENDERER_STABLE_3	PCEEC2	24494	2816	0.4883382732755873
POST_RENDERER_STABLE_3	QUINTE_ESSENCE	14530	1630	0.487302206686641
POST_TERMINUS_3	COREMA	23941	1134	0.9124323970277698
POST_TERMINUS_3	CURIOUS_CURES	21268	183	0.9177000198260747
POST_TERMINUS_3	HARLEIAN_COOKERY	39245	527	0.8839907753166403
POST_TERMINUS_3	PCEEC2	24494	989	0.9085283792855209
POST_TERMINUS_3	QUINTE_ESSENCE	14530	378	0.7013653350920168
