endpoint	realization_mode	macro_auc	gain_bits	positive_domains
FUNCTION_WORD	FREE_TOKEN	1.0	68040.79331593515	4
FUNCTION_WORD	PREFIX	1.0	68040.79331593515	4
FUNCTION_WORD	SUFFIX	1.0	68040.79331593515	4
FUNCTION_WORD	WRAPPER_ALTERNATION	1.0	68040.79331593515	4
FUNCTION_WORD	BOUNDARY_CHOICE	1.0	68040.79331593515	4
FUNCTION_WORD	POSITIONAL_ALTERNATION	1.0	68040.79331593515	4
FUNCTION_WORD	ZERO_SUPPLETIVE	1.0	68040.79331593515	4
ALTERNATIVE_OR	FREE_TOKEN	1.0	10162.154352864609	5
ALTERNATIVE_OR	PREFIX	1.0	10162.154352864609	5
ALTERNATIVE_OR	SUFFIX	1.0	10162.154352864609	5
ALTERNATIVE_OR	WRAPPER_ALTERNATION	1.0	10162.154352864609	5
ALTERNATIVE_OR	BOUNDARY_CHOICE	1.0	10162.154352864609	5
ALTERNATIVE_OR	POSITIONAL_ALTERNATION	1.0	10162.154352864609	5
ALTERNATIVE_OR	ZERO_SUPPLETIVE	1.0	10162.154352864609	5
POLARITY_EXCLUSION	FREE_TOKEN	1.0	6675.212717020068	5
POLARITY_EXCLUSION	PREFIX	1.0	6675.212717020068	5
POLARITY_EXCLUSION	SUFFIX	1.0	6675.212717020068	5
POLARITY_EXCLUSION	WRAPPER_ALTERNATION	1.0	6675.212717020068	5
POLARITY_EXCLUSION	BOUNDARY_CHOICE	1.0	6675.212717020068	5
POLARITY_EXCLUSION	POSITIONAL_ALTERNATION	1.0	6675.212717020068	5
POLARITY_EXCLUSION	ZERO_SUPPLETIVE	1.0	6675.212717020068	5
UNTIL_STATE_GATE	FREE_TOKEN	1.0	4580.165953680761	5
UNTIL_STATE_GATE	PREFIX	1.0	4580.165953680761	5
UNTIL_STATE_GATE	SUFFIX	1.0	4580.165953680761	5
UNTIL_STATE_GATE	WRAPPER_ALTERNATION	1.0	4580.165953680761	5
UNTIL_STATE_GATE	BOUNDARY_CHOICE	1.0	4580.165953680761	5
UNTIL_STATE_GATE	POSITIONAL_ALTERNATION	1.0	4580.165953680761	5
UNTIL_STATE_GATE	ZERO_SUPPLETIVE	1.0	4580.165953680761	5
COORDINATOR	FREE_TOKEN	1.0	43152.34630851393	4
COORDINATOR	PREFIX	1.0	43152.34630851393	4
COORDINATOR	SUFFIX	1.0	43152.34630851393	4
COORDINATOR	WRAPPER_ALTERNATION	1.0	43152.34630851393	4
COORDINATOR	BOUNDARY_CHOICE	1.0	43152.34630851393	4
COORDINATOR	POSITIONAL_ALTERNATION	1.0	43152.34630851393	4
COORDINATOR	ZERO_SUPPLETIVE	1.0	43152.34630851393	4
REF_ANAPHORA	FREE_TOKEN	1.0	19669.652844826844	5
REF_ANAPHORA	PREFIX	1.0	19669.652844826844	5
REF_ANAPHORA	SUFFIX	1.0	19669.652844826844	5
REF_ANAPHORA	WRAPPER_ALTERNATION	1.0	19669.652844826844	5
REF_ANAPHORA	BOUNDARY_CHOICE	1.0	19669.652844826844	5
REF_ANAPHORA	POSITIONAL_ALTERNATION	1.0	19669.652844826844	5
REF_ANAPHORA	ZERO_SUPPLETIVE	1.0	19669.652844826844	5
