page_ordinal	cohort	physical_page	running_event_count	statement_count	marker_bearing_event_count	ot_occurrence_count	ot_right_carrier_count	ot_right_carrier_percent	ol_occurrence_count	ol_left_carrier_count	ol_right_carrier_count	ol_statement_final_event_count	ol_statement_final_percent	dy_occurrence_count	dy_recipe_terminal_count	dy_recipe_terminal_percent	dy_statement_final_event_count	dy_statement_final_percent	transfer_note
1	OLD26_GDT407	f1r	214	7	36	9	9	100.000000	26	17	6	0	0.000000	5	4	80.000000	4	80.000000	ALL_THREE_OPERATORS_PRESENT|HAS_INTERNAL_DY_LOCAL_CLOSE|HAS_POST_DY_ATTACHMENT
2	OLD26_GDT407	f10r	92	2	23	14	14	100.000000	11	6	2	0	0.000000	1	1	100.000000	1	100.000000	ALL_THREE_OPERATORS_PRESENT
3	OLD26_GDT407	f11r	59	2	11	4	4	100.000000	7	6	0	0	0.000000	1	1	100.000000	1	100.000000	ALL_THREE_OPERATORS_PRESENT
4	OLD26_GDT407	f13r	77	5	18	5	5	100.000000	14	9	4	3	21.428571	4	4	100.000000	4	100.000000	ALL_THREE_OPERATORS_PRESENT
5	OLD26_GDT407	f17r	78	8	19	4	4	100.000000	10	6	3	0	0.000000	7	7	100.000000	7	100.000000	ALL_THREE_OPERATORS_PRESENT
6	OLD26_GDT407	f18r	84	5	21	2	2	100.000000	19	13	4	2	10.526316	3	3	100.000000	3	100.000000	ALL_THREE_OPERATORS_PRESENT
7	OLD26_GDT407	f24v	86	3	14	5	5	100.000000	11	8	2	0	0.000000	1	1	100.000000	1	100.000000	ALL_THREE_OPERATORS_PRESENT
8	OLD26_GDT407	f55v	106	5	17	5	5	100.000000	9	2	4	1	11.111111	5	4	80.000000	4	80.000000	ALL_THREE_OPERATORS_PRESENT|HAS_INTERNAL_DY_LOCAL_CLOSE|HAS_POST_DY_ATTACHMENT
9	OLD26_GDT407	f56r	105	3	26	11	10	90.909091	14	9	2	0	0.000000	2	2	100.000000	2	100.000000	ALL_THREE_OPERATORS_PRESENT|HAS_BARE_OT_CONTEXT_CARRIER
10	OLD26_GDT407	f67r2	126	11	15	2	2	100.000000	13	8	7	2	16.666667	3	3	100.000000	3	100.000000	ALL_THREE_OPERATORS_PRESENT
11	OLD26_GDT407	f68r1	31	3	8	3	3	100.000000	3	3	1	1	33.333333	2	2	100.000000	2	100.000000	ALL_THREE_OPERATORS_PRESENT
12	OLD26_GDT407	f69v	0	0	0	0	0	0.000000	0	0	0	0	0.000000	0	0	0.000000	0	0.000000	LOCAL_ONLY_PAGE_NO_RUNNING_CARDS
13	OLD26_GDT407	f70v	0	0	0	0	0	0.000000	0	0	0	0	0.000000	0	0	0.000000	0	0.000000	LOCAL_ONLY_PAGE_NO_RUNNING_CARDS
14	OLD26_GDT407	f71v	78	5	24	19	19	100.000000	3	3	0	0	0.000000	2	2	100.000000	2	100.000000	ALL_THREE_OPERATORS_PRESENT
15	OLD26_GDT407	f72r	288	22	105	60	60	100.000000	43	30	20	4	9.756098	12	12	100.000000	12	100.000000	ALL_THREE_OPERATORS_PRESENT
16	OLD26_GDT407	f75r	408	111	172	26	26	100.000000	60	17	31	16	27.118644	111	110	99.099099	110	99.099099	ALL_THREE_OPERATORS_PRESENT|HAS_INTERNAL_DY_LOCAL_CLOSE|HAS_POST_DY_ATTACHMENT
17	OLD26_GDT407	f76r	560	118	187	34	33	97.058824	76	21	44	14	18.918919	98	96	97.959184	98	100.000000	ALL_THREE_OPERATORS_PRESENT|HAS_BARE_OT_CONTEXT_CARRIER|HAS_POST_DY_ATTACHMENT
18	OLD26_GDT407	f77r	321	82	141	36	36	100.000000	52	24	23	7	13.461538	81	81	100.000000	81	100.000000	ALL_THREE_OPERATORS_PRESENT
19	OLD26_GDT407	f81r	210	48	114	22	22	100.000000	61	13	23	8	13.333333	47	47	100.000000	47	100.000000	ALL_THREE_OPERATORS_PRESENT
20	OLD26_GDT407	f81v	253	54	102	7	7	100.000000	52	13	21	7	13.725490	53	53	100.000000	53	100.000000	ALL_THREE_OPERATORS_PRESENT
21	OLD26_GDT407	f82r	278	62	101	22	22	100.000000	31	14	13	4	13.793103	60	60	100.000000	60	100.000000	ALL_THREE_OPERATORS_PRESENT
22	OLD26_GDT407	f83r	341	91	139	28	28	100.000000	40	14	19	5	12.500000	89	89	100.000000	89	100.000000	ALL_THREE_OPERATORS_PRESENT
23	OLD26_GDT407	f88r	134	5	41	3	3	100.000000	39	28	9	3	7.692308	2	2	100.000000	2	100.000000	ALL_THREE_OPERATORS_PRESENT
24	OLD26_GDT407	f88v	131	13	30	11	11	100.000000	17	13	5	2	11.764706	11	11	100.000000	11	100.000000	ALL_THREE_OPERATORS_PRESENT
25	OLD26_GDT407	f89r	338	20	74	9	9	100.000000	63	40	15	5	8.064516	13	13	100.000000	13	100.000000	ALL_THREE_OPERATORS_PRESENT
26	OLD26_GDT407	f95v	178	30	56	22	22	100.000000	14	3	10	1	7.142857	26	26	100.000000	26	100.000000	ALL_THREE_OPERATORS_PRESENT
27	CURRENT4_GDT539	f4r	64	5	21	8	8	100.000000	13	11	1	1	7.692308	3	3	100.000000	3	100.000000	ALL_THREE_OPERATORS_PRESENT
28	CURRENT4_GDT539	f20v	86	3	21	7	7	100.000000	15	9	3	0	0.000000	1	1	100.000000	1	100.000000	ALL_THREE_OPERATORS_PRESENT
29	CURRENT4_GDT539	f31r	103	19	25	4	4	100.000000	8	6	2	1	14.285714	16	16	100.000000	16	100.000000	ALL_THREE_OPERATORS_PRESENT
30	CURRENT4_GDT539	f66r	293	51	95	22	22	100.000000	37	27	10	2	5.555556	46	46	100.000000	46	100.000000	ALL_THREE_OPERATORS_PRESENT
