edge_ordinal	category	event_id	physical_page	register	surface	recipe	marker_sequence	statement_position	current_reading_de	compositional_resolution_de
1	POST_DY_ATTACHMENT	G407-E0133	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	DY	STATEMENT_INTERNAL	AKTIVER POSTEN · SCHLUSS · HIER	Schritt schließen; danach den Nachtrag D_LABEL lesen.
2	INTERNAL_DY_LOCAL_CLOSE	G407-E0133	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	DY	STATEMENT_INTERNAL	AKTIVER POSTEN · SCHLUSS · HIER	Nur den lokalen Schritt schließen; die Aussage läuft mit der nächsten Karte weiter.
3	POST_DY_ATTACHMENT	G407-E0695	f55v	HERBAL	dodyd	D_ADDR+O+DY+D_LABEL	DY	STATEMENT_INTERNAL	HIER · AUSFÜHRUNG · SCHLUSS · HIER	Schritt schließen; danach den Nachtrag D_LABEL lesen.
4	INTERNAL_DY_LOCAL_CLOSE	G407-E0695	f55v	HERBAL	dodyd	D_ADDR+O+DY+D_LABEL	DY	STATEMENT_INTERNAL	HIER · AUSFÜHRUNG · SCHLUSS · HIER	Nur den lokalen Schritt schließen; die Aussage läuft mit der nächsten Karte weiter.
5	BARE_OT_CONTEXT_CARRIER	G407-E0821	f56r	HERBAL	qot	OT	OT	STATEMENT_INTERNAL	DANACH	DANACH eröffnet den nächsten Träger aus dem Satzkontext.
6	POST_DY_ATTACHMENT	G407-E1682	f75r	BIOLOGICAL	okeedyqol	OK+EE+DY+OL	DY+OL	STATEMENT_INTERNAL	SETZEN · GRAD II · SCHLUSS · FORTSETZEN	Lokalen Schritt schließen und mit OL weiterführen.
7	INTERNAL_DY_LOCAL_CLOSE	G407-E1682	f75r	BIOLOGICAL	okeedyqol	OK+EE+DY+OL	DY+OL	STATEMENT_INTERNAL	SETZEN · GRAD II · SCHLUSS · FORTSETZEN	Nur den lokalen Schritt schließen; die Aussage läuft mit der nächsten Karte weiter.
8	POST_DY_ATTACHMENT	G407-E2009	f76r	BIOLOGICAL	otedyl	OT+E+DY+L	OT+DY	SINGLETON_STATEMENT	DANACH · GRAD I · SCHLUSS · VERBINDUNG	Schritt schließen; danach den Nachtrag L lesen.
9	BARE_OT_CONTEXT_CARRIER	G407-E2027	f76r	BIOLOGICAL	ot	OT	OT	STATEMENT_INTERNAL	DANACH	DANACH eröffnet den nächsten Träger aus dem Satzkontext.
10	POST_DY_ATTACHMENT	G407-E2236	f76r	BIOLOGICAL	qokchdyl	OK+CHD+DY+L	DY	STATEMENT_FINAL	SETZEN · UMSETZEN · SCHLUSS · VERBINDUNG	Schritt schließen; danach den Nachtrag L lesen.
11	REVERSE_OL_BEFORE_OT	G407-E0034	f1r	SOURCE_SECTION_T	roloty	R+OL+OT+Y	OL+OT	STATEMENT_INTERNAL	MARKIEREN · FORTSETZEN · DANACH · AKTIVER POSTEN	laufenden Träger fortsetzen; dann nächsten Träger eröffnen.
12	REVERSE_DY_BEFORE_OL	G407-E1682	f75r	BIOLOGICAL	okeedyqol	OK+EE+DY+OL	DY+OL	STATEMENT_INTERNAL	SETZEN · GRAD II · SCHLUSS · FORTSETZEN	laufenden Schritt abschließen; dann laufenden Träger fortsetzen.
