error_serial	error_code	teaching_axis	statement_id	record_id	page	surface_sequence	correct_atom_sequence	wrong_atom_or_register_reading	wrong_choice_de	concrete_wrong_result_de	correct_full_sentence_de	repair_rule_de	copying_exercise_de
1	E01_WRONG_OWNER	OWNER	B2-S007	B2	f82r	dshedy	SHED+E+CLOSE	SHED+E+CLOSE	OWNER=B2_UPPER_PAIRED_BASINS_AND_CYLINDER statt B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	die richtige Handlung wird am falschen Becken, Pflanzenteil oder Gerät ausgeführt	Der Text gehört zu der mittleren linken Vorrichtung mit Zwischenknoten; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-7; ‚das Vorige‘ bezeichnet Vorposten B2-2. [[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	OWNER beim sichtbaren Wechsel umsetzen und TARGET neu prüfen	Lies B2-S007 erneut; nenne zuerst OWNER, dann sprich nur die korrigierte Folge.
2	E01_WRONG_OWNER	OWNER	B3-S005	B3	f83r	schedy	CHD+CLOSE	CHD+CLOSE	OWNER=B3_UPPER_MARGIN_OPEN_FAN_STATION statt B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	die richtige Handlung wird am falschen Becken, Pflanzenteil oder Gerät ausgeführt	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	OWNER beim sichtbaren Wechsel umsetzen und TARGET neu prüfen	Lies B3-S005 erneut; nenne zuerst OWNER, dann sprich nur die korrigierte Folge.
3	E01_WRONG_OWNER	OWNER	B4-S011	B4	f83r	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	OWNER=B4_MAIN_ARCH_LINKED_PAIR statt B4_MAIN_LEFT_OPEN_FRINGE_STATION	die richtige Handlung wird am falschen Becken, Pflanzenteil oder Gerät ausgeführt	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B4-4; die geltende Zieladresse ist Zielstelle B4-7; ‚das Vorige‘ bezeichnet Vorposten B4-3. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Bei sanfter Wärme. Das breite Gefäß. Gib einen abgemessenen Anteil in das Gefäß. Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Wasche zweimal und beende den Schritt.	OWNER beim sichtbaren Wechsel umsetzen und TARGET neu prüfen	Lies B4-S011 erneut; nenne zuerst OWNER, dann sprich nur die korrigierte Folge.
4	E01_WRONG_OWNER	OWNER	B2-S011	B2	f82r	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	OWNER=B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE statt B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	die richtige Handlung wird am falschen Becken, Pflanzenteil oder Gerät ausgeführt	Der Text gehört zu der mittleren rechten Station; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-9; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	OWNER beim sichtbaren Wechsel umsetzen und TARGET neu prüfen	Lies B2-S011 erneut; nenne zuerst OWNER, dann sprich nur die korrigierte Folge.
5	E02_ACTIVE_PREVIOUS_SWAP	ACTIVE_PREVIOUS	H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	ACTIVE=Vorposten H1-2 statt Arbeitsposten H1-1	eine bereits abgelegte Fraktion wird erneut behandelt und der neue Posten bleibt liegen	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H1-1; die geltende Zieladresse ist Zielstelle H1-1; ‚das Vorige‘ bezeichnet Vorposten H1-2. Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	ACTIVE und PREVIOUS als zwei getrennte Kerben führen	Lies H1-S001 erneut; nenne zuerst ACTIVE_PREVIOUS, dann sprich nur die korrigierte Folge.
6	E02_ACTIVE_PREVIOUS_SWAP	ACTIVE_PREVIOUS	H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	ACTIVE=Vorposten H2-1 statt Arbeitsposten H2-1	eine bereits abgelegte Fraktion wird erneut behandelt und der neue Posten bleibt liegen	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H2-1; ‚das Vorige‘ bezeichnet Vorposten H2-1. Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	ACTIVE und PREVIOUS als zwei getrennte Kerben führen	Lies H2-S002 erneut; nenne zuerst ACTIVE_PREVIOUS, dann sprich nur die korrigierte Folge.
7	E02_ACTIVE_PREVIOUS_SWAP	ACTIVE_PREVIOUS	H3-S002	H3	f11r	shoyty	HO+Y+TY	HO+Y+TY	ACTIVE=Vorposten H3-2 statt Arbeitsposten H3-1	eine bereits abgelegte Fraktion wird erneut behandelt und der neue Posten bleibt liegen	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-2; ‚das Vorige‘ bezeichnet Vorposten H3-2. Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	ACTIVE und PREVIOUS als zwei getrennte Kerben führen	Lies H3-S002 erneut; nenne zuerst ACTIVE_PREVIOUS, dann sprich nur die korrigierte Folge.
8	E02_ACTIVE_PREVIOUS_SWAP	ACTIVE_PREVIOUS	H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	ACTIVE=Vorposten H4-1 statt Arbeitsposten H4-1	eine bereits abgelegte Fraktion wird erneut behandelt und der neue Posten bleibt liegen	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-1; die geltende Zieladresse ist Zielstelle H4-1; ‚das Vorige‘ bezeichnet Vorposten H4-1. Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	ACTIVE und PREVIOUS als zwei getrennte Kerben führen	Lies H4-S003 erneut; nenne zuerst ACTIVE_PREVIOUS, dann sprich nur die korrigierte Folge.
9	E03_SOURCE_TARGET_SWAP	AR_AL	H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	HO+L | HO+AR! | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	AR↔AL	der Schreiber entnimmt aus der Zielschale oder bringt den Posten an die Vorratsquelle	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-2. Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	AR immer als Ausgangsadresse, AL immer als Zieladresse lesen	Lies H3-S001 erneut; nenne zuerst AR_AL, dann sprich nur die korrigierte Folge.
10	E03_SOURCE_TARGET_SWAP	AR_AL	H4-S002	H4	f55v	daiin chedy talam	AIIN | CHD+Y | AL+AM	AIIN | CHD+Y | AR!+AM	AR↔AL	der Schreiber entnimmt aus der Zielschale oder bringt den Posten an die Vorratsquelle	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-1; die geltende Zieladresse ist Zielstelle H4-1. Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	AR immer als Ausgangsadresse, AL immer als Zieladresse lesen	Lies H4-S002 erneut; nenne zuerst AR_AL, dann sprich nur die korrigierte Folge.
