unified_id	layer	page	local_unit	local_statement_or_locus	source_id	surface	opaque_identity	working_reading_de	picture_contribution_de	master_contribution_de
U001	WHAT_PREPARATION	f10r	H1	H1-S001	E001	dchey	PROC001	ENTNEHMEN · KURZ · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U002	WHAT_PREPARATION	f10r	H1	H1-S001	E002	cthoor	PROC002	BEREITEN · ARBEITSGANG · ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U003	WHAT_PREPARATION	f10r	H1	H1-S001	E003	char	PROC003	QUELLE	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U004	WHAT_PREPARATION	f10r	H1	H1-S001	E004	chty	PROC004	BEARBEITEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U005	WHAT_PREPARATION	f10r	H1	H1-S001	E005	os	PROC005	DAZU	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U006	WHAT_PREPARATION	f10r	H1	H1-S001	E006	chair	PROC006	ENTNEHMEN · WASSER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U007	WHAT_PREPARATION	f10r	H1	H1-S001	E007	otytchol	PROC007	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U008	WHAT_PREPARATION	f10r	H1	H1-S001	E008	oky	PROC008	ANSETZEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U009	WHAT_PREPARATION	f10r	H1	H1-S001	E009	daiin	PROC009	SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U010	WHAT_PREPARATION	f10r	H1	H1-S001	E010	etyd	PROC010	KURZ · BEARBEITEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U011	WHAT_PREPARATION	f10r	H1	H1-S002	E011	qokchy	PROC011	ANSETZEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U012	WHAT_PREPARATION	f10r	H1	H1-S002	E012	qotchol	PROC012	DANACH · ENTNEHMEN · WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U013	WHAT_PREPARATION	f10r	H1	H1-S002	E013	chol	PROC013	WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U014	WHAT_PREPARATION	f10r	H1	H1-S002	E014	cthy	PROC014	BEREITEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U015	WHAT_PREPARATION	f10r	H2	H2-S001	E015	ycheor	PROC015	POSTEN · ENTNEHMEN · KURZ · ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U016	WHAT_PREPARATION	f10r	H2	H2-S001	E016	cthy	PROC014	BEREITEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U017	WHAT_PREPARATION	f10r	H2	H2-S001	E017	chor	PROC016	ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U018	WHAT_PREPARATION	f10r	H2	H2-S001	E018	cthaiin	PROC017	BEREITEN · SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U019	WHAT_PREPARATION	f10r	H2	H2-S001	E019	qoctholy	PROC018	ARBEITSGANG · BEREITEN · WEITER · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U020	WHAT_PREPARATION	f10r	H2	H2-S001	E020	dy	PROC019	POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U021	WHAT_PREPARATION	f10r	H2	H2-S001	E021	chy	PROC019	POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U022	WHAT_PREPARATION	f10r	H2	H2-S001	E022	taiin	PROC009	SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U023	WHAT_PREPARATION	f10r	H2	H2-S001	E023	shy	PROC019	POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U024	WHAT_PREPARATION	f10r	H2	H2-S002	E024	qotchor	PROC020	DANACH · ENTNEHMEN · ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U025	WHAT_PREPARATION	f10r	H2	H2-S002	E025	chor	PROC016	ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U026	WHAT_PREPARATION	f10r	H2	H2-S002	E026	otol	PROC021	DANACH · WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U027	WHAT_PREPARATION	f10r	H2	H2-S002	E027	chol	PROC013	WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U028	WHAT_PREPARATION	f10r	H2	H2-S002	E028	cholor	PROC022	WEITER · ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U029	WHAT_PREPARATION	f10r	H2	H2-S002	E029	chol	PROC013	WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U030	WHAT_PREPARATION	f10r	H2	H2-S002	E030	daiin	PROC009	SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U031	WHAT_PREPARATION	f10r	H2	H2-S002	E031	dar	PROC003	QUELLE	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U032	WHAT_PREPARATION	f10r	H2	H2-S003	E032	oykchor	PROC023	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U033	WHAT_PREPARATION	f10r	H2	H2-S003	E033	shor	PROC016	ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U034	WHAT_PREPARATION	f10r	H2	H2-S003	E034	chor	PROC016	ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U035	WHAT_PREPARATION	f10r	H2	H2-S003	E035	chy	PROC019	POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U036	WHAT_PREPARATION	f10r	H2	H2-S003	E036	kaiiin	PROC024	ZUGEBEN · STUFE	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U037	WHAT_PREPARATION	f10r	H2	H2-S003	E037	dy	PROC019	POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U038	WHAT_PREPARATION	f10r	H2	H2-S003	E038	chodaiin	PROC025	ENTNEHMEN · ARBEITSGANG · SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U039	WHAT_PREPARATION	f11r	H3	H3-S001	E039	tshol	PROC026	BEARBEITEN · HALTEN · WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U040	WHAT_PREPARATION	f11r	H3	H3-S001	E040	schoal	PROC027	HALTEN · ARBEITSGANG · ZIELSTELLE	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U041	WHAT_PREPARATION	f11r	H3	H3-S001	E041	cfhy	PROC028	AUSPRESSEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U042	WHAT_PREPARATION	f11r	H3	H3-S001	E042	shfydaiin	PROC029	HALTEN · POSTEN · SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U043	WHAT_PREPARATION	f11r	H3	H3-S001	E043	cphy	PROC030	EINBRINGEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U044	WHAT_PREPARATION	f11r	H3	H3-S001	E044	shey	PROC031	HALTEN · LANG · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U045	WHAT_PREPARATION	f11r	H3	H3-S001	E045	tchody	PROC032	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U046	WHAT_PREPARATION	f11r	H3	H3-S002	E046	shoyty	PROC033	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U047	WHAT_PREPARATION	f11r	H3	H3-S003	E047	dchol	PROC034	DAVON	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U048	WHAT_PREPARATION	f11r	H3	H3-S003	E048	chy	PROC019	POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U049	WHAT_PREPARATION	f11r	H3	H3-S003	E049	kchy	PROC035	ZUGEBEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U050	WHAT_PREPARATION	f11r	H3	H3-S003	E050	dy	PROC019	POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U051	WHAT_PREPARATION	f11r	H3	H3-S003	E051	daiin	PROC009	SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U052	WHAT_PREPARATION	f11r	H3	H3-S004	E052	qotchy	PROC036	DANACH · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U053	WHAT_PREPARATION	f11r	H3	H3-S004	E053	okchol	PROC037	ANSETZEN · WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U054	WHAT_PREPARATION	f11r	H3	H3-S004	E054	cthy	PROC014	BEREITEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U055	WHAT_PREPARATION	f11r	H3	H3-S004	E055	dy	PROC019	POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U056	WHAT_PREPARATION	f55v	H4	H4-S001	E056	qokaiin	PROC038	ANSETZEN · SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U057	WHAT_PREPARATION	f55v	H4	H4-S001	E057	chaiin	PROC009	SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U058	WHAT_PREPARATION	f55v	H4	H4-S001	E058	ykain	PROC039	POSTEN · ZUGEBEN · PORTION	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U059	WHAT_PREPARATION	f55v	H4	H4-S001	E059	ykan	PROC040	POSTEN · ZUGEBEN · NACHGABE	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U060	WHAT_PREPARATION	f55v	H4	H4-S001	E060	ody	PROC041	ARBEITSGANG · SCHLUSS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U061	WHAT_PREPARATION	f55v	H4	H4-S002	E061	daiin	PROC009	SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U062	WHAT_PREPARATION	f55v	H4	H4-S002	E062	chedy	PROC042	UMSETZEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U063	WHAT_PREPARATION	f55v	H4	H4-S002	E063	talam	PROC043	BEISEITESTELLEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U064	WHAT_PREPARATION	f55v	H4	H4-S003	E064	ykaiin	PROC044	POSTEN · ZUGEBEN · SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U065	WHAT_PREPARATION	f55v	H4	H4-S003	E065	cheoar	PROC045	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
U066	WHAT_PREPARATION	f55v	H4	H4-S003	E066	cheeky	PROC046	WAERMEN · LANG · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
