sample_mark	stage	page	source_id	surface	opaque_identity	visible_working_reading_de	picture_argument_de	master_argument_de
M001	WHAT_PREPARATION	f56r	E074	chochor	PROC051	ZUTAT · ENTNEHMEN · ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M002	WHAT_PREPARATION	f56r	E075	cho	PROC052	ZUTAT	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M003	WHAT_PREPARATION	f56r	E076	chodaly	PROC053	ZUTAT · ZIELSTELLE · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M004	WHAT_PREPARATION	f56r	E077	daiin	PROC009	SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M005	WHAT_PREPARATION	f56r	E078	sho	PROC052	ZUTAT	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M006	WHAT_PREPARATION	f56r	E079	kchol	PROC054	ZUGEBEN · WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M007	WHAT_PREPARATION	f56r	E080	otchor	PROC020	DANACH · ENTNEHMEN · ANSATZ	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M008	WHAT_PREPARATION	f56r	E081	choky	PROC008	ANSETZEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M009	WHAT_PREPARATION	f56r	E082	dal	PROC055	ZIELSTELLE	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M010	WHAT_PREPARATION	f56r	E083	schol	PROC034	DAVON	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M011	WHAT_PREPARATION	f56r	E084	choy	PROC056	ZUTAT · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M012	WHAT_PREPARATION	f56r	E085	choky	PROC008	ANSETZEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M013	WHAT_PREPARATION	f56r	E086	cheeckhody	PROC057	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M014	WHAT_PREPARATION	f56r	E087	sh	PROC058	HALTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M015	WHAT_PREPARATION	f56r	E088	cho	PROC052	ZUTAT	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M016	WHAT_PREPARATION	f56r	E089	kchey	PROC059	ZUGEBEN · KURZ · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
