page_order	page	layer	visible_groups	local_units	picture_role_de	card_or_label_role_de	master_role_de
1	f10r	WHAT_PREPARATION	38	2	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
2	f11r	WHAT_PREPARATION	17	1	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
3	f55v	WHAT_PREPARATION	18	1	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
4	f56r	WHAT_PREPARATION	27	1	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
5	f81v	HOW_APPLICATION	66	1	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
6	f82r	HOW_APPLICATION	62	1	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
7	f83r	HOW_APPLICATION	153	4	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
8	f67r2	WHEN_CONDITION	190	3	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
9	f68r1	WHEN_CONDITION	65	1	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
10	f69v	WHEN_CONDITION	140	3	Besitzer/Station/Instrument liefert die stillen Argumente	sichtbare Reihenfolge und lokaler Arbeits-/Lookupwert	konkrete Namen und externe Werte ergänzen
