step	stage	action_de
1	ORDER	Produktklasse P1–P4 und Anwendung B1–B6 vom Meister empfangen
2	WHAT	zugehörige Herbal-Pflanze im Bild wählen
3	WHAT	Herbal-Karten in Quellordnung lesen oder kopieren
4	WHAT	Zubereitungsschritte ausführen; offene Register beibehalten
5	BRIDGE	fertigen Bestand unter P1–P4 im Werkstattgedächtnis ablegen
6	HOW	Biological-Seite und lokalen Bildbesitzer wählen
7	HOW	jede kurze Zelle bis zum lizenzierten Schluss ausführen
8	HOW	bei sichtbarem Besitzerwechsel den lokalen Posten zurücksetzen
9	WHEN	das vom Meister benannte Astro-Teilinstrument öffnen
10	WHEN	nur den lokalen Locus und seine Oberfläche kopieren
11	WHEN	Bedingungswert aus dem Meisterexemplar einsetzen; keine Richtung erfinden
12	CLOSE	Auftrag mit Produkt, Station, Maß, Dauer, Ergebnis und Bedingung rücklesen
