lexicon_id	scope	surface_examples	current_default	default_language	source_class	confidence	events	pages	derivation	meaning_status
00d8ebe3c68294eeac39	PROSE_EXACT_CARD	chdal	mit der vorigen Mischung	GERMAN_CREATIVE_DEFAULT	APPLICATION_PHRASE	.16	1	f83r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
0275fbf14e07935b0a45	PROSE_EXACT_CARD	okeey|qokeey	temperiere die Arbeitsflüssigkeit und halte sie lauwarm	GERMAN_CREATIVE_DEFAULT	TEMPER_LUKEWARM	.68	7	f81v|f82r|f83r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
03626ca94cb17800d767	PROSE_EXACT_CARD	sheedy	wasche einmal und beende den Schritt	GERMAN_CREATIVE_DEFAULT	COMMITTED_TECHNICAL_INSTRUCTION	.16	1	f83r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
04a3877f0fc81b7597c9	PROSE_EXACT_CARD	ldy	ziehe es ab und beende den Schritt	GERMAN_CREATIVE_DEFAULT	COMMITTED_TECHNICAL_INSTRUCTION	.24	2	f82r|f83r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
07913ef9b1fb773cd325	PROSE_EXACT_CARD	okchedy|qokchedy	lasse es abkühlen und beende den Schritt	GERMAN_CREATIVE_DEFAULT	COMMITTED_TECHNICAL_INSTRUCTION	.24	2	f81v|f83r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
087a47b5423438cd6b6a	PROSE_EXACT_CARD	chokcheo	trinke es bei Magenschmerz	GERMAN_CREATIVE_DEFAULT	INDICATION	.36	1	f56r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
08bd5ca0c2ad137a056d	PROSE_EXACT_CARD	okey|qokey	warmes Wasser	GERMAN_CREATIVE_DEFAULT	APPLICATION_PHRASE	.24	2	f81v|f82r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
0ab57b7166de99db3a55	PROSE_EXACT_CARD	lchy	ziehe die klare Flüssigkeit ab	GERMAN_CREATIVE_DEFAULT	APPLICATION_CLAUSE_HEAD	.16	1	f82r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
0bdc8b6db811b4e67a63	PROSE_EXACT_CARD	chary	und lasse es abkühlen	GERMAN_CREATIVE_DEFAULT	APPLICATION_CLAUSE_END	.16	1	f83r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
0ec6a45e2950e8e7061d	PROSE_EXACT_CARD	chodaly	die dünne untere Wurzel	GERMAN_CREATIVE_DEFAULT	PLANT_PART	.35	1	f56r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
0f15effeca7ab10bb026	PROSE_EXACT_CARD	lchedar	kühles Wasser	GERMAN_CREATIVE_DEFAULT	APPLICATION_PHRASE	.16	1	f82r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
0f18de177ed7c878bf95	PROSE_EXACT_CARD	dl	das bereitete Öl	GERMAN_CREATIVE_DEFAULT	APPLICATION_PHRASE	.24	2	f81v	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
10488b911aae52b3b334	PROSE_EXACT_CARD	otchor|qotchor	vor der Blüte gesammelt	GERMAN_CREATIVE_DEFAULT	GATHERING_TIME	.45	2	f10r|f56r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
12efe866f335461823a6	PROSE_EXACT_CARD	chair	gib Rotwein hinzu	GERMAN_CREATIVE_DEFAULT	MEDIUM	.32	1	f10r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
1322bc176443fc2a8a86	PROSE_EXACT_CARD	qokokchy	trockne es im Schatten	GERMAN_CREATIVE_DEFAULT	PREPARATION_ACTION	.39	1	f56r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
1496a731803a9f48d2e1	PROSE_EXACT_CARD	rol	bevor es abkühlt	GERMAN_CREATIVE_DEFAULT	APPLICATION_PHRASE	.16	1	f81v	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
1645e612504fcef59ced	PROSE_EXACT_CARD	okain|qokain	gib einen abgemessenen Anteil in das Gefäß	GERMAN_CREATIVE_DEFAULT	MEASURED_ADDITION	.55	7	f81v|f82r|f83r	V42_R2_ALL_381_EVENTS_EXACT_TUPLE_CONSISTENT	CREATIVE_CARD_EXPANSION_NOT_DECIPHERMENT
