case_id	left_step	right_step	card_bigram	source_occurrences	source_start_events
C1	1	2	PROC038|PROC005	0	NONE
C1	2	3	PROC005|PROC084	0	NONE
C1	3	4	PROC084|PROC048	0	NONE
C1	4	5	PROC048|PROC031	0	NONE
C1	5	6	PROC031|PROC078	0	NONE
C2	1	2	PROC014|PROC017	0	NONE
C2	2	3	PROC017|PROC018	1	E018
C2	3	4	PROC018|PROC124	0	NONE
C2	4	5	PROC124|PROC048	0	NONE
C2	5	6	PROC048|PROC119	0	NONE
C3	1	2	PROC028|PROC030	0	NONE
C3	2	3	PROC030|PROC038	0	NONE
C3	3	4	PROC038|PROC048	0	NONE
C3	4	5	PROC048|PROC031	0	NONE
C3	5	6	PROC031|PROC078	0	NONE
C4	1	2	PROC038|PROC080	0	NONE
C4	2	3	PROC080|PROC040	0	NONE
C4	3	4	PROC040|PROC048	0	NONE
C4	4	5	PROC048|PROC155	0	NONE
C4	5	6	PROC155|PROC043	0	NONE
C5	1	2	PROC052|PROC038	0	NONE
C5	2	3	PROC038|PROC063	0	NONE
C5	3	4	PROC063|PROC053	0	NONE
C5	4	5	PROC053|PROC169	0	NONE
C5	5	6	PROC169|PROC078	0	NONE
