case_id	step	surface	decoded_card_no	decoded_component_parse	decoded_command_de	expected_card_no	exact_backward_read
C1	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	PROC038	YES
C1	2	os	PROC005	OS	ARBEITSFACH	PROC005	YES
C1	3	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	PROC084	YES
C1	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	PROC048	YES
C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	PROC031	YES
C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	PROC078	YES
C2	1	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	PROC014	YES
C2	2	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	PROC017	YES
C2	3	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	PROC018	YES
C2	4	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	PROC124	YES
C2	5	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	PROC048	YES
C2	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	PROC119	YES
C3	1	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	PROC028	YES
C3	2	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	PROC030	YES
C3	3	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	PROC038	YES
C3	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	PROC048	YES
C3	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	PROC031	YES
C3	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	PROC078	YES
C4	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	PROC038	YES
C4	2	qokain	PROC080	OK+AIN	ANSETZEN · PORTION	PROC080	YES
C4	3	ykan	PROC040	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	PROC040	YES
C4	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	PROC048	YES
C4	5	qokylddy	PROC155	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	PROC155	YES
C4	6	talam	PROC043	TALAM	VERWAHREN	PROC043	YES
C5	1	cho	PROC052	HO	ZUTAT	PROC052	YES
C5	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	PROC038	YES
C5	3	kchoar	PROC063	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	PROC063	YES
C5	4	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	PROC053	YES
C5	5	daiiin	PROC169	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	PROC169	YES
C5	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	PROC078	YES
