page	locus	position_count	changed_position_ids	changed_position_count	lexical_core_changed_position_ids	lexical_core_changed_position_count	v98r1_reader_sha256	v99_reader_sha256	reader_changed	v98r1_reader_de	v99_reader_de	score_changes	component_global_exports	historical_confirmation
f102v2	f102v2.3	1	NONE	0	NONE	0	fe5ad244fd6bfec7f3952e2659625e032f1ef0f8e8acf8483ed1013d837d3350	fe5ad244fd6bfec7f3952e2659625e032f1ef0f8e8acf8483ed1013d837d3350	0	zwei Portionen	zwei Portionen	0	0	H0_NONE
f104v	f104v.2	10	P002	1	P002	1	5861aa7b8ee50744b24708e555b7bb5a25072c3cd1ee4a1247d9cd2bd3e5d31d	63271b5a54b5d7dee26917f4535b19b213c4b9e15aeec46b77cb40ea3500fae9	1	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen · Zubereitung vollständig abkühlen und abziehen · trockene Arzneizubereitung am Gradanfang · kalter Ansatz, Grad III · davon drei Maße · ein Maß nehmen und erhitzen · Unteranteil I des Anteils I der kalten Zubereitung · Material I, bis Mittelstufe getrocknet und abgeschlossen · Anteil II des kalten Ansatzes · eine Maßportion	drei Portionen der bis zur Mittelstufe getrockneten Droge abmessen · Zubereitung vollständig abkühlen und abziehen · trockene Arzneizubereitung am Gradanfang · kalter Ansatz, Grad III · davon drei Maße · ein Maß nehmen und erhitzen · Unteranteil I des Anteils I der kalten Zubereitung · Material I, bis Mittelstufe getrocknet und abgeschlossen · Anteil II des kalten Ansatzes · eine Maßportion	0	0	H0_NONE
f105r	f105r.2	13	NONE	0	NONE	0	93b36d31676d8e843edbe4479447ef577aedd3c339545f03747a541e085b203c	93b36d31676d8e843edbe4479447ef577aedd3c339545f03747a541e085b203c	0	eine abgemessene feuchte Form auf Endstufe · anschließend: trocken am Ende des Grades · Wurzel, Charge III · kalt-trockene Zubereitung; Anfangsstufe erreicht · eine Portion des Ansatzes abmessen · trockenes Material, Mittelstufe · Drogenportion · trocken am Ende des Grades · eine heiße Zubereitung auf Endstufe · Anteil I des Ansatzes abmessen · getrocknete Masse · fertige Zubereitung	eine abgemessene feuchte Form auf Endstufe · anschließend: trocken am Ende des Grades · Wurzel, Charge III · kalt-trockene Zubereitung; Anfangsstufe erreicht · eine Portion des Ansatzes abmessen · trockenes Material, Mittelstufe · Drogenportion · trocken am Ende des Grades · eine heiße Zubereitung auf Endstufe · Anteil I des Ansatzes abmessen · getrocknete Masse · fertige Zubereitung	0	0	H0_NONE
f105r	f105r.31	13	P025|P030	2	P025	1	f570e968ea6cc5648c80b075ac8716c116f27675344a0410e6ab093f9c4f45e3	c10604b29e51f7c7e4a5fdf7ac71073c2a299cd872f26d625b3b6006d31adcb4	1	vollständig erhitzte und abgeschlossene Zubereitungsdosis · getrocknetes Holz · vorstehendes Holz, eingeweicht · Drogenanteil I · den vorstehenden Anteil in drei Bündel abfüllen und schließen · vollständig bereitetes und abgeschlossenes Arzneikompositum · Rohstoffklasse I im heißen Ansatz, Gradanfang · bis zur mittleren Heizstufe erhitztes Holz · Anteil I des vorstehenden bis zur Mittelstufe erhitzten Holzes · mittlere Trockenstufe erreicht · heiß, Grad III · Drogenportion · heiß-trockene Blütenzubereitung in Grundform	vollständig erhitzte, fertige Portion der Zubereitung · getrocknetes Holz · vorstehendes Holz, eingeweicht · Drogenanteil I · den vorstehenden Anteil in drei Bündel abfüllen und schließen · vollständig bereitetes und abgeschlossenes Gemisch · Rohstoffklasse I im heißen Ansatz, Gradanfang · bis zur mittleren Heizstufe erhitztes Holz · Anteil I des vorstehenden bis zur Mittelstufe erhitzten Holzes · mittlere Trockenstufe erreicht · heiß, Grad III · Drogenportion · heiß-trockene Blütenzubereitung in Grundform	0	0	H0_NONE
f105v	f105v.1	9	NONE	0	NONE	0	fd88d77a1a26d3e2e76b2b01ce7636d59ada75eddf14ccb104e418e088e413b4	fd88d77a1a26d3e2e76b2b01ce7636d59ada75eddf14ccb104e418e088e413b4	0	Pulveranteil II, abgeschlossen · Anteil II der Zubereitung · trocken gebundenes Holzpulver, Form II · erhitze hiervon auf Stufe III · fertiges Holzextraktpulver · drei Portionen bis zur Mittelstufe getrockneten Pulvers · abgemessener Anteil II des vorstehenden bis zur Mittelstufe getrockneten Pulvers; fertig · hieraus Pulver bis zur Mittelstufe trocknen · Samenanteil II, abgeschlossen	Pulveranteil II, abgeschlossen · Anteil II der Zubereitung · trocken gebundenes Holzpulver, Form II · erhitze hiervon auf Stufe III · fertiges Holzextraktpulver · drei Portionen bis zur Mittelstufe getrockneten Pulvers · abgemessener Anteil II des vorstehenden bis zur Mittelstufe getrockneten Pulvers; fertig · hieraus Pulver bis zur Mittelstufe trocknen · Samenanteil II, abgeschlossen	0	0	H0_NONE
f105v	f105v.14	10	P047|P053	2	P047	1	51f3346649a9a02d72f4d6b4a38ad056ff6e8ff01b0c1c00db4469827de01ed3	999e747eff745c570040c3bbde843f7182f30431baba1b92aea893f9f45af5f8	1	drei Dosen bis Mittelstufe getrocknetes Pulver · trockenes Arzneikompositum, Anfangsstufe erreicht · hiervon den heißen Anteil III nehmen · fertiges Holzextraktpulver · abgezogene Portion des Holzauszugs · Menge IV · kaltgestellte Rohdroge II · Anteil I des Ansatzes abmessen · vorstehend abgemessener, erhitzter und abgezogener Anteil I · Droge kalt trocknen und leicht nachtrocknen	drei Portionen des bis zur Mittelstufe getrockneten Pulvers · trockenes Arzneikompositum, Anfangsstufe erreicht · hiervon den heißen Anteil III nehmen · fertiges Holzextraktpulver · abgezogene Portion des Holzauszugs · Menge IV · kaltgestellter Materialanteil II · Anteil I des Ansatzes abmessen · vorstehend abgemessener, erhitzter und abgezogener Anteil I · Droge kalt trocknen und leicht nachtrocknen	0	0	H0_NONE
f106r	f106r.23	10	NONE	0	NONE	0	a153d8e22380dab1795feaa0e201af56421c62c7eb09250978e6cf56afea8ff1	a153d8e22380dab1795feaa0e201af56421c62c7eb09250978e6cf56afea8ff1	0	bis zur Mittelstufe getrocknet und abgeschlossen · den vorstehenden Trockenposten bis zur Mittelstufe fertig aufbereiten · abgemessener Anteil II · Material I · heiße Mittelstufe erreicht · bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe erreicht · abgemessener Anteil I · eine Portion des Drogenanteils I	bis zur Mittelstufe getrocknet und abgeschlossen · den vorstehenden Trockenposten bis zur Mittelstufe fertig aufbereiten · abgemessener Anteil II · Material I · heiße Mittelstufe erreicht · bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe erreicht · abgemessener Anteil I · eine Portion des Drogenanteils I	0	0	H0_NONE
f107r	f107r.2	13	NONE	0	NONE	0	e42bc58da6d433b98c9f44cd1c66e6ce4173ff1289ff77202c036bf0a9f48936	e42bc58da6d433b98c9f44cd1c66e6ce4173ff1289ff77202c036bf0a9f48936	0	Eine abgemessene Portion bis zur Mittelstufe trocknen · eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen · Menge III · mittlere Feuchtstufe erreicht · vollständig abgekühlter und abgezogener Auszug · nimm eine Drogenportion · Menge III · trocken angesetzte Mischung, Anfangsstufe · Holzansatz vollständig erhitzt · kalter Ansatz, Grad II · trocken in der Mitte des Grades · anschließend bis zur letzten Stufe weiterführen und abschließen · Holzportion	Eine abgemessene Portion bis zur Mittelstufe trocknen · eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen · Menge III · mittlere Feuchtstufe erreicht · vollständig abgekühlter und abgezogener Auszug · nimm eine Drogenportion · Menge III · trocken angesetzte Mischung, Anfangsstufe · Holzansatz vollständig erhitzt · kalter Ansatz, Grad II · trocken in der Mitte des Grades · anschließend bis zur letzten Stufe weiterführen und abschließen · Holzportion	0	0	H0_NONE
f107r	f107r.40	10	NONE	0	NONE	0	6ddab37baa9bdc9baaff6fc46da8f856d4308a52c6d8537ae629efae3427ac4b	6ddab37baa9bdc9baaff6fc46da8f856d4308a52c6d8537ae629efae3427ac4b	0	Holzstoff, heiß auf Stufe III · trocken in der Mitte des Grades · heiß, Grad III · trockenes Material I, Anfangsstufe · Menge III · heißer Ansatz, Grad III · heißer Holzanteil I · Anteil II des kalten Ansatzes · Rohstoffklasse I im heißen Ansatz, Gradanfang · Rohstoffklasse I im heißen Ansatz, Gradanfang	Holzstoff, heiß auf Stufe III · trocken in der Mitte des Grades · heiß, Grad III · trockenes Material I, Anfangsstufe · Menge III · heißer Ansatz, Grad III · heißer Holzanteil I · Anteil II des kalten Ansatzes · Rohstoffklasse I im heißen Ansatz, Gradanfang · Rohstoffklasse I im heißen Ansatz, Gradanfang	0	0	H0_NONE
f10r	f10r.2	10	NONE	0	NONE	0	e6f26cc4e90ca52c51c950f96467e811f5cac8acf0f0122aa2a7c0f7ab11948f	e6f26cc4e90ca52c51c950f96467e811f5cac8acf0f0122aa2a7c0f7ab11948f	0	Eine abgemessene Portion bis zur Mittelstufe trocknen · eine Portion Krautansatz · trockener Anteil I der vorstehenden Krautansatzportion · trocken-kalt am Gradanfang · eine Zubereitung · trockener Anteil II der vorstehenden Zubereitung · nachgekühlter Trockenstoff im Ansatz · heißer Ansatz am Anfang des Grades · Grad III · bis zur Mittelstufe gekühlte, abgeschlossene Zubereitung	Eine abgemessene Portion bis zur Mittelstufe trocknen · eine Portion Krautansatz · trockener Anteil I der vorstehenden Krautansatzportion · trocken-kalt am Gradanfang · eine Zubereitung · trockener Anteil II der vorstehenden Zubereitung · nachgekühlter Trockenstoff im Ansatz · heißer Ansatz am Anfang des Grades · Grad III · bis zur Mittelstufe gekühlte, abgeschlossene Zubereitung	0	0	H0_NONE
