unit_order	unit_id	domain	page	groups	loci	statements	transferred_or_exact	ambiguous	local_only
1	H1	PROSE	f10r	14	2	2	14	0	0
2	H2	PROSE	f10r	24	3	3	24	0	0
3	H3	PROSE	f11r	17	3	4	17	0	0
4	H4	PROSE	f55v	18	2	4	18	0	0
5	H5	PROSE	f56r	27	7	6	27	0	0
6	B1	PROSE	f81v	66	7	21	66	0	0
7	B2	PROSE	f82r	62	8	22	62	0	0
8	B3	PROSE	f83r	86	10	34	86	0	0
9	B4	PROSE	f83r	47	10	16	47	0	0
10	B5	PROSE	f83r	11	3	3	11	0	0
11	B6	PROSE	f83r	9	2	1	9	0	0
12	A1	ASTRO	f67r2	190	74	0	113	12	65
13	A2	ASTRO	f68r1	65	37	0	37	12	16
14	A3	ASTRO	f69v	140	31	0	91	17	32
