component	role	value_de	support_cards	teaching_status	combined_support_cards	herbal_events	biological_events	register_scope	previous_value_de	common_root_revision
AIIN	ARGUMENT	Mass	6	RECURRING_COMPONENT	10	14	25	BOTH	Mass	NO
AIN	ARGUMENT	Portion	4	RECURRING_COMPONENT	8	4	13	BOTH	Portion	NO
AIR	ARGUMENT	Lauf	4	RECURRING_COMPONENT	5	1	4	BOTH	Wasser	YES
AL	ARGUMENT	Stelle	19	RECURRING_COMPONENT	22	5	34	BOTH	Stelle	NO
AR	ARGUMENT	von dort	7	RECURRING_COMPONENT	9	2	7	BOTH	Quelle oder Vorrat	YES
CH	OPERATION	abziehen	2	RECURRING_COMPONENT	12	11	2	BOTH	abziehen	NO
CHD	OPERATION	umsetzen	22	RECURRING_COMPONENT	22	1	47	BOTH	umsetzen	NO
CHK	OPERATION	waermen	4	RECURRING_COMPONENT	4	1	6	BOTH	waermen	NO
CKH	OPERATION	Durchlass	6	RECURRING_COMPONENT	7	1	9	BOTH	Durchlass	NO
CKHE	OPERATION	seihen	2	RECURRING_COMPONENT	2	0	4	BIOLOGICAL_ONLY	seihen	NO
CTH	STATE	bereit	5	RECURRING_COMPONENT	8	6	9	BOTH	bereit	NO
DY	ENDPOINT	Schluss	33	RECURRING_COMPONENT	36	4	84	BOTH	Schluss	NO
E	GRADE	kurz	23	RECURRING_COMPONENT	28	5	36	BOTH	kurz	NO
EE	GRADE	laenger	15	RECURRING_COMPONENT	16	2	34	BOTH	laenger	NO
EEE	GRADE	vollstaendig	2	RECURRING_COMPONENT	2	0	2	BIOLOGICAL_ONLY	vollstaendig	NO
IIN	ARGUMENT	Sollstufe	1	LEARNED_BOUND_SIGN	2	1	2	BOTH	Sollstufe	NO
K	OPERATION	zufuehren	6	RECURRING_COMPONENT	17	11	9	BOTH	zufuehren	NO
L	OPERATION	fuehren	17	RECURRING_COMPONENT	17	0	26	BIOLOGICAL_ONLY	fuehren	NO
LDDY	ENDPOINT	befestigen und schliessen	1	LEARNED_BOUND_SIGN	1	0	1	BIOLOGICAL_ONLY	befestigen und schliessen	NO
LS	OPERATION	abfuehren	1	LEARNED_BOUND_SIGN	1	0	1	BIOLOGICAL_ONLY	abfuehren	NO
LSH	OPERATION	Waschgang	2	RECURRING_COMPONENT	2	0	3	BIOLOGICAL_ONLY	Waschgang	NO
O	FRAME	Arbeitsgang	6	RECURRING_COMPONENT	16	10	7	BOTH	Arbeitszustand	YES
OK	FRAME	ansetzen	19	RECURRING_COMPONENT	23	11	68	BOTH	ansetzen	NO
OL	FRAME	fortsetzen	14	RECURRING_COMPONENT	24	16	32	BOTH	fortsetzen	NO
OR	ARGUMENT	Ansatz	4	RECURRING_COMPONENT	10	13	5	BOTH	Ansatz	NO
OT	FRAME	danach	10	RECURRING_COMPONENT	16	8	18	BOTH	danach oder naechster	YES
P	OPERATION	hinein	2	RECURRING_COMPONENT	3	1	2	BOTH	hinein	NO
R	OPERATION	abkuehlen	6	RECURRING_COMPONENT	6	0	6	BIOLOGICAL_ONLY	abkuehlen	NO
SH	OPERATION	halten	14	RECURRING_COMPONENT	19	5	16	BOTH	halten	NO
SHED	OPERATION	absetzen	3	RECURRING_COMPONENT	3	0	15	BIOLOGICAL_ONLY	absetzen	NO
SOLK	OPERATION	auffangen	5	RECURRING_COMPONENT	5	0	7	BIOLOGICAL_ONLY	auffangen	NO
T	OPERATION	eintragen	3	RECURRING_COMPONENT	9	7	3	BOTH	fuellen	YES
Y	ARGUMENT	dies	37	RECURRING_COMPONENT	57	41	77	BOTH	dieser laufende Posten	YES
HO	ARGUMENT	Gabe	5	HERBAL_COMPONENT_EXTENSION	5	8	0	HERBAL_ONLY	Zutat	YES
CHEO	ARGUMENT	Auszug	2	HERBAL_COMPONENT_EXTENSION	2	2	0	HERBAL_ONLY	Auszug	NO
