locus_row	diagram_id	page	locus	local_namespace	visible_owners	groups	group_serials	atomic_common_root_reading_de	revised_groups	orientation	cross_instrument_join
1	A1	f67r2	f67r2.1	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_01	3	1|2|3	dies + zufuehren + dies; lokale Etikette; lokale Etikette	0	UNSPECIFIED	NONE
2	A1	f67r2	f67r2.2	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_02	3	4|5|6	dies + zufuehren + kurz + Gabe; Arbeitsgang + abfuehren; mehrdeutige lokale Etikette	1	UNSPECIFIED	NONE
3	A1	f67r2	f67r2.3	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_03	3	7|8|9	kurz + dies; lokale Etikette; ansetzen + von dort	0	UNSPECIFIED	NONE
4	A1	f67r2	f67r2.4	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_04	2	10|11	halten + kurz + zufuehren + dies; lokale Etikette	0	UNSPECIFIED	NONE
5	A1	f67r2	f67r2.5	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_05	2	12|13	mehrdeutige lokale Etikette; dies ansetzen	0	UNSPECIFIED	NONE
6	A1	f67r2	f67r2.6	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_06	1	14	lokale Etikette	0	UNSPECIFIED	NONE
7	A1	f67r2	f67r2.7	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_07	3	15|16|17	dies + zufuehren + dies; dies kurz zuführen; lokale Etikette	0	UNSPECIFIED	NONE
8	A1	f67r2	f67r2.8	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_08	1	18	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
9	A1	f67r2	f67r2.9	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_09	2	19|20	dies + zufuehren + von dort; dies + zufuehren + Stelle + dies	0	UNSPECIFIED	NONE
10	A1	f67r2	f67r2.10	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_10	3	21|22|23	fuehren + zufuehren + dies; dies zuführen; ansetzen + von dort	0	UNSPECIFIED	NONE
