locus_serial	diagram_id	page	locus	visible_owner	namespace_id	group_count	surface_sequence	component_group_count	local_word_group_count	speakable_locus_reading_de	use_rule_de
1	A1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	3	ykshy s aram	0	3	right sector slot 01: Position oder Bedingung halten; Nebenwert; Ausgangssektor, Ursprung oder Bezugswert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
2	A1	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	3	ykecho ols eesydy	0	3	right sector slot 02: Himmelsobjekt oder Eingangsbedingung; im selben Ring, Band oder Satz fortsetzen; lange oder volle Diagrammstufe	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
3	A1	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	3	ey shs okar	1	2	right sector slot 03: aktueller Auswahlwert; Position oder Bedingung halten; Quelle aktivieren	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
4	A1	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	2	shekchy sykos	0	2	right sector slot 04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; sekundäre Grundklasse	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
5	A1	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	2	ykeody okchy	1	1	right sector slot 05: Klassenplatz fest eingetragen; diesen Diagrammposten setzen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
6	A1	f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	F67_RIGHT_WHEEL_NS	1	dchetay	0	1	right sector slot 06: fester Hauptphasenwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
7	A1	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	3	ykchy kchey ykchys	1	2	right sector slot 07: Diagrammplatz berechnen oder bearbeiten; diesen Diagrammplatz kurz bearbeiten; Diagrammplatz berechnen oder bearbeiten	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
8	A1	f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	F67_RIGHT_WHEEL_NS	1	chkchdar	1	0	right sector slot 08: Bearbeiten + Quelle	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
9	A1	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	2	ykar ykaly	0	2	right sector slot 09: Ausgangssektor, Ursprung oder Bezugswert; Zielsektor, Zielstern oder Zielfeld	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
10	A1	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	3	lkshy kchy okar	2	1	right sector slot 10: Position oder Bedingung halten; diesen Diagrammplatz bearbeiten; Quelle aktivieren	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
