right_surface	selected_default_de	alternate_1_de	alternate_2_de	confidence	provenance_path	promotion_status	positive_evidence	counterevidence
chor	Blütenstand	Fruchtstand	unspezifischer Pflanzenteil	C0	GDT768_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	GDT768 zählt 176 exakte Ganzwortvorkommen; die nominale Pflanzenteilrolle ist deutlich stärker als die konkrete Organwahl	Blüte gegen Frucht oder anderen Pflanzenteil nicht entschieden
chol	getrocknet	Trockenstoff	Trocknungsanweisung	C2	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	303 exakte Ganzwortvorkommen und wiederholte chor/cthy-plus-chol Zustandskonstruktionen	Zustand gegen Stoff oder Anweisung nicht vollständig getrennt
dair	abgemessener Anteil II	Fraktionsfeld II	Dosisstufe II	C2	GDT768_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	Spätere dar-dair-daiir-Leiter und 63 exakte dair-Vorkommen tragen Mess-/Anteilachse II	Anteil gegen Dosisdimension offen
ar	Anteil	Portion	Verhältnisfeld	C2	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	242 exakte Ganzwortvorkommen und wiederkehrende ar-plus-Wert-Konstruktion	Anteil gegen Portion oder Verhältnisfeld offen
ols	Produktposten	Maß-/Dosisposten	Endportion	C0	GDT769_772_SOURCE_CONFLICT	EXACT_OL_PLUS_WHOLE_ONLY__SOURCE_CONFLICT	GDT769 findet 12 exakte Vorkommen mit Wert- und Endpositionen; GDT778 setzt eine bewusst neue lokale Ganzworthypothese	GDT772 wählt formal OLS_NULL; die ältere Filtratlesung ist überholt
choy	getrocknete Zubereitungsform	trockene Grundform	Abschlussform	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	14 bare und 2 headed Kandidatenvorkommen tragen eine trockene Formfamilie	GDT738 bleibt unentschieden; reine Schlussform ist medial zu eng
char	Fraktionsstufe I	Trockenanteil I	Anteilsposten	C0	GDT737_BODY_PLUS_GDT738_HOLD	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Teil-/Fraktionsstufe I bleibt als gebundener Kandidat erhalten	GDT738 setzt HOLD_CONTRADICTED_FAMILY_TRANSFER; Trockenachse unentschieden
keey	erhitzte Form II	Wärmestufe II	Erhitzungsvorgang	C1	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	43 bare und 39 headed Kandidatenvorkommen; Discovery trägt die Wärmefamilie	W23 bleibt unentschieden und Prozess gegen Zustand offen
olkaiin	erhitztes Material, Wert III	Grad III	Mengenstufe III	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	28 bare und 5 headed Kandidatenvorkommen tragen Wärme/Material plus Wertleiter	Beide Transferprüfungen unentschieden
air	Anteil II	Fraktionsstufe II	Formcode II	C1	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	GDT736s formale Leiter und 31 headed Ziele tragen eine zweite Anteil-/Wertstufe	Konkrete Dimension und botanische Altassoziation nicht bestätigt
