path	expected_sha256	role
experiments/yolo/gdt777_ol_registered_split_fusion_composer/artifacts/GDT777_376_RENDERER.tsv	5ae2f6148dc4c769e92be0ebfe5ea66474ea90ca76746cd17a6cd92f8bd9cda6	fixed 376-position predecessor renderer with exact right-token and inherited-consumption metadata
experiments/yolo/gdt777_ol_registered_split_fusion_composer/artifacts/RESULT.json	333a5b85d4eb9f65474f0f05c28bfd83ee6be4ced5b0e5f572e16bc742e1090e	published predecessor coverage and consumption totals
experiments/yolo/gdt734_v99r7_recurrent_unknown_family_dispatch/artifacts/V99R7_1606_COMPLETE_WORD_CONFIDENCE.tsv	9646b8960840f0a6bb10985f0f9d7eef1237725f0763b712a96f0190aeaf7816	legacy complete-word cards retained only as quarantined provenance
experiments/yolo/gdt734_v99r7_recurrent_unknown_family_dispatch/artifacts/V99R7_TOP100_RESIDUAL_SPLIT_INVENTORY.tsv	423098fbee87fd9bce5311b7f013e403da13e5603c77f06bbd1d29760e7ebe77	legacy residual provenance for ory and oldaiin
experiments/yolo/gdt736_opaque_head_record_role_bridge/artifacts/BODY_ROLE_DICTIONARY_V2.tsv	802fa90e78059cb76d5c083b2279dc955889e4e32a970ab2c26ac3191ff6e5c0	corrected training-body candidates for three new exact-whole promotions
experiments/yolo/gdt737_held_body_record_role_transfer/artifacts/HELD_BODY_WORKING_CANDIDATES.tsv	1983d5644000938182a7a8390835117393c2651e8a2eb46ab513172eb90df405	corrected held-body candidates and explicit zero renderer and component export
experiments/yolo/gdt738_held_body_occurrence_semantic_adjudication/artifacts/BODY_120_SEMANTIC_BRIDGE.tsv	620335302efe3554347f0e2942ac48bf1ac7fee72db7545d136a8ab08170872b	held-body transfer decisions and zero body renderer licence
experiments/yolo/gdt758_ychor_follower_global_content_census/artifacts/FOLLOWER_11_GLOBAL_CENSUS.tsv	021439ab271db5052642619d1d025ad9db6cbc5301a3fee1e53d5f1b85457d49	later complete-whole ar and chol evidence plus retired ols source
experiments/yolo/gdt759_quantity_part_state_construction_atlas/artifacts/GDT759_EXACT_CONSTRUCTION_DICTIONARY.tsv	c66a3a8afa68163872bdb12a2368e72bc08bbc4f997d0882e30e15f536ab03e7	exact bidirectional chor chol state constructions
experiments/yolo/gdt768_chor_shor_part_identity_tournament/artifacts/GDT768_6_WORKING_DICTIONARY.tsv	2c9c805b12aa1adf1b858b8e4c6355a1b30ebbc85f0b4d0f74578a4a4a6ccde9	later complete-whole chor and dair decisions
experiments/yolo/gdt769_liquid_process_role_identity_dispatch/artifacts/GDT769_5_WORKING_DICTIONARY.tsv	b61b427b8acc2d0f5ca4e7eaa37d677281b132adec7be522efa467795098d37c	weak ols measure-product field rival
experiments/yolo/gdt772_expanded_ol_branch_masked_rescore/artifacts/GDT772_4_WORKING_DICTIONARY.tsv	bfb5c4d30918748d2e2c358a8ae11015803f3721070ef6ac843f26cb92c02831	later OLS_NULL decision and open product-process conflict
tools/relation_edge_intake.py	fb8447470aa81ed608b90aedf7478893ddf6a445351aa12ab23c6fd725be3a47	GDT388 relation packet intake validator
