surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	working_meaning_de	decision
checkhy	f39r	f39r.3	qokalchdy chekaiin checkhy darshed qokeedar eeedy dar ar cheey dyckhy	qokalchdy chekaiin checkhy dar shed qokeedar eeedy dar or cheey dy ckhy	qokalch y chekaiin checkh darshe qokeedar eee y dar ar cheey yckhy	READER_VARIANT	trockenes Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
checkhy	f76v	f76v.19	or as sheey otar shedy otchedy checkhey olchedy checkhy checkhy lky	or ar sheey otar shedy otchedy checkhey olchedy checkhy sheckhy lky	r ar sheey otar shedy otched checkhey olche y checkhy checthy lky	READER_VARIANT	trockenes Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
checkhy	f82v	f82v.22	qokain chedy qolkshey qotal shey qokain ol checkhy ly	qokain chedy qolkshey qotal shey qokain olcheckhy ly	qokain chedy qolkshey qotal shey qokain ol checkhy ly	READER_VARIANT	trockenes Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
checkhey	f76r	f76r.55	sain sheey or ar al solshey okeedy ldaiin checkhey okedalor	sain sheey or or al solshey okeedy ldaiin checthey okedalor	sain sheey or or al solshey okeedy ldaiin checthey okedalor	READER_VARIANT	trockenes Arzneikompositum in der Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhy	f103v	f103v.40	yteey sheal shey qoain ol keey qokaiin shckhy lchedy rain	yteey sheal shey qoain ol keey qokain shckhy lchedy rain	yteey sheal shey qoain ol keey qokaiin ckhy lchedy rain	READER_VARIANT	Arzneikompositum: feucht, Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhy	f111v	f111v.13	sheaiin okaiin shckhy cheol kedy chetar okaiin shal lchdal tedy tar amd	sheaiin okaiin chckhy cheol kedy chetar okaiin shal lchdal tedy tar amd	sheaiin okaiin shckhy cheol ke y chetar okaiin shal lch al te y tar amd	READER_VARIANT	Arzneikompositum: feucht, Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhy	f116r	f116r.34	qokain ar raiin shek okain y r shey qolchey okaiin shckhy qokam	qokain ar raiin shek okain yrshey qolchey okain shckhy qokam	qokain ar raiin shek okain yrshey qolchey okaiin sh ckhy qokam	ALL_THREE_SPLIT_NORMALIZED	Arzneikompositum: feucht, Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhy	f6v	f6v.4	y shckhy ytchoy s os y jajy dchy dey okody ytody	y shckhy ytchoy sos y dady dchy dey okody ytody	yshckhy ytchoy s os y jajy dchy dey okody ytody	READER_VARIANT	Arzneikompositum: feucht, Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhy	f76r	f76r.40	qolchey shckhy qokey lchy opchey dain shdy qokedar olchdy sor oty dy lchedy	qolchey shckhy qokey lchy opchey dain shdy qokedar olchdy sor oty dy lchedy	qolchey ckhy qokey lchy opchey dain shdy qokedar olchdy s r oty dy lche y	READER_VARIANT	Arzneikompositum: feucht, Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhy	f76r	f76r.9	shed al shckhy r ain chcphedy ain olkeey lkar ain otchy lkain chedy dar daly	shed al shckhy sain chcphedy ain olkeey lkar ain otchy lkain chedy dar daly	shed al ckhy sain chcphedy ain olkeey lkar ain oteey lkain chedy ar daly	READER_VARIANT	Arzneikompositum: feucht, Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhy	f81v	f81v.19	solkeey ol shedy qokar shckhy dedy qokar qokal dol chy	solkeey ol shedy qokar sheckhy dcsedy qokar qokal dol chy	solkeey ol she y qokar shckhy dedy qokas qokal dol chy	READER_VARIANT	Arzneikompositum: feucht, Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhey	f111v	f111v.16	qokain sheol qokain shckhey lchedy okar al qotal shedy otain far aiin am	qokain sheol qokain chckhey lchedy okar al qotal shedy otain far aiin am	qokain sheol qokain shckhey lchedy okar al qotal she y otain far aiin am	READER_VARIANT	Arzneikompositum: feucht, Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhey	f112r	f112r.33	sarol okcheey cphedy shckhey okeeor chedy shdal	sarol okcheey cphedy shckhhy okeeor chedy shdal	sarol okcheey cphed shy okeeor chedy shdal	READER_VARIANT	Arzneikompositum: feucht, Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhedy	f76v	f76v.33	saiin otaiin shckhedy	saiin otaiin shckhedy	saiin otaiin ckhedy	READER_VARIANT	Arzneikompositum: feucht, Gradmitte, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shckhedy	f78r	f78r.11	qoky okeedy sheety qoteedy otey shckhedy sokol or	qoky okeedy sheety qoteedy otey shckhedy sokol or	qoky okee y eety qoteedy otey ckhe y sokol or	READER_VARIANT	Arzneikompositum: feucht, Gradmitte, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
