prediction_rank	cell_id	blocked_fused_atom_sequence	intended_reading_de	paraphrase_atom_sequence	paraphrase_card_count	representative_observed_surfaces	spoken_paraphrase_de	controlled_meaning_drift	exact_semantic_equivalence	all_cards_individually_observed	complete_chain_observed	new_surface_invented	master_warning_de
1	B01E02	OK+CLOSE	ansetzen und den Schritt schließen	OK+E+CLOSE	1	qokedy	ansetzen, kurz ausführen und schließen	EXTRA_BRIEF_GRADE	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
2	B03E09	OT+E+Y	zum folgenden Posten gehen kurz am aktuellen Posten	OT+Y | OK+E+Y	2	otchey okey	zum folgenden Posten gehen und ihn kurz ansetzen	EXTRA_SET_OPERATION	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
3	B09E01	SHED+Y	absetzen lassen am aktuellen Posten	Y | SHED+E+CLOSE	2	y tedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
4	B10E01	SOLK+Y	auffangen am aktuellen Posten	SOLK+E+Y	1	solkey	den aktuellen Posten kurz auffangen	EXTRA_BRIEF_GRADE	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
5	B04E09	CHD+E+Y	umsetzen kurz am aktuellen Posten	CHD+Y | OK+E+Y	2	chdy okey	den aktuellen Posten umsetzen und kurz neu ansetzen	EXTRA_SET_OPERATION	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
6	B08E01	CHK+Y	wärmen am aktuellen Posten	CHK+E+Y	1	cheky	den aktuellen Posten kurz wärmen	EXTRA_BRIEF_GRADE	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
7	B04E12	CHD+EE+CLOSE	umsetzen länger und dann schließen	CHD+Y | OK+EE+CLOSE	2	chdy qokeedy	umsetzen, länger neu ansetzen und schließen	EXTRA_SET_OPERATION	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
10	B03E02	OT+CLOSE	zum folgenden Posten gehen und den Schritt schließen	OT+Y | OK+E+CLOSE	2	otchey qokedy	zum folgenden Posten gehen, kurz ansetzen und schließen	EXTRA_SET_AND_BRIEF_GRADE	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
13	B07E01	CKHE+Y	trennen am aktuellen Posten	Y | CKHE+AR	2	y eckhear	den aktuellen Posten an der Quellenadresse trennen	EXTRA_SOURCE_ADDRESS	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
14	B09E07	SHED+AR	absetzen lassen aus der Quelle	AR | SHED+E+CLOSE	2	ar tedy	aus der Quelle nehmen, kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
15	B09E09	SHED+E+Y	absetzen lassen kurz am aktuellen Posten	Y | SHED+E+CLOSE	2	y tedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_CLOSE	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
16	B08E03	CHK+AIIN	wärmen mit Sollwert	AIIN | CHK+E+Y	2	aiin cheky	nach Sollwert kurz wärmen	EXTRA_BRIEF_GRADE_AND_CURRENT	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
19	B10E06	SOLK+AL	auffangen am Ziel	AL | SOLK+E+Y	2	al solkey	am Ziel kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
20	B10E07	SOLK+AR	auffangen aus der Quelle	AR | SOLK+E+Y	2	ar solkey	aus der Quelle kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
21	B02E09	OL+E+Y	fortsetzen kurz am aktuellen Posten	OL | OK+E+Y	2	ol okey	fortsetzen und den aktuellen Posten kurz neu ansetzen	EXTRA_SET_OPERATION	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
22	B04E11	CHD+E+CLOSE	umsetzen kurz und dann schließen	CHD+Y | OK+E+CLOSE	2	chdy qokedy	umsetzen, kurz neu ansetzen und schließen	EXTRA_SET_OPERATION	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
23	B09E10	SHED+EE+Y	absetzen lassen länger am aktuellen Posten	Y | SHED+EE+CLOSE	2	y sheedy	den aktuellen Posten länger absetzen lassen und schließen	EXTRA_CLOSE	NO_NEAREST_WORKSHOP_PARAPHRASE	YES	NO	NO	Zusatzinformation laut mitsprechen; nicht so tun, als sei die blockierte Fusionskarte vorhanden.
