prediction_rank	cell_id	scribe_profile	blocked_fused_atom_sequence	paraphrase_atom_sequence	scribe_surface_sequence	spoken_paraphrase_de	controlled_meaning_drift	all_surfaces_observed	new_surface_invented	status
1	B01E02	S1_BARE_MASTER	OK+CLOSE	OK+E+CLOSE	qokedy	ansetzen, kurz ausführen und schließen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
1	B01E02	S2_Q_CELL_SCRIBE	OK+CLOSE	OK+E+CLOSE	qokedy	ansetzen, kurz ausführen und schließen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
1	B01E02	S3_S_LINE_SCRIBE	OK+CLOSE	OK+E+CLOSE	qokedy	ansetzen, kurz ausführen und schließen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
1	B01E02	S4_MIXED_COMPACT	OK+CLOSE	OK+E+CLOSE	qokedy	ansetzen, kurz ausführen und schließen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
2	B03E09	S1_BARE_MASTER	OT+E+Y	OT+Y | OK+E+Y	otchey okey	zum folgenden Posten gehen und ihn kurz ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
2	B03E09	S2_Q_CELL_SCRIBE	OT+E+Y	OT+Y | OK+E+Y	qotchy qokey	zum folgenden Posten gehen und ihn kurz ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
2	B03E09	S3_S_LINE_SCRIBE	OT+E+Y	OT+Y | OK+E+Y	otchey okey	zum folgenden Posten gehen und ihn kurz ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
2	B03E09	S4_MIXED_COMPACT	OT+E+Y	OT+Y | OK+E+Y	otchey okey	zum folgenden Posten gehen und ihn kurz ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
3	B09E01	S1_BARE_MASTER	SHED+Y	Y | SHED+E+CLOSE	y tedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
3	B09E01	S2_Q_CELL_SCRIBE	SHED+Y	Y | SHED+E+CLOSE	dy shedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
