exact_card_id	component_recipe	meaning_de	herbal_events	biological_events	biological_pages	application_compatible
PROC013	OL	WEITER	3	16	f81v|f83r	YES
PROC009	AIIN	SOLLMASS	9	11	f81v|f82r|f83r	YES
PROC042	CHD+Y	UMSETZEN · POSTEN	1	10	f81v|f83r	YES
PROC019	Y	POSTEN	9	9	f81v|f82r|f83r	YES
PROC055	AL	ZIELSTELLE	1	9	f81v|f82r|f83r	YES
PROC038	OK+AIIN	ANSETZEN · SOLLMASS	1	8	f81v|f82r|f83r	YES
PROC008	OK+Y	ANSETZEN · POSTEN	3	7	f81v|f82r|f83r	YES
PROC048	OK+AL	ANSETZEN · ZIELSTELLE	1	5	f81v|f82r|f83r	YES
PROC014	CTH+Y	BEREITEN · POSTEN	3	4	f83r	YES
PROC003	AR	QUELLE	2	3	f81v|f82r|f83r	YES
PROC031	SH+EE+Y	HALTEN · LANG · POSTEN	1	3	f82r|f83r	YES
PROC016	OR	ANSATZ	5	2	f83r	YES
PROC004	T+Y	BEARBEITEN · POSTEN	1	1	f83r	YES
PROC022	OL+OR	WEITER · ANSATZ	1	1	f81v	YES
PROC046	CHK+EE+Y	WAERMEN · LANG · POSTEN	1	1	f83r	YES
PROC047	OL+DY	WEITER · SCHLUSS	1	1	f83r	YES
PROC065	OT+Y	DANACH · POSTEN	1	1	f83r	YES
