statement_id	record_unit_id	page	complete_spoken_card_chain_de
H1-S001	H1	f10r	Wurzel · Posten | bereitstellen · Ansatz | davon | einen Teil abtrennen | Gefäß | Flüssigkeitslauf | danach · Teil · weiter | diesen Posten einsetzen | Sollmaß | kurz · Teil
H1-S002	H1	f10r	diesen Posten weiterbearbeiten | danach · weiter | weiter | diesen Posten bereitstellen
H2-S001	H2	f10r	Posten · Auszug · Ansatz | diesen Posten bereitstellen | Arbeitsansatz | bereitstellen · Sollmaß | bereitstellen · weiter · Posten | dieser Posten | dieser Posten | Sollmaß | dieser Posten
H2-S002	H2	f10r	nächster Arbeitsansatz | Arbeitsansatz | danach · weiter | weiter | damit weiter | weiter | Sollmaß | davon
H2-S003	H2	f10r	Posten · bearbeiten · Ansatz | Arbeitsansatz | Arbeitsansatz | dieser Posten | Arbeitsstufe | dieser Posten | Zutat · Sollmaß
H3-S001	H3	f11r	Zutat · abführen | Zutat · Zielstelle | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarlauf | Zutat; schließen
H3-S002	H3	f11r	Zutat · Posten · Teil
H3-S003	H3	f11r	vom vorigen Posten | dieser Posten | bearbeiten · Posten | dieser Posten | Sollmaß
H3-S004	H3	f11r	danach · Posten | einsetzen · weiter | diesen Posten bereitstellen | dieser Posten
H4-S001	H4	f55v	auf Sollmaß stellen | Sollmaß | Posten · Anteil | Posten · Anteil | kühlen
H4-S002	H4	f55v	Sollmaß | diesen Posten übertragen | Zielstelle · verwahren
H4-S003	H4	f55v	Posten · Sollmaß | Auszug · Ausgang | länger bearbeiten | fortsetzen; abschließen
H4-S004	H4	f55v	Sollmaß | dorthin einsetzen | weiter · bereitstellen · Posten | Arbeitsansatz | dieser Posten | Ansatz · Anteil
H5-S001	H5	f56r	Zutat · Ansatz | weitere Zutat | Zutat · Zielstelle · Posten | Sollmaß | weitere Zutat | bearbeiten · weiter | nächster Arbeitsansatz | diesen Posten einsetzen | dorthin
H5-S002	H5	f56r	vom vorigen Posten | Zutat · Posten | diesen Posten einsetzen | länger · Durchgang · Zutat; schließen
H5-S003	H5	f56r	halten | weitere Zutat | bearbeiten · kurz · Posten | einsetzen · einsetzen · Posten
H5-S004	H5	f56r	diesen Posten weiterbearbeiten | einsetzen · Auszug | bearbeiten · Zielstelle
H5-S005	H5	f56r	weitere Zutat | diesen Posten weiterbearbeiten | Auszug · Ausgang | danach · anwenden
H5-S006	H5	f56r	der nächste Posten | kurz · weiter | Sollmaß
B1-S001	B1	f81v	kurz einwirken; schließen
B1-S002	B1	f81v	auf Sollmaß stellen | Flüssigkeitslauf | dorthin einsetzen | davon | weiter | einen Anteil | weiter · Anteil | dorthin | weiter | weiter | Zusatz | damit weiter | weiter | Durchgang · kurz · Zielstelle | Sollmaß | einsetzen · länger · Zielstelle | Sollmaß | durchführen | übertragen; schließen
B1-S003	B1	f81v	weiter | halten · bearbeiten · übertragen; schließen
B1-S004	B1	f81v	diesen Posten übertragen | weiter | kurz absetzen; schließen
B1-S005	B1	f81v	weiter übertragen; schließen
B1-S006	B1	f81v	einen Anteil zugeben | durchführen | Zusatz | Zielstelle
B1-S007	B1	f81v	einsetzen, übertragen; schließen
B1-S008	B1	f81v	dieser Posten | weiter | kurz wärmen | weiter | kurz absetzen; schließen
B1-S009	B1	f81v	kurz einwirken; schließen
B1-S010	B1	f81v	kurz einwirken; schließen
B1-S011	B1	f81v	durchführen | diesen Posten einsetzen
B1-S012	B1	f81v	waschen | kurz einwirken | waschen; schließen
B1-S013	B1	f81v	waschen; schließen
B1-S014	B1	f81v	diesen Posten übertragen | weiter | abführen · übertragen · Zielstelle | weiter | danach · Ausgang
B1-S015	B1	f81v	Posten · kurz · Teil | einsetzen, übertragen; schließen
B1-S016	B1	f81v	dorthin einsetzen | länger einwirken | weiter | kurz absetzen; schließen
B1-S017	B1	f81v	dorthin | kurz · weiter | übertragen; schließen
B1-S018	B1	f81v	abführen · Posten | halten · kurz · weiter | Arbeitsstufe | länger auffangen; schließen
B1-S019	B1	f81v	kurz absetzen; schließen
B1-S020	B1	f81v	kurz wärmen | seihen; schließen
B1-S021	B1	f81v	dorthin
B2-S001	B2	f82r	übertragen; schließen
B2-S002	B2	f82r	weiter übertragen; schließen
B2-S003	B2	f82r	einen Anteil zugeben | dieser Posten | länger einwirken; schließen
B2-S004	B2	f82r	dorthin einsetzen | abführen · Durchgang · Posten | abführen · übertragen | länger einwirken | abführen · trennen; schließen
B2-S005	B2	f82r	einsetzen · Zielstelle · Posten | auffangen · Sollmaß | durchführen | auf Sollmaß stellen | auf Sollmaß stellen | bereitstellen · weiter | wärmen · länger · Posten | abziehen; schließen
B2-S006	B2	f82r	danach · länger · Posten | dorthin einsetzen | Durchgang · kurz · Posten | diesen Posten einsetzen
B2-S007	B2	f82r	absetzen · kurz; schließen
B2-S008	B2	f82r	nächstes Sollmaß | einsetzen · Ausgang | kurz absetzen; schließen
B2-S009	B2	f82r	weiter · absetzen; schließen
B2-S010	B2	f82r	länger einwirken | diesen Posten einsetzen | abführen | Klarlauf
B2-S011	B2	f82r	einen Anteil zugeben | davon | einen Anteil zugeben | länger einwirken; schließen
B2-S012	B2	f82r	abführen · Posten | Klarlauf | bereitstellen · kurz · Posten | länger einwirken | abführen · Klarlauf | Sollmaß | dieser Posten | einsetzen · vollständig; schließen
B2-S013	B2	f82r	abführen; schließen
B2-S014	B2	f82r	abführen · Ausgang
B2-S015	B2	f82r	Klarlauf | länger einwirken; schließen
B2-S016	B2	f82r	dorthin | abführen · übertragen · Ausgang | teilen | Sollmaß | danach · länger · Posten | auf Sollmaß stellen | kurz einwirken | zuführen · übertragen; schließen
B2-S017	B2	f82r	halten · kurz · Zielstelle | Zielstelle; schließen
B2-S018	B2	f82r	länger einwirken; schließen
B2-S019	B2	f82r	waschen; schließen
B2-S020	B2	f82r	danach · länger; schließen
B2-S021	B2	f82r	länger einwirken; schließen
B2-S022	B2	f82r	abführen · übertragen; schließen
B3-S001	B3	f83r	länger auffangen; schließen
B3-S002	B3	f83r	danach dorthin | wärmen · länger; schließen
B3-S003	B3	f83r	dieser Posten | Sollmaß | dieser Posten | abführen; schließen
B3-S004	B3	f83r	auf Sollmaß stellen | danach dorthin | davon
B3-S005	B3	f83r	übertragen; schließen
B3-S006	B3	f83r	übertragen · Posten | dorthin einsetzen | weiter übertragen; schließen
B3-S007	B3	f83r	auf Sollmaß stellen | diesen Posten übertragen | länger einwirken; schließen
B3-S008	B3	f83r	abführen; schließen
B3-S009	B3	f83r	diesen Posten einsetzen
