surface	candidate	rank	sequence_fit	component_fit	concreteness	decision
chary	abkühlen	1	4	2	4	SELECT
chary	von dort weiterarbeiten	2	2	1	3	RIVAL
chary	abspülen	3	1	1	3	RIVAL
chary	abnehmen	4	1	1	3	RIVAL
lo	Abgang	1	4	2	4	SELECT
lo	unterer Ablauf	2	2	1	3	RIVAL
lo	Rest	3	1	1	3	RIVAL
lo	Gefäßrand	4	1	1	3	RIVAL
cheedar	Quellstation	1	4	4	4	SELECT
cheedar	Beckenstation	2	2	1	3	RIVAL
cheedar	Arbeitsstation	3	1	1	3	RIVAL
cheedar	Voransatz	4	1	1	3	RIVAL
shecthedchy	aufstreichen	1	4	2	4	SELECT
shecthedchy	einreiben	2	2	1	3	RIVAL
shecthedchy	beschichten	3	1	1	3	RIVAL
shecthedchy	abdecken	4	1	1	3	RIVAL
chety	zerkleinern	1	4	2	4	SELECT
chety	mischen	2	2	1	3	RIVAL
chety	schaben	3	1	1	3	RIVAL
chety	schneiden	4	1	1	3	RIVAL
cheeety	voll spülen	1	4	4	4	SELECT
cheeety	erste Spülung	2	2	1	3	RIVAL
cheeety	Endspülung	3	1	1	3	RIVAL
cheeety	Spülwasser	4	1	1	3	RIVAL
shecthy	temperiert	1	4	2	4	SELECT
shecthy	waschbereit	2	2	1	3	RIVAL
shecthy	bereit	3	1	1	3	RIVAL
shecthy	behandelt	4	1	1	3	RIVAL
chldaiin	Absetzmaß	1	4	4	4	SELECT
chldaiin	Absetzstand	2	2	1	3	RIVAL
chldaiin	Füllmaß	3	1	1	3	RIVAL
chldaiin	Ruhezeit	4	1	1	3	RIVAL
chealror	Auffangpunkt	1	4	4	4	SELECT
chealror	Klarpunkt	2	2	1	3	RIVAL
chealror	Ansatzstelle	3	1	1	3	RIVAL
chealror	Prüfpunkt	4	1	1	3	RIVAL
