statement_id	events	event_ids	owner_zones	card_sequence_de	continuous_reading_de	owner_break_inside_statement
B3-S001	1	E229	B3_ZONE_A_UPPER_PAIRED_STATION	länger auffangen; Schluss	Länger auffangen und schließen.	NO
B3-S002	2	E230|E231	B3_ZONE_A_UPPER_PAIRED_STATION	Folgestelle > länger wärmen; Schluss	An der Folgestelle länger wärmen und schließen.	NO
B3-S003	4	E232|E233|E234|E235	B3_ZONE_A_UPPER_PAIRED_STATION	dies > Mass > dies > hinausführen; Schluss	Diesen Posten nach Maß hinausführen und schließen.	NO
B3-S004	3	E236|E237|E238	B3_ZONE_A_UPPER_PAIRED_STATION	bemessen > Folgestelle > dasselbe	Bemessen, zur Folgestelle gehen und dasselbe verwenden.	NO
B3-S005	1	E239	B3_ZONE_A_UPPER_PAIRED_STATION	überführen; Schluss	Überführen und schließen.	NO
B3-S006	3	E240|E241|E242	B3_ZONE_A_UPPER_PAIRED_STATION	dies überführen > an die Stelle setzen > weiterführen; Schluss	Dies überführen, an die Stelle setzen, weiterführen und schließen.	NO
B3-S007	3	E243|E244|E245	B3_ZONE_A_UPPER_PAIRED_STATION	bemessen > dies umsetzen > länger ansetzen; Schluss	Bemessen, dies umsetzen, länger ansetzen und schließen.	NO
B3-S008	1	E246	B3_ZONE_A_UPPER_PAIRED_STATION	hinausführen; Schluss	Hinausführen und schließen.	NO
B3-S009	1	E247	B3_ZONE_A_UPPER_PAIRED_STATION	verwende dies	Dies verwenden.	NO
B3-S010	2	E248|E249	B3_ZONE_A_UPPER_PAIRED_STATION	an der Stelle hineinführen > kurzer Folgeschritt; Schluss	An der Stelle hineinführen, den kurzen Folgeschritt ausführen und schließen.	NO
B3-S011	4	E250|E251|E252|E253	B3_ZONE_A_UPPER_PAIRED_STATION	aufstreichen > verwende dies > dies umsetzen > abkühlen	Aufstreichen, dies verwenden, umsetzen und abkühlen.	NO
B3-S012	2	E254|E255	B3_ZONE_A_UPPER_PAIRED_STATION	Ansatz > kurz absetzen; Schluss	Den Ansatz kurz absetzen und schließen.	NO
B3-S013	4	E256|E257|E258|E259	B3_ZONE_A_UPPER_PAIRED_STATION	bemessen > eine Portion > dies kurz bereithalten > kurz ansetzen; Schluss	Bemessen, eine Portion nehmen, dies kurz bereithalten, kurz ansetzen und schließen.	NO
B3-S014	2	E260|E261	B3_ZONE_A_UPPER_PAIRED_STATION	Laufflüssigkeit in Gang setzen > länger absetzen; Schluss	Laufflüssigkeit in Gang setzen, länger absetzen und schließen.	NO
B3-S015	1	E262	B3_ZONE_A_UPPER_PAIRED_STATION	hinausführen; Schluss	Hinausführen und schließen.	NO
B3-S016	2	E263|E264	B3_ZONE_A_UPPER_PAIRED_STATION|B3_ZONE_B_MIDDLE_STATION	Abgang > Ansatz umsetzen; Schluss	Am Abgang abschließen; nach dem Besitzerwechsel den Ansatz umsetzen und schließen.	YES
B3-S017	1	E265	B3_ZONE_B_MIDDLE_STATION	länger ansetzen; Schluss	Länger ansetzen und schließen.	NO
B3-S018	1	E266	B3_ZONE_B_MIDDLE_STATION	kurz absetzen; Schluss	Kurz absetzen und schließen.	NO
B3-S019	1	E267	B3_ZONE_B_MIDDLE_STATION	kurz absetzen; Schluss	Kurz absetzen und schließen.	NO
B3-S020	2	E268|E269	B3_ZONE_B_MIDDLE_STATION	Stelle > hinausführen; Schluss	An der Stelle hinausführen und schließen.	NO
B3-S021	11	E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	B3_ZONE_B_MIDDLE_STATION	bemessen > bereit > Stelle > dies > Mass > an der Stelle absetzen > temperiert > dies > Stelle > bereit > an der Stelle überführen; Schluss	Bemessen; bereit an die Stelle setzen; dies auf Maß bringen; an der Stelle absetzen und temperieren; dies an der Stelle bereithalten, überführen und schließen.	NO
B3-S022	1	E281	B3_ZONE_B_MIDDLE_STATION	Folgeüberführung; Schluss	Die Folgeüberführung ausführen und schließen.	NO
B3-S023	1	E282	B3_ZONE_B_MIDDLE_STATION	hinausführen; Schluss	Hinausführen und schließen.	NO
