source_position	surface	joint_tuple_id	practice_owner	atomic_reading_de	real_records	real_pages	practice_owner_native_card	provenance_role	claim_limit
1	sho	2cc054357a929df85f64	H4	Zutat	H5	f56r	NO	CROSS_REGISTER_TEACHING_BORROWING	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
2	or	7a4bb8136330ee4e6e56	H4	Ansatz	B3|B4|H2|H4	f10r|f55v|f83r	YES	H4_ATTESTED	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
3	cheoar	807591efc3d3f7ddbfab	H4	Auszugnahme	H4	f55v	YES	H4_ATTESTED	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
4	cheky	d904bf7b044dd3922781	H4	Kurzwärme	B1|B4	f81v|f83r	NO	CROSS_REGISTER_TEACHING_BORROWING	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
5	lcheey	5fca8fc3dee57e1d8c1f	H4	benetzte Stelle	B2	f82r	NO	CROSS_REGISTER_TEACHING_BORROWING	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
6	cphy	deb377381ceaf55ea310	H4	Nachseihen	H3	f11r	NO	CROSS_REGISTER_TEACHING_BORROWING	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
7	checthy	e0b630cb1b5df5e7105b	H4	Bereit	B3|H1|H2|H3	f10r|f11r|f83r	NO	CROSS_REGISTER_TEACHING_BORROWING	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
8	dy	b921a237be883a820352	B3	Diesposten	B1|B2|B3|B4|B6|H2|H3|H4	f10r|f11r|f55v|f81v|f82r|f83r	YES	B3_ATTESTED	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
9	daiin	2f1c5e56e8f0ff459065	B3	Sollmaß	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	f10r|f11r|f55v|f56r|f81v|f82r|f83r	YES	B3_ATTESTED	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
10	shckhy	2cc8bb3c2af19607888f	B3	durchleiten	B1|B2	f81v|f82r	NO	CROSS_REGISTER_TEACHING_BORROWING	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
11	qoky	276a7c2d74d1143446f4	B3	Einsetzen	B1|B2|B3|B4|H1|H5	f10r|f56r|f81v|f82r|f83r	YES	B3_ATTESTED	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
12	qokeey	0275fbf14e07935b0a45	B3	Langkontakt	B1|B2|B3|B4	f81v|f82r|f83r	YES	B3_ATTESTED	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
13	qokedy	7db18b2f0fb7ed0fcfd3	B3	Kurzkontakt	B1|B3|B4	f81v|f83r	YES	B3_ATTESTED	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
14	talam	e026af581c99322fbd46	B3	Verwahren	H4	f55v	NO	CROSS_REGISTER_TEACHING_BORROWING	TEACHING_SYNTHESIS_NOT_H4_TRANSLATION
