statement_id	record_unit_id	page	physical_loci	event_count	primitive_sequence	primitive_count	macro_id	macro_reading_de	full_statement_reading_de	visible_surface_sequence
H1-S001	H1	f10r	f10r.2	10	SELECT_PLANT_PART>PREPARE_SET>SELECT_PLANT_PART>CUT_CRUSH>PREPARE_SET>ADD_MEDIUM>STRAIN_SEPARATE>MEASURE>DOSED_USE>STORE_RESERVE	10	MEASURE_AND_USE	Portion bemessen und als Mittel oder Anwendung gebrauchen	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	dchey cthoor char chty os chair otytchol oky daiin etyd
H1-S002	H1	f10r	f10r.5	4	SELECT_PLANT_PART>PREPARE_SET>SELECT_PLANT_PART>ORDER_CONTINUE>HEAT_GRADE>DOSED_USE>READY_CLOSE	7	CONTINUE_AND_READY	laufende Bereitung fortführen und auf Gebrauchsstufe bringen	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	qokchy qotchol chol cthy
H2-S001	H2	f10r	f10r.6	9	SELECT_PLANT_PART>PREPARE_SET>SELECT_PLANT_PART>CUT_CRUSH>WRING>PREPARE_SET	6	EXTRACT_AND_SEPARATE	Auszug gewinnen, klären oder abteilen	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	ycheor cthy chor cthaiin qoctholy dy chy taiin shy
H2-S002	H2	f10r	f10r.8	8	SELECT_PLANT_PART>PREPARE_SET>ADD_MEDIUM>PREPARE_SET>ADD_MEDIUM>ORDER_CONTINUE>MEASURE	7	SELECT_AND_PREPARE	Pflanzenteil wählen und neuen Ansatz eröffnen	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	qotchor chor otol chol cholor chol daiin dar
H2-S003	H2	f10r	f10r.9	7	SELECT_PLANT_PART>PREPARE_SET>CUT_CRUSH>PREPARE_SET>HEAT_GRADE>MEASURE>DOSED_USE>EXTERNAL_APPLY	8	MEASURE_AND_USE	Portion bemessen und als Mittel oder Anwendung gebrauchen	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	oykchor shor chor chy kaiiin dy chodaiin
H3-S001	H3	f11r	f11r.1	7	SELECT_PLANT_PART>ORDER_CONTINUE>SELECT_PLANT_PART>PREPARE_SET>ADD_MEDIUM>WRING>PREPARE_SET>SETTLE>STRAIN_SEPARATE>HEAT_GRADE	10	EXTRACT_AND_SEPARATE	Auszug gewinnen, klären oder abteilen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	tshol schoal cfhy shfydaiin cphy shey tchody
H3-S002	H3	f11r	f11r.1	1	SELECT_PLANT_PART>ORDER_CONTINUE>STORE_RESERVE>SELECT_PLANT_PART>ORDER_CONTINUE>STORE_RESERVE>SETTLE>STORE_RESERVE	8	STORE_OR_RESERVE	Rest, Vorrat oder zweiten Posten zurückstellen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	shoyty
H3-S003	H3	f11r	f11r.4	5	SELECT_PLANT_PART>ORDER_CONTINUE>MEASURE>DOSED_USE	4	MEASURE_AND_USE	Portion bemessen und als Mittel oder Anwendung gebrauchen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	dchol chy kchy dy daiin
H3-S004	H3	f11r	f11r.7	4	SELECT_PLANT_PART>ORDER_CONTINUE>PREPARE_SET>ORDER_CONTINUE>ADD_MEDIUM>ORDER_CONTINUE>HEAT_GRADE>READY_CLOSE	8	CONTINUE_AND_READY	laufende Bereitung fortführen und auf Gebrauchsstufe bringen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	qotchy okchol cthy dy
H4-S001	H4	f55v	f55v.5	5	SELECT_PLANT_PART>EXTERNAL_APPLY>SELECT_PLANT_PART>MEASURE>PREPARE_SET>ADD_MEDIUM	6	MEASURE_AND_USE	Portion bemessen und als Mittel oder Anwendung gebrauchen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	qokaiin chaiin ykain ykan ody
H4-S002	H4	f55v	f55v.5	3	SELECT_PLANT_PART>EXTERNAL_APPLY>WRING>PREPARE_SET>DOSED_USE	5	MEASURE_AND_USE	Portion bemessen und als Mittel oder Anwendung gebrauchen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	daiin chedy talam
H4-S003	H4	f55v	f55v.11	4	SELECT_PLANT_PART>EXTERNAL_APPLY>SELECT_PLANT_PART>ADD_MEDIUM>CUT_CRUSH>EXTERNAL_APPLY	6	MEASURE_AND_USE	Portion bemessen und als Mittel oder Anwendung gebrauchen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	ykaiin cheoar cheeky oldy
H4-S004	H4	f55v	f55v.11	6	SELECT_PLANT_PART>EXTERNAL_APPLY>MEASURE>EXTERNAL_APPLY>READY_CLOSE>EXTERNAL_APPLY>DOSED_USE>EXTERNAL_APPLY	8	MEASURE_AND_USE	Portion bemessen und als Mittel oder Anwendung gebrauchen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	aiin okal oltchy or y orain
H5-S001	H5	f56r	f56r.5|f56r.7	9	SELECT_PLANT_PART>STRAIN_SEPARATE>PREPARE_SET>READY_CLOSE>SELECT_PLANT_PART>PREPARE_SET>ADD_MEDIUM>READY_CLOSE	8	EXTRACT_AND_SEPARATE	Auszug gewinnen, klären oder abteilen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	chochor cho chodaly daiin sho kchol otchor choky dal
H5-S002	H5	f56r	f56r.8	4	SELECT_PLANT_PART>STRAIN_SEPARATE>PREPARE_SET>READY_CLOSE>SELECT_PLANT_PART>ORDER_CONTINUE>DOSED_USE>EXTERNAL_APPLY	8	CONTINUE_AND_READY	laufende Bereitung fortführen und auf Gebrauchsstufe bringen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	schol choy choky cheeckhody
H5-S003	H5	f56r	f56r.12	4	SELECT_PLANT_PART>STRAIN_SEPARATE>PREPARE_SET>READY_CLOSE>ORDER_CONTINUE>SELECT_PLANT_PART>SETTLE>STORE_RESERVE>ORDER_CONTINUE>PREPARE_SET>READY_CLOSE	11	CONTINUE_AND_READY	laufende Bereitung fortführen und auf Gebrauchsstufe bringen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	sh cho kchey qokokchy
H5-S004	H5	f56r	f56r.13	3	SELECT_PLANT_PART>STRAIN_SEPARATE>PREPARE_SET>READY_CLOSE>ADD_MEDIUM>PREPARE_SET>STRAIN_SEPARATE	7	EXTRACT_AND_SEPARATE	Auszug gewinnen, klären oder abteilen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	okchy chokcheo kchal
H5-S005	H5	f56r	f56r.18	4	SELECT_PLANT_PART>STRAIN_SEPARATE>PREPARE_SET>READY_CLOSE>ADD_MEDIUM>STRAIN_SEPARATE>SELECT_PLANT_PART>EXTERNAL_APPLY>HEAT_GRADE>ORDER_CONTINUE	10	CONTINUE_AND_READY	laufende Bereitung fortführen und auf Gebrauchsstufe bringen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	sho chokchy kchoar sotodan
H5-S006	H5	f56r	f56r.19	3	SELECT_PLANT_PART>STRAIN_SEPARATE>PREPARE_SET>READY_CLOSE>MEASURE>ORDER_CONTINUE>DOSED_USE	7	CONTINUE_AND_READY	laufende Bereitung fortführen und auf Gebrauchsstufe bringen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	otchey keol daiin
