event_id	physical_page	locus	surface	component_recipe	primary_layer	primary_teaching_unit_ids	mnemonic_common_unit_ids	complete_working_reading_de
P912-E0001	f10r	f10r.1	pchocthy	P+CH+O+CTH+Y	PRODUCTIVE_ROOT_COMPOSITION	R-P|R-CH|R-O|R-CTH|R-Y		EINSETZEN · ENTNEHMEN · AUSFÜHREN · BEREIT · DIES
P912-E0002	f10r	f10r.1	shor	SH+OR	PRODUCTIVE_ROOT_COMPOSITION	R-SH|R-OR		HALTEN · ANSATZ
P912-E0003	f10r	f10r.1	octhody	O+CTH+O+D_ADDR+Y	PRODUCTIVE_ROOT_COMPOSITION	R-O|R-CTH|R-O|R-D_ADDR|R-Y		AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · DIES
P912-E0004	f10r	f10r.1	chorchy	CH+OR+CH+Y	PRODUCTIVE_ROOT_COMPOSITION	R-CH|R-OR|R-CH|R-Y		ENTNEHMEN · ANSATZ · ENTNEHMEN · DIES
P912-E0005	f10r	f10r.1	pchodol	P+CH+O+D_ADDR+OL	PRODUCTIVE_ROOT_COMPOSITION	R-P|R-CH|R-O|R-D_ADDR|R-OL		EINSETZEN · ENTNEHMEN · AUSFÜHREN · TEIL · FORTSETZEN
P912-E0006	f10r	f10r.1	chopchal	CH+O+P+CH+AL	PRODUCTIVE_ROOT_COMPOSITION	R-CH|R-O|R-P|R-CH|R-AL		ENTNEHMEN · AUSFÜHREN · EINSETZEN · ENTNEHMEN · ZIELSTELLE
P912-E0007	f10r	f10r.1	ypch	Y+P+CH	PRODUCTIVE_ROOT_COMPOSITION	R-Y|R-P|R-CH		DIES · EINSETZEN · ENTNEHMEN
P912-E0008	f10r	f10r.1	kom	K+O+M_LOCAL	PRODUCTIVE_ROOT_COMPOSITION	R-K|R-O|R-M_LOCAL		ZUGEBEN · AUSFÜHREN · MITTE
P912-E0009	f10r	f10r.2	dchey	CH+E+Y	MEMORIZED_SPECIALIST_WHOLE_WORD	W049	R-CH|R-E|R-Y	Wurzel
P912-E0010	f10r	f10r.2	cthoor	CTH+O+OR	PRODUCTIVE_ROOT_COMPOSITION	R-CTH|R-O|R-OR		BEREIT · AUSFÜHREN · ANSATZ
P912-E0011	f10r	f10r.2	char	AR	PRODUCTIVE_ROOT_COMPOSITION	R-AR		VORRAT
P912-E0012	f10r	f10r.2	chty	CH+T+Y	PRODUCTIVE_ROOT_COMPOSITION	R-CH|R-T|R-Y		ENTNEHMEN · EINSTELLEN · DIES
P912-E0013	f10r	f10r.2	os	OS	MEMORIZED_SPECIALIST_WHOLE_WORD	W018	R-OS	Gefäß
P912-E0014	f10r	f10r.2	chair	CH+AIR	PRODUCTIVE_ROOT_COMPOSITION	R-CH|R-AIR		ENTNEHMEN · FLÜSSIGKEITSLAUF
P912-E0015	f10r	f10r.2	otytchol	OT+Y+T+CH+OL	MEMORIZED_SPECIALIST_WHOLE_WORD	R-SOLK	R-OT|R-Y|R-T|R-CH|R-OL	auffangen
P912-E0016	f10r	f10r.2	oky	OK+Y	COMMON_FORMULA_CARD	F005		ANSETZEN · DIES
P912-E0017	f10r	f10r.2	daiin	AIIN	PRODUCTIVE_ROOT_COMPOSITION	R-AIIN		SOLLMASS
P912-E0018	f10r	f10r.2	etyd	E+T+Y	MEMORIZED_SPECIALIST_WHOLE_WORD	W029	R-E|R-T|R-Y	Wurzelrest
P912-E0019	f10r	f10r.3	qotor	OT+OR	COMMON_FORMULA_CARD	F026		DANACH · ANSATZ
P912-E0020	f10r	f10r.3	o	O	PRODUCTIVE_ROOT_COMPOSITION	R-O		AUSFÜHREN
P912-E0021	f10r	f10r.3	tchy	T+Y	PRODUCTIVE_ROOT_COMPOSITION	R-T|R-Y		EINSTELLEN · DIES
P912-E0022	f10r	f10r.3	daiin	AIIN	PRODUCTIVE_ROOT_COMPOSITION	R-AIIN		SOLLMASS
P912-E0023	f10r	f10r.3	chocthy	CH+O+CTH+Y	PRODUCTIVE_ROOT_COMPOSITION	R-CH|R-O|R-CTH|R-Y		ENTNEHMEN · AUSFÜHREN · BEREIT · DIES
P912-E0024	f10r	f10r.3	qotchy	OT+Y	COMMON_FORMULA_CARD	F011		DANACH · DIES
P912-E0025	f10r	f10r.3	chol	OL	PRODUCTIVE_ROOT_COMPOSITION	R-OL		FORTSETZEN
P912-E0026	f10r	f10r.3	or	OR	PRODUCTIVE_ROOT_COMPOSITION	R-OR		ANSATZ
P912-E0027	f10r	f10r.3	yty	Y+T+Y	PRODUCTIVE_ROOT_COMPOSITION	R-Y|R-T|R-Y		DIES · EINSTELLEN · DIES
P912-E0028	f10r	f10r.3	dy	Y	PRODUCTIVE_ROOT_COMPOSITION	R-Y		DIES
P912-E0029	f10r	f10r.3	dy	Y	PRODUCTIVE_ROOT_COMPOSITION	R-Y		DIES
P912-E0030	f10r	f10r.4	sor	S+OR	PRODUCTIVE_ROOT_COMPOSITION	R-S|R-OR		AUSWÄHLEN · ANSATZ
P912-E0031	f10r	f10r.4	chaiin	CH+AIIN	PRODUCTIVE_ROOT_COMPOSITION	R-CH|R-AIIN		ENTNEHMEN · SOLLMASS
P912-E0032	f10r	f10r.4	chcthy	CH+CTH+Y	PRODUCTIVE_ROOT_COMPOSITION	R-CH|R-CTH|R-Y		ENTNEHMEN · BEREIT · DIES
P912-E0033	f10r	f10r.4	ctho	CTH+O	PRODUCTIVE_ROOT_COMPOSITION	R-CTH|R-O		BEREIT · AUSFÜHREN
P912-E0034	f10r	f10r.4	ckhy	CKH+Y	COMMON_FORMULA_CARD	F020		DURCHLASS · DIES
P912-E0035	f10r	f10r.4	or	OR	PRODUCTIVE_ROOT_COMPOSITION	R-OR		ANSATZ
P912-E0036	f10r	f10r.4	aiin	AIIN	PRODUCTIVE_ROOT_COMPOSITION	R-AIIN		SOLLMASS
P912-E0037	f10r	f10r.4	chtchor	CH+T+CH+OR	PRODUCTIVE_ROOT_COMPOSITION	R-CH|R-T|R-CH|R-OR		ENTNEHMEN · EINSTELLEN · ENTNEHMEN · ANSATZ
P912-E0038	f10r	f10r.4	doiir	D_ADDR+O+IIN+R	PRODUCTIVE_ROOT_COMPOSITION	R-D_ADDR|R-O|R-IIN|R-R		TEIL · AUSFÜHREN · STUFE · MARKIEREN
P912-E0039	f10r	f10r.4	ody	O+DY	PRODUCTIVE_ROOT_COMPOSITION	R-O|R-DY		AUSFÜHREN · SCHLIESSEN
P912-E0040	f10r	f10r.5	qokchy	OK+Y	COMMON_FORMULA_CARD	F005		ANSETZEN · DIES
P912-E0041	f10r	f10r.5	qotchol	OT+CH+OL	MEMORIZED_SPECIALIST_WHOLE_WORD	W004	R-OT|R-CH|R-OL	anwärmen
P912-E0042	f10r	f10r.5	chol	OL	PRODUCTIVE_ROOT_COMPOSITION	R-OL		FORTSETZEN
P912-E0043	f10r	f10r.5	cthy	CTH+Y	COMMON_FORMULA_CARD	F025		BEREIT · DIES
