selector_row	statement_id	record_unit_id	page	work_module_id	work_module_title_de	owner_sequence	program_card_id	program_surface	program_event_id	selector_axis	selector_axis_de	selector_value_de	axis_question_de	module_question_de	modifier_event_ids	modifier_cards_de	modifier_slots	surface_sequence	card_sequence_de	selected_instruction_de	selector_reading_de	module_choice_logic_de	strongest_confusion_de	program_reuse_count	program_reuse_modules	program_reuse_statements
VS001	B1-S001	B1	f81v	WM10	Grundprogramme des gemeinsamen Pools	B1_SHARED_TWO_ROW_POOL	7db18b2f0fb7ed0fcfd3	qokedy	E101	CONTACT_DURATION	Kontakt- oder Folgegrad	kurz ansetzen	Wie lange beziehungsweise in welcher kurzen oder langen Folge wird angesetzt?	Welches Grundprogramm braucht der gemeinsame Pool?	KEINE	KEINE	KEINE	qokedy	kurz ansetzen; Schluss	Setze kurz an und schließe	Wähle Programm „kurz ansetzen“; fülle davor KEINE.	Kontakt, Vollansatz, Schwenken, Absetzen oder bloßes Fortführen.	Die fünf Einträge könnten trotzdem Phasen eines langen Bades sein.	7	WM10|WM12|WM31|WM32	B1-S001|B1-S009|B1-S010|B3-S028|B3-S029|B4-S002|B4-S008
VS002	B1-S002	B1	f81v	WM10	Grundprogramme des gemeinsamen Pools	B1_SHARED_TWO_ROW_POOL	259b2b3b0bf859882e2c	schedy	E120	TRANSFER_CONTINUE	Umsetzen oder fortführen	umsetzen	Wird umgesetzt, eingeführt, fortgesetzt oder als Folge umgesetzt?	Welches Grundprogramm braucht der gemeinsame Pool?	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119	auf Sollmaß einstellen · Beckenwasser · dort ansetzen · daraus · fortsetzen · eine Portion · weitere Portion · dorthin · fortsetzen · warm · Badzusatz · Fortsetzungsansatz · fortsetzen · Mittelmaß · Sollmaß · dort länger halten · Sollmaß · durchleiten	QUANTITY|OPERATION|MEDIUM|TARGET|SOURCE|ORDER|STATE_GRADE|PREPARATION|OWNER_ITEM|FLOW_TRANSFER	okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy	auf Sollmaß einstellen · Beckenwasser · dort ansetzen · daraus · fortsetzen · eine Portion · weitere Portion · dorthin · fortsetzen · warm · Badzusatz · Fortsetzungsansatz · fortsetzen · Mittelmaß · Sollmaß · dort länger halten · Sollmaß · durchleiten · umsetzen; Schluss	Stelle das Sollmaß ein, lass Beckenwasser zu, setze dort an, gib eine weitere Portion und Badzusatz hinzu, halte den Fortsetzungsansatz warm, führe ihn bis zum Mittelmaß weiter, stelle das Sollmaß ein, halte dort länger, prüfe erneut das Sollmaß, leite durch, setze um und schließe	Wähle Programm „umsetzen“; fülle davor auf Sollmaß einstellen · Beckenwasser · dort ansetzen · daraus · fortsetzen · eine Portion · weitere Portion · dorthin · fortsetzen · warm · Badzusatz · Fortsetzungsansatz · fortsetzen · Mittelmaß · Sollmaß · dort länger halten · Sollmaß · durchleiten.	Kontakt, Vollansatz, Schwenken, Absetzen oder bloßes Fortführen.	Die fünf Einträge könnten trotzdem Phasen eines langen Bades sein.	3	WM10|WM16|WM29	B1-S002|B2-S001|B3-S024
VS003	B1-S003	B1	f81v	WM10	Grundprogramme des gemeinsamen Pools	B1_SHARED_TWO_ROW_POOL	54e32e9c1414b20640e9	sshkchdy	E122	SWIVEL_MIX	Schwenken	schwenken	Soll der Posten an dieser Station geschwenkt oder durchmischt werden?	Welches Grundprogramm braucht der gemeinsame Pool?	E121	fortsetzen	ORDER|OPERATION	qol · sshkchdy	fortsetzen · schwenken; Schluss	Führe weiter, schwenke den Posten und schließe	Wähle Programm „schwenken“; fülle davor fortsetzen.	Kontakt, Vollansatz, Schwenken, Absetzen oder bloßes Fortführen.	Die fünf Einträge könnten trotzdem Phasen eines langen Bades sein.	1	WM10	B1-S003
VS004	B1-S004	B1	f81v	WM10	Grundprogramme des gemeinsamen Pools	B1_SHARED_TWO_ROW_POOL	bc4f1f5c006c74a4d26d	shedy	E125	SETTLING	Absetzen	absetzen	Soll der aktuelle oder vorige Posten jetzt absetzen oder weiter absetzen?	Welches Grundprogramm braucht der gemeinsame Pool?	E123|E124	umsetzen · fortsetzen	OWNER_ITEM|OPERATION|ORDER	chedy · ol · shedy	umsetzen · fortsetzen · absetzen; Schluss	Setze um, führe weiter, lass absetzen und schließe	Wähle Programm „absetzen“; fülle davor umsetzen · fortsetzen.	Kontakt, Vollansatz, Schwenken, Absetzen oder bloßes Fortführen.	Die fünf Einträge könnten trotzdem Phasen eines langen Bades sein.	9	WM10|WM12|WM15|WM18|WM29|WM31|WM32|WM33	B1-S004|B1-S008|B1-S019|B2-S008|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013
VS005	B1-S005	B1	f81v	WM10	Grundprogramme des gemeinsamen Pools	B1_SHARED_TWO_ROW_POOL	28ffbc88b97772a75f1e	qolchedy	E126	TRANSFER_CONTINUE	Umsetzen oder fortführen	fortsetzen	Wird umgesetzt, eingeführt, fortgesetzt oder als Folge umgesetzt?	Welches Grundprogramm braucht der gemeinsame Pool?	KEINE	KEINE	KEINE	qolchedy	fortsetzen; Schluss	Führe den Posten weiter und schließe	Wähle Programm „fortsetzen“; fülle davor KEINE.	Kontakt, Vollansatz, Schwenken, Absetzen oder bloßes Fortführen.	Die fünf Einträge könnten trotzdem Phasen eines langen Bades sein.	3	WM10|WM16|WM25	B1-S005|B2-S002|B3-S006
VS006	B1-S008	B1	f81v	WM12	Kurze Haltevarianten	B1_SHARED_TWO_ROW_POOL	bc4f1f5c006c74a4d26d	shedy	E136	SETTLING	Absetzen	absetzen	Soll der aktuelle oder vorige Posten jetzt absetzen oder weiter absetzen?	Welche kurze Haltevariante gilt für diesen oder den nächsten Posten?	E132|E133|E134|E135	dieser Posten · fortsetzen · kurz wärmen · fortsetzen	OWNER_ITEM|ORDER|OPERATION|STATE_GRADE	chey · ol · cheky · ol · shedy	dieser Posten · fortsetzen · kurz wärmen · fortsetzen · absetzen; Schluss	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	Wähle Programm „absetzen“; fülle davor dieser Posten · fortsetzen · kurz wärmen · fortsetzen.	Warm-absetzen, kurz ansetzen oder den nächsten Posten kurz ansetzen.	Zwei gleiche Kurzprogramme können bloße Wiederholung sein.	9	WM10|WM12|WM15|WM18|WM29|WM31|WM32|WM33	B1-S004|B1-S008|B1-S019|B2-S008|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013
VS007	B1-S009	B1	f81v	WM12	Kurze Haltevarianten	B1_SHARED_TWO_ROW_POOL	7db18b2f0fb7ed0fcfd3	qokedy	E137	CONTACT_DURATION	Kontakt- oder Folgegrad	kurz ansetzen	Wie lange beziehungsweise in welcher kurzen oder langen Folge wird angesetzt?	Welche kurze Haltevariante gilt für diesen oder den nächsten Posten?	KEINE	KEINE	KEINE	qokedy	kurz ansetzen; Schluss	Setze kurz an und schließe	Wähle Programm „kurz ansetzen“; fülle davor KEINE.	Warm-absetzen, kurz ansetzen oder den nächsten Posten kurz ansetzen.	Zwei gleiche Kurzprogramme können bloße Wiederholung sein.	7	WM10|WM12|WM31|WM32	B1-S001|B1-S009|B1-S010|B3-S028|B3-S029|B4-S002|B4-S008
VS008	B1-S010	B1	f81v	WM12	Kurze Haltevarianten	B1_SHARED_TWO_ROW_POOL	7db18b2f0fb7ed0fcfd3	qokedy	E138	CONTACT_DURATION	Kontakt- oder Folgegrad	kurz ansetzen	Wie lange beziehungsweise in welcher kurzen oder langen Folge wird angesetzt?	Welche kurze Haltevariante gilt für diesen oder den nächsten Posten?	KEINE	KEINE	KEINE	qokedy	kurz ansetzen; Schluss	Setze kurz an und schließe	Wähle Programm „kurz ansetzen“; fülle davor KEINE.	Warm-absetzen, kurz ansetzen oder den nächsten Posten kurz ansetzen.	Zwei gleiche Kurzprogramme können bloße Wiederholung sein.	7	WM10|WM12|WM31|WM32	B1-S001|B1-S009|B1-S010|B3-S028|B3-S029|B4-S002|B4-S008
VS009	B1-S018	B1	f81v	WM15	Sammeln, Seihen und Zielposten	B1_SHARED_TWO_ROW_POOL	3b70942557b3a40e8030	olkeedy	E162	COLLECTION	Sammeln	länger sammeln	Soll die Station diesen Posten länger sammeln?	Wie endet dieser Poolposten?	E159|E160|E161	Auffangschale · einreiben · Sollstufe	TARGET|OPERATION|QUANTITY|STATE_GRADE	ly · dsheol · oiiin · olkeedy	Auffangschale · einreiben · Sollstufe · länger sammeln; Schluss	Stelle die Auffangschale bereit, reibe die bezeichnete Stelle ein, bringe sie auf Sollstufe, sammle länger und schließe	Wähle Programm „länger sammeln“; fülle davor Auffangschale · einreiben · Sollstufe.	Sammeln/einreiben, absetzen, wärmen/seihen oder zum Ziel führen.	Die vier Einträge könnten eine einzige Abschlussfolge bilden.	2	WM15|WM23	B1-S018|B3-S001
VS010	B1-S019	B1	f81v	WM15	Sammeln, Seihen und Zielposten	B1_SHARED_TWO_ROW_POOL	bc4f1f5c006c74a4d26d	tedy	E163	SETTLING	Absetzen	absetzen	Soll der aktuelle oder vorige Posten jetzt absetzen oder weiter absetzen?	Wie endet dieser Poolposten?	KEINE	KEINE	KEINE	tedy	absetzen; Schluss	Lass absetzen und schließe	Wähle Programm „absetzen“; fülle davor KEINE.	Sammeln/einreiben, absetzen, wärmen/seihen oder zum Ziel führen.	Die vier Einträge könnten eine einzige Abschlussfolge bilden.	9	WM10|WM12|WM15|WM18|WM29|WM31|WM32|WM33	B1-S004|B1-S008|B1-S019|B2-S008|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013
