selector_axis	selector_axis_de	entry_count	distinct_program_cards	values_de	apprentice_question_de	composition_rule_de
CONTACT_DURATION	Kontakt- oder Folgegrad	18	4	kurz ansetzen|länger ansetzen|lange Folge|kurze Folge	Wie lange beziehungsweise in welcher kurzen oder langen Folge wird angesetzt?	Die Programmmarke wählt kurz, länger, kurze Folge oder lange Folge; davor stehen gegebenenfalls Posten, Maß und Ziel.
SETTLING	Absetzen	11	3	absetzen|weiter absetzen	Soll der aktuelle oder vorige Posten jetzt absetzen oder weiter absetzen?	ABSETZEN schließt die lokale Ruhe-/Klärzelle; WEITER ABSETZEN behält den Vorposten bei.
TRANSFER_CONTINUE	Umsetzen oder fortführen	14	8	umsetzen|fortsetzen|einführen|dorthin umsetzen|Folgeumsetzung	Wird umgesetzt, eingeführt, fortgesetzt oder als Folge umgesetzt?	Quelle, Ziel und Folge stehen vor der terminalen Transfer-/Fortsetzungskarte.
OUTFLOW_WITHDRAW	Abführen oder abziehen	8	3	abziehen|Rest abführen|abführen	Wird der ganze Posten abgeführt, der Rest abgeführt oder nur eine Fraktion abgezogen?	Die Schlusskarte unterscheidet Abfluss, Restabfluss und Fraktionsentnahme.
STRAINING	Seihen	4	2	seihen|abseihen	Ist ein normaler Seihgang oder ein Abseih-/Folgegang fällig?	Tuch, Ziel und Vorbehandlung stehen vor der gelernten Seihschlusskarte.
APPARATUS_CONFIGURATION	Gerätestellung	3	3	Nebenöffnung|befestigen|Wasserlauf schließen	Welche Öffnung, Verbindung oder Befestigung wird für diese Station gesetzt?	Die terminale Karte bestätigt die lokale Gerätehandlung, nicht den Stoffnamen.
WASHING	Waschen	2	2	Waschung|nachwaschen	Ist dies die Hauptwaschung oder ein Nachwaschgang?	Die Programmkarten trennen Waschung und Nachwaschen; Medium und Ziel können davor ergänzt werden.
HEATING	Erwärmen	1	1	länger wärmen	Soll diese Station länger wärmen?	Der Wärmegrad sitzt in der terminalen Programmkartenfamilie; Maß und Ziel stehen davor.
COLLECTION	Sammeln	2	1	länger sammeln	Soll die Station diesen Posten länger sammeln?	Die terminale Sammelkarte wählt das lange Sammelprogramm; Auffangziel und Anwendung können davor stehen.
SWIVEL_MIX	Schwenken	1	1	schwenken	Soll der Posten an dieser Station geschwenkt oder durchmischt werden?	Die gelernte Schwenkkarte ist ein eigenes Stationsprogramm, keine allgemeine Transferendung.
RECORD_RELEASE	Recordausgang	2	1	Posten zum Ziel führen|absetzen, warm halten, Öffnungsstufe einstellen und erneut umsetzen	Welcher Arbeitsstand wird am Recordende hinterlassen oder vorgemerkt?	Hier ersetzt das Recordlayout die terminale Programmkarte; der ganze letzte Eintrag beschreibt den Ausgangszustand.
