surface	opaque_head_id	body	gdt738_card_confidence	patched_occurrences	specific_local_dispatches	axis_specific_dispatches	carrier_bound_dispatches	fully_open_dispatches	direct_r1	near_r2	manual_endpoint_best_fit	open_no_selecting_r1_r2	dimension_dispatch_counts	carrier_dispatch_counts	distinct_occurrence_renders	most_common_render_de	positive_evidence	counterevidence	global_lexeme_export	component_export_credit
lain	H4	ain	MEDIUM	4	3	2	2	1	2	1	0	1	OPEN_SCALAR:2|QUALITY_DEGREE:2	MATERIAL:2|OPEN:2	4	interner Trockenheitsgrad II des Materials	five occurrences; four reader-exact; cross-head value-family support	low count; dimension open	0	0
lcheedy	H4	cheedy	MEDIUM_HIGH	6	4	0	2	2	2	0	2	2	PROCESS_RESULT_AXIS_OPEN:4|QUALITY_STATE_AXIS_OPEN:2	MATERIAL:1|OPEN:4|PREPARATION:1	4	Zustandsstufe II; Zustandsachse offen; Träger offen	nine occurrences; six reader-exact; dry-result family transfer	three reader variants; local repetition; exact result dimension open	0	0
lcheol	H4	cheol	MEDIUM_HIGH	8	3	3	2	5	2	1	0	5	QUALITY_STATE_AXIS_OPEN:5|QUALITY_STATE_DRY_LOCAL:3	MATERIAL:1|OPEN:6|PREPARATION:1	5	Statusfeld; Zustandsachse offen; Träger offen	eight of eight reader-exact; family transfer; readable beside state fields	two initial H4 exceptions; universal H4-field rendering rejected	0	0
lkaiin	H4	kaiin	HIGH	42	19	16	17	23	14	5	0	23	AMOUNT_DOSE:5|OPEN_SCALAR:26|PROCESS_PASS:3|QUALITY_DEGREE:8	MATERIAL:7|OPEN:25|PART:1|PREPARATION:6|PREPARATION_MATERIAL:2|PREPARATION_MATERIAL_PART:1	13	Skalarstufe III; Dimension offen	48 occurrences; 43 reader-exact; strong heat-value family transfer	one exact initial H4 exception; local repetition; heat is leading orientation rather than recovered word	0	0
lkain	H4	kain	HIGH	27	14	10	12	13	8	6	0	13	AMOUNT_DOSE:4|OPEN_SCALAR:14|OPEN_SCALAR_CONFLICT:3|PROCESS_PASS:1|QUALITY_DEGREE:5	MATERIAL:2|OPEN:15|PREPARATION:5|PREPARATION_MATERIAL:2|PREPARATION_MATERIAL_PART:1|PREPARATION_PART:2	12	Skalarstufe II; Dimension offen	33 occurrences; 27 reader-exact; heat-value family transfer	one repeated line; dimension remains open	0	0
lkar	H4	kar	HIGH	29	9	6	6	20	7	2	0	20	AMOUNT_DOSE:2|OPEN_SCALAR:23|QUALITY_DEGREE:4	MATERIAL:2|MATERIAL_PART:2|OPEN:23|PREPARATION:2	8	Skalarstufe I; Dimension offen	31 occurrences; 29 reader-exact; strong kar-ar family analogy	state versus part hierarchy remains open; repetitions	0	0
lsheedy	H4	sheedy	MEDIUM	4	3	0	0	1	0	0	3	1	PROCESS_RESULT_AXIS_OPEN:3|QUALITY_STATE_AXIS_OPEN:1	OPEN:4	2	Resultat-/Endstufe II; Zustandsachse offen; Träger offen	seven occurrences; four reader-exact; direct cross-head support	three reader variants; moist versus soaked open	0	0
pcheol	H1	cheol	MEDIUM_HIGH	10	5	2	5	5	2	3	0	5	QUALITY_STATE_AXIS_OPEN:8|QUALITY_STATE_DRY_LOCAL:2	MATERIAL:3|OPEN:5|PREPARATION:2	6	Status-Eintrag; Zustandsachse offen; Träger offen	ten of ten reader-exact; dry carrier family and exact contexts	no written carrier substance identified; entry versus learned lemma	0	0
rain	H3	ain	MEDIUM_HIGH	14	11	9	9	3	8	3	0	3	OPEN_SCALAR:5|PROCESS_PASS:1|QUALITY_DEGREE:8	MATERIAL:3|OPEN:5|PREPARATION:5|PREPARATION_MATERIAL:1	12	Heißgrad II der Zubereitung; interner Rückbezug	21 occurrences; 14 reader-exact; cross-head value-family support	one reader-exact initial position exception; seven reader variants; dimension open	0	0
rsheedy	H3	sheedy	MEDIUM	2	1	1	1	1	0	1	0	1	PROCESS_RESULT_MOIST_LOCAL:1|QUALITY_STATE_AXIS_OPEN:1	MATERIAL:1|OPEN:1	2	Feucht-/Einweich-Endstufe II des Materials; interner Rückbezug	three occurrences; two reader-exact; direct cross-head support	low count; one non-exact internal occurrence; moist versus soaked and exact dimension open	0	0
sain	H2	ain	HIGH	53	21	18	15	32	12	9	0	32	AMOUNT_DOSE:4|OPEN_SCALAR:35|QUALITY_DEGREE:14	MATERIAL:4|MATERIAL_PART:3|OPEN:38|PART:1|PREPARATION:7	20	Skalarstufe II; Dimension offen; Eintrag	60 occurrences; 53 reader-exact; cross-head value-family support	H and T often late; absolute start value and dimension open; sain ain can be redundant	0	0
skaiin	H2	kaiin	MEDIUM	3	2	2	2	1	1	1	0	1	OPEN_SCALAR:1|QUALITY_DEGREE:2	MATERIAL:1|OPEN:1|PREPARATION_MATERIAL:1	3	Skalarstufe III; Dimension offen	three of three reader-exact between dry and moist fields	H2 occurs twice internally; learned whole required; low count	0	0
