dispatch_id	patch_id	occurrence_id	page	locus	token_index	token_ordinal	surface	body	opaque_head_id	line_position	family	level	favored_axis_not_automatic	gdt738_render_de	dimension_dispatch	scalar_rival_classes	state_mode	state_mode_evidence_tier	state_mode_reason	favored_axis_locally_supported	carrier_dispatch	selecting_anchor_distance	carrier_anchor_distance	dispatch_evidence_tier	eligible_anchor_r1	eligible_anchor_r2	eligible_anchor_r3	eligible_anchor_r5	eligible_anchor_count_r2	eligible_anchor_count_r3	eligible_anchor_count_r5	r2_axis_counts	selecting_evidence	competing_local_evidence	gdt739_working_render_de	specific_local_dispatch	axis_specific_dispatch	carrier_locally_bound	scope	literal_patient_or_species_claimed	literal_plaintext_claimed	unconditional_global_export	head_or_body_lexeme_credit	component_export_credit	unseen_form_export
G739-D0001	G738-P0001	G737-O0258	f111v	f111v.31	5	5	lain	ain	H4	MIDDLE	SCALAR	II	OPEN	internes Skalarfeld II; Dimension lokal	QUALITY_DEGREE	QUALITY_DEGREE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0	MATERIAL	1	1	DIRECT_R1	1	1	1	1	2	2	2	DRY:2|HOT:1|MATERIAL:1|PROCESS:1|VALUE:2	L1 cheal=Rohstoffklasse I, trocken in der Gradmitte [DRY|VALUE|MATERIAL]	L2 chekain=bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen [HOT|DRY|VALUE|PROCESS]	interner Trockenheitsgrad II des Materials	1	1	1	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G739-D0002	G738-P0002	G737-O0342	f113v	f113v.46	4	4	lain	ain	H4	MIDDLE	SCALAR	II	OPEN	internes Skalarfeld II; Dimension lokal	OPEN_SCALAR	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0	OPEN	NA	NA	OPEN_NO_SELECTING_R1_R2	0	0	0	0	0	0	0	NONE	NONE	NONE	interne Skalarstufe II; Dimension offen	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G739-D0003	G738-P0003	G737-O0407	f116r	f116r.17	5	5	lain	ain	H4	MIDDLE	SCALAR	II	OPEN	internes Skalarfeld II; Dimension lokal	QUALITY_DEGREE	QUALITY_DEGREE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0	OPEN	2	NA	NEAR_R2	0	1	1	1	1	1	1	HOT:1|VALUE:1	L2 qokeey=heiß am Ende des Grades [HOT|VALUE]	NONE	interner Heißgrad II	1	1	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G739-D0004	G738-P0004	G737-O0502	f46r	f46r.13	8	8	lain	ain	H4	MIDDLE	SCALAR	II	OPEN	internes Skalarfeld II; Dimension lokal	OPEN_SCALAR	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0	MATERIAL	NA	1	DIRECT_R1	1	1	1	1	1	1	1	MATERIAL:1	L1 ols=Drogenstoffposten [MATERIAL]	NONE	interne Skalarstufe II des Materials; Dimension offen	1	0	1	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G739-D0005	G738-P0005	G737-O0026	f103r	f103r.47	6	6	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	DRY	Trockenresultat II; Träger offen	PROCESS_RESULT_AXIS_OPEN	NONE	PROCESS_RESULT	STRONG_LOCAL_W23	qokaly immediately left is reader-exact W3 material/process/closure context	0	MATERIAL	NA	1	DIRECT_R1	1	1	1	1	1	1	1	HOT:1|MATERIAL:1|PROCESS:1	L1 qokaly=erhitze Rohdroge I leicht und schließe ab [HOT|MATERIAL|PROCESS]	NONE	Resultat-/Endstufe II des Materials; Zustandsachse offen	1	0	1	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G739-D0006	G738-P0006	G737-O0072	f104v	f104v.20	3	3	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	DRY	Trockenresultat II; Träger offen	PROCESS_RESULT_AXIS_OPEN	NONE	PROCESS_RESULT	STRONG_LOCAL_W23	sheeo immediately left is reader-exact W2 fully-soaked preparation and qokeey supplies a W3 endpoint	0	PREPARATION	NA	1	DIRECT_R1	1	1	1	1	2	3	4	HOT:1|PREPARATION:1|VALUE:1	L1 sheeo=vollständig eingeweichter Ansatz [PREPARATION]	R1 qokeey=heiß am Ende des Grades [HOT|VALUE]	Resultat-/Endstufe II der Zubereitung; Zustandsachse offen	1	0	1	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G739-D0007	G738-P0007	G737-O0100	f106r	f106r.12	2	2	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	DRY	Trockenresultat II; Träger offen	QUALITY_STATE_AXIS_OPEN	NONE	QUALITY_STATE	DEFAULT_STATE	no occurrence-specific result override	0	OPEN	NA	NA	OPEN_NO_SELECTING_R1_R2	0	0	0	0	0	0	0	NONE	NONE	NONE	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G739-D0008	G738-P0008	G737-O0162	f107v	f107v.28	4	4	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	DRY	Trockenresultat II; Träger offen	QUALITY_STATE_AXIS_OPEN	NONE	QUALITY_STATE	DEFAULT_STATE	no occurrence-specific result override	0	OPEN	NA	NA	OPEN_NO_SELECTING_R1_R2	0	0	0	0	0	0	0	NONE	NONE	NONE	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G739-D0009	G738-P0009	G737-O0593	f76v	f76v.21	8	8	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	DRY	Trockenresultat II; Träger offen	PROCESS_RESULT_AXIS_OPEN	NONE	PROCESS_RESULT	ENDPOINT_BEST_FIT	qoteedy supplies closure but no matching explicit dry operation	0	OPEN	NA	NA	ENDPOINT_BEST_FIT	0	1	1	1	1	2	2	CLOSE:1|COLD:1|VALUE:1	NONE	R2 qoteedy=kalt am Ende des Grades, abgeschlossen [COLD|VALUE|CLOSE]	Resultat-/Endstufe II; Zustandsachse offen; Träger offen	1	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G739-D0010	G738-P0010	G737-O0703	f82r	f82r.24	2	2	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	DRY	Trockenresultat II; Träger offen	PROCESS_RESULT_AXIS_OPEN	NONE	PROCESS_RESULT	ENDPOINT_BEST_FIT	qokeedy supplies an exact endpoint while the explicit process neighbor is not reader-exact	0	OPEN	NA	NA	ENDPOINT_BEST_FIT	0	0	0	1	0	0	1	NONE	NONE	NONE	Resultat-/Endstufe II; Zustandsachse offen; Träger offen	1	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
