window_id	patch_id	occurrence_id	page	locus	target_ordinal	target_surface	target_position	side	signed_offset	distance	neighbor_ordinal	neighbor_surface	neighbor_reader_exact	neighbor_semantic_value_de	neighbor_confidence_level	neighbor_unknown_v99r7	neighbor_composition_semantic_credit	strict_initial_head_neighbor	another_gdt738_target	retired_patient_words	axis_tags	scalar_host_types	eligible_local_anchor	ineligibility_reasons	head_or_body_lexeme_credit	component_export_credit
G739-N00001	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	MIDDLE	L	-4	4	1	pochey	1	[pochey:?]	NA	1	0	1	0	NONE	NONE	NONE	0	OPAQUE_INITIAL_HEAD|UNKNOWN|BELOW_W2_OR_NA|NO_SELECTING_AXIS	0	0
G739-N00002	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	MIDDLE	L	-3	3	2	oteain	1	[oteain:?]	NA	1	0	0	0	NONE	NONE	NONE	0	UNKNOWN|BELOW_W2_OR_NA|NO_SELECTING_AXIS	0	0
G739-N00003	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	MIDDLE	L	-2	2	3	chekain	1	bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen	W3_SOLID_WORKING_THEORY	0	0	0	0	NONE	HOT|DRY|VALUE|PROCESS	QUALITY_DEGREE	1	NONE	0	0
G739-N00004	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	MIDDLE	L	-1	1	4	cheal	1	Rohstoffklasse I, trocken in der Gradmitte	W3_SOLID_WORKING_THEORY	0	0	0	0	NONE	DRY|VALUE|MATERIAL	QUALITY_DEGREE	1	NONE	0	0
G739-N00005	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	MIDDLE	R	1	1	6	chey	1	trocken in der Mitte des Grades	NA	0	0	0	0	NONE	DRY|VALUE	QUALITY_DEGREE	0	BELOW_W2_OR_NA	0	0
G739-N00006	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	MIDDLE	R	2	2	7	qokain	1	heiß, Grad II	NA	0	0	0	0	NONE	HOT|VALUE	QUALITY_DEGREE	0	BELOW_W2_OR_NA	0	0
G739-N00007	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	MIDDLE	R	3	3	8	chey	1	trocken in der Mitte des Grades	NA	0	0	0	0	NONE	DRY|VALUE	QUALITY_DEGREE	0	BELOW_W2_OR_NA	0	0
G739-N00008	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	MIDDLE	R	4	4	9	lkain	1	Holzdroge, heiß auf Stufe II	W3_SOLID_WORKING_THEORY	0	0	1	1	holz	HOT|VALUE|MATERIAL	QUALITY_DEGREE	0	OPAQUE_INITIAL_HEAD|TARGET_CARD_CANNOT_SELF_ANCHOR|RETIRED_LITERAL_PATIENT	0	0
G739-N00009	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	MIDDLE	R	5	5	10	chal	1	Rohstoffklasse I, trocken am Gradanfang	NA	0	0	0	0	NONE	DRY|VALUE|MATERIAL	QUALITY_DEGREE	0	BELOW_W2_OR_NA	0	0
G739-N00010	G738-P0002	G737-O0342	f113v	f113v.46	4	lain	MIDDLE	L	-3	3	1	o	0	heiße Drogenbasis, Stufe III	NA	0	0	0	0	NONE	HOT|VALUE|MATERIAL	QUALITY_DEGREE	0	READER_VARIANT|BELOW_W2_OR_NA	0	0
G739-N00011	G738-P0002	G737-O0342	f113v	f113v.46	4	lain	MIDDLE	L	-2	2	2	lkaiin	0	Holzdroge, heiß auf Stufe III	W3_SOLID_WORKING_THEORY	0	0	1	0	holz	HOT|VALUE|MATERIAL	QUALITY_DEGREE	0	READER_VARIANT|OPAQUE_INITIAL_HEAD|RETIRED_LITERAL_PATIENT	0	0
