passage_id	page	locus	section	language	focal_surfaces	selection_reason	zl3b_line	gdt739_target_renders_de	dimension_dispatches	selecting_evidence	gdt739_safe_line_render_de	reader_note
G739-R01	f111v	f111v.31	S	B	lain|lkain	quality-host scalar and distant open scalar on one line	pochey oteain chekain cheal lain chey qokain chey lkain chal ldy llm	lain → interner Trockenheitsgrad II des Materials || lkain → Skalarstufe II; Dimension offen	lain=QUALITY_DEGREE || lkain=OPEN_SCALAR	lain: L1 cheal=Rohstoffklasse I, trocken in der Gradmitte [DRY|VALUE|MATERIAL] || lkain: NONE	[pochey:?]; [oteain:?]; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; Rohstoffklasse I, bis zur Mittelstufe getrocknet; interner Trockenheitsgrad II des Materials; [chey:?]; [qokain:?]; [chey:?]; Skalarstufe II; Dimension offen; [chal:?]; [ldy:?]; [llm:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R02	f46r	f46r.13	H	B	lain	broad material carrier immediately visible	ar akaiin shol okeey chol dar ols lain y	lain → interne Skalarstufe II des Materials; Dimension offen	lain=OPEN_SCALAR	lain: L1 ols=Drogenstoffposten [MATERIAL]	[ar:?]; heiße Rohstoffportion, Stufe III; [shol:?]; [okeey:?]; [chol:?]; [dar:?]; Drogenstoffposten; interne Skalarstufe II des Materials; Dimension offen; [y:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R03	f104v	f104v.20	S	B	lcheedy	strong local result override with rival qualities	or sheeo lcheedy qokeey qochey qotcheedy qotchedy qokol chor chorol chdar otam	lcheedy → Resultat-/Endstufe II der Zubereitung; Zustandsachse offen	lcheedy=PROCESS_RESULT_AXIS_OPEN	lcheedy: L1 sheeo=vollständig eingeweichter Ansatz [PREPARATION]	[or:?]; vollständig eingeweichter Ansatz; Resultat-/Endstufe II der Zubereitung; Zustandsachse offen; vollständig erhitzt; [qochey:?]; kalt und trocken, Endstufe erreicht; abgeschlossen; [qotchedy:?]; erhitzen; [chor:?]; [chorol:?]; [chdar:?]; [otam:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R04	f107v	f107v.12	S	B	lcheol	dry-favored card without local dry support	qokeey lcheol chol kaiin olkal shedy qokaly odar choty qokaiin otam	lcheol → Statusfeld; Zustandsachse offen; Träger offen	lcheol=QUALITY_STATE_AXIS_OPEN	lcheol: NONE	vollständig erhitzt; Statusfeld; Zustandsachse offen; Träger offen; [chol:?]; heiß, Grad III; [olkal:?]; [shedy:?]; erhitze Rohdroge I leicht und schließe ab; Anteil I abmessen; kalter Trockenansatz; [qokaiin:?]; [otam:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R05	f78v	f78v.17	B	B	lcheol	local dry process support	qol sheedy qol lcheol lchdy dchdy da qar olkal dy	lcheol → Trockenstatus des Materials	lcheol=QUALITY_STATE_DRY_LOCAL	lcheol: R2 dchdy=Trockendroge abmessen und fertigstellen [DRY|AMOUNT|MATERIAL|PROCESS|CLOSE]	[qol:?]; [sheedy:?]; [qol:?]; Trockenstatus des Materials; [lchdy:?]; Trockendroge abmessen und fertigstellen; [da:?]; [qar:?]; [olkal:?]; [dy:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R06	f103r	f103r.9	S	B	lkaiin	old heat default lacks a local selecting host	oteeos ar cheal okeey shey lkaiin shey lkeor otaiin shedy otey l dy okeedaram	lkaiin → Skalarstufe III; Dimension offen	lkaiin=OPEN_SCALAR	lkaiin: NONE	[oteeos:?]; [ar:?]; Rohstoffklasse I, bis zur Mittelstufe getrocknet; [okeey:?]; [shey:?]; Skalarstufe III; Dimension offen; [shey:?]; [lkeor:?]; [otaiin:?]; [shedy:?]; bis zur Mittelstufe abgekühlter Ansatz; [l:?]; [dy:?]; [okeedaram:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R07	f80r	f80r.52	B	B	lkaiin	amount and material context without automatic heat	sol tl shey qoklcheey lkaiin ol olor aiin y daiin cheol kain	lkaiin → Skalarstufe III; Dimension offen	lkaiin=OPEN_SCALAR	lkaiin: NONE	[sol:?]; [tl:?]; [shey:?]; [qoklcheey:?]; Skalarstufe III; Dimension offen; [ol:?]; Zutat; [aiin:?]; [y:?]; [daiin:?]; [cheol:?]; [kain:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R08	f76r	f76r.44	T	B	lkaiin	material or fraction carrier and processing context	poleedaran shckhy qoty ykar alol lkaiin ol shedy otain okar opar kolpy	lkaiin → Mengen-/Portionsstufe III des Materials	lkaiin=AMOUNT_DOSE	lkaiin: L1 alol=Drogenstoff aus Rohdroge I [MATERIAL] || L2 ykar=nimm hiervon die erste erhitzte Drogenfraktion [HOT|PART|MATERIAL]	[poleedaran:?]; [shckhy:?]; [qoty:?]; nimm hiervon die erste erhitzte Drogenfraktion; Drogenstoff aus Rohdroge I; Mengen-/Portionsstufe III des Materials; [ol:?]; [shedy:?]; [otain:?]; [okar:?]; [opar:?]; [kolpy:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R09	f76r	f76r.9	T	B	lkar|lkain	two scalar stages with weak or distant hosts	shed al shckhy r ain chcphedy ain olkeey lkar ain otchy lkain chedy dar daly	lkar → Skalarstufe I; Dimension offen || lkain → Skalarstufe II; Dimension offen	lkar=OPEN_SCALAR || lkain=OPEN_SCALAR	lkar: NONE || lkain: NONE	Einweichen bis zur mittleren Stufe abschließen; [al:?]; [shckhy:?]; [r:?]; [ain:?]; Arzneikompositum bis zur Mittelstufe trocknen und abschließen; [ain:?]; [olkeey:?]; Skalarstufe I; Dimension offen; [ain:?]; [otchy:?]; Skalarstufe II; Dimension offen; [chedy:?]; [dar:?]; abgewogener Rohstoffposten I, Grundform	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R10	f86v3	f86v3.20	C	B	lkar	local dry-composite context against automatic heat	lshodair ykcho dar chody ykeeody qochey chckhey lkar ary	lkar → Mengen-/Portionsstufe I des Materialteils	lkar=AMOUNT_DOSE	lkar: R1 ary=Drogenfraktion I, abgeschlossen [PART|MATERIAL|CLOSE]	[lshodair:?]; [ykcho:?]; [dar:?]; [chody:?]; [ykeeody:?]; [qochey:?]; Arzneikompositum: bis zur Mittelstufe getrocknet; Mengen-/Portionsstufe I des Materialteils; Drogenfraktion I, abgeschlossen	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R11	f76r	f76r.52	T	B	lsheedy	endpoint best-fit without a clean moist host	olsheed qokedy qokeedy qokedy lkedy lsheedy okar shedy otain	lsheedy → Resultat-/Endstufe II; Zustandsachse offen; Träger offen	lsheedy=PROCESS_RESULT_AXIS_OPEN	lsheedy: NONE	[olsheed:?]; [qokedy:?]; [qokeedy:?]; [qokedy:?]; [lkedy:?]; Resultat-/Endstufe II; Zustandsachse offen; Träger offen; [okar:?]; [shedy:?]; [otain:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R12	f83r	f83r.7	B	B	lsheedy	thermal host but no clean moist host	solshed lsheedy qeeedy qoky o qol rsheedy qokedy qoteedy qoteedy	lsheedy → Zustandsstufe II; Zustandsachse offen; Träger offen	lsheedy=QUALITY_STATE_AXIS_OPEN	lsheedy: NONE	[solshed:?]; Zustandsstufe II; Zustandsachse offen; Träger offen; [qeeedy:?]; leicht erhitzt; [o:?]; [qol:?]; [rsheedy:?]; [qokedy:?]; vollständig abgekühlt, abgeschlossen; vollständig abgekühlt, abgeschlossen	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R13	f100r	f100r.12	P	A	pcheol	entry card without a clean immediate patient	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol → Status-Eintrag; Zustandsachse offen; Träger offen	pcheol=QUALITY_STATE_AXIS_OPEN	pcheol: NONE	Status-Eintrag; Zustandsachse offen; Träger offen; [sheod:?]; [qocpheeckhy:?]; [shodol:?]; [da:?]; [oto:?]; [choos:?]; [sheey:?]; Trockenansatz; [s:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R14	f82v	f82v.11	B	B	pcheol	measure and heat context around a dry-favored entry	pcheol dar qokeey cheeky qokal dal shedy pchdy rol qotedy rol	pcheol → Status-Eintrag; Zustandsachse offen; Träger offen	pcheol=QUALITY_STATE_AXIS_OPEN	pcheol: NONE	Status-Eintrag; Zustandsachse offen; Träger offen; [dar:?]; vollständig erhitzt; vollständig getrocknet, dann leicht erhitzt; [qokal:?]; [dal:?]; [shedy:?]; [pchdy:?]; [rol:?]; bis zur Mittelstufe abgekühlt, abgeschlossen; [rol:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R15	f116r	f116r.36	S	B	rain|lkain	direct quality-host scalar versus conflicted scalar	qokeey rain shey okeey lkain l dain chey sheckhy qy qokl ain	rain → Heißgrad II; interner Rückbezug || lkain → Skalarstufe II; Dimension offen	rain=QUALITY_DEGREE || lkain=OPEN_SCALAR	rain: L1 qokeey=heiß am Ende des Grades [HOT|VALUE] || lkain: NONE	vollständig erhitzt; Heißgrad II; interner Rückbezug; [shey:?]; [okeey:?]; Skalarstufe II; Dimension offen; [l:?]; [dain:?]; [chey:?]; [sheckhy:?]; [qy:?]; [qokl:?]; [ain:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R16	f77v	f77v.8	B	B	rsheedy	moist material carrier with endpoint best-fit	qokeeey shedy qokeedy qodykey qokedy rsheedy taiiin sheol teedy yry	rsheedy → Feucht-/Einweich-Endstufe II des Materials; interner Rückbezug	rsheedy=PROCESS_RESULT_MOIST_LOCAL	rsheedy: R2 sheol=feuchtes Material [MOIST|MATERIAL]	[qokeeey:?]; [shedy:?]; [qokeedy:?]; [qodykey:?]; [qokedy:?]; Feucht-/Einweich-Endstufe II des Materials; interner Rückbezug; [taiiin:?]; feuchtes Material; vollständig abgekühlt, abgeschlossen; [yry:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R17	f82r	f82r.31	B	B	rsheedy	dry-dominated counterexample to automatic moist speech	cheol ol rsheedy lchedy qoty lcheeor qokain cheedy lched	rsheedy → Zustandsstufe II; Zustandsachse offen; interner Rückbezug; Träger offen	rsheedy=QUALITY_STATE_AXIS_OPEN	rsheedy: NONE	[cheol:?]; [ol:?]; Zustandsstufe II; Zustandsachse offen; interner Rückbezug; Träger offen; [lchedy:?]; [qoty:?]; [lcheeor:?]; [qokain:?]; vollständig getrocknet, abgeschlossen; [lched:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R18	f10v	f10v.1	H	A	sain	quality versus portion competition near a scalar entry	paiin daiin sheo pcheey qoty daiin cthor otydy sain	sain → Mengen-/Portionsstufe II der Zubereitung	sain=AMOUNT_DOSE	sain: L1 otydy=kalter Ansatz in Grundform, fertig [COLD|PREPARATION|CLOSE] || L2 cthor=eine Portion Pflanzendroge [AMOUNT|MATERIAL]	[paiin:?]; [daiin:?]; Feuchtzubereitung; [pcheey:?]; [qoty:?]; [daiin:?]; eine Portion Pflanzendroge; kalter Ansatz in Grundform, fertig; Mengen-/Portionsstufe II der Zubereitung	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
G739-R19	f58r	f58r.36	S	A	skaiin	local hot and preparation context	skaiin shokal chockhy qoky chcthy ykeeshy shoekar	skaiin → Qualitätsstufe III im heiß/feucht-Feld des Zubereitungsmaterials; Eintrag	skaiin=QUALITY_DEGREE	skaiin: R1 shokal=Feuchtansatz aus heißem Rohstoff Klasse I am Gradanfang [HOT|MOIST|VALUE|MATERIAL|PREPARATION]	Qualitätsstufe III im heiß/feucht-Feld des Zubereitungsmaterials; Eintrag; Feuchtansatz aus heißem Rohstoff Klasse I, Anfangsstufe; [chockhy:?]; leicht erhitzt; [chcthy:?]; [ykeeshy:?]; [shoekar:?]	unsupported, opaque-head or retired-patient cells are shown as [surface:?]
