biological_record	biological_application_de	herbal_page	herbal_preparation_type	process_fit_0_5	shared_exact_card_types	shared_biological_events	shared_exact_cards	workshop_pairing_score	reason_de	direct_product_reference
B1	gemeinsame Beckenanwendung mit Wasser, Quelle, Ziel und wiederholtem Weiterführen	f10r	WAESSRIGER_GRUNDANSATZ_MIT_OFFENEM_ABZWEIG	5	6	15	PROC003|PROC008|PROC009|PROC013|PROC019|PROC022	77	Wasser und offener Grundansatz passen zur gemeinsamen Beckenfolge	NO
B1	gemeinsame Beckenanwendung mit Wasser, Quelle, Ziel und wiederholtem Weiterführen	f11r	AUSGEPRESSTER_UND_AUFGENOMMENER_AUSZUG	2	2	3	PROC009|PROC019	27	ein fertiger Auszug wäre möglich, erklärt aber den Wasseraufbau schwächer	NO
B1	gemeinsame Beckenanwendung mit Wasser, Quelle, Ziel und wiederholtem Weiterführen	f55v	GEMESSENER_ERWAERMTER_ANSATZ	3	5	8	PROC009|PROC019|PROC038|PROC042|PROC048	48	Maß und Wärme passen, der gemeinsame Grundansatz weniger	NO
B1	gemeinsame Beckenanwendung mit Wasser, Quelle, Ziel und wiederholtem Weiterführen	f56r	ZUTATENREICHER_DURCHLASS_UND_ANWENDUNGSANSATZ	4	3	6	PROC008|PROC009|PROC055	52	Durchlass und Zielanwendung passen, der Wassergrundstock bleibt indirekt	NO
B2	fünf gemessene Stationsanwendungen mit Durchlass und Haltezeit	f10r	WAESSRIGER_GRUNDANSATZ_MIT_OFFENEM_ABZWEIG	2	4	7	PROC003|PROC008|PROC009|PROC019	35	Grundansatz passt nur allgemein zu den fünf getrennten Stationen	NO
B2	fünf gemessene Stationsanwendungen mit Durchlass und Haltezeit	f11r	AUSGEPRESSTER_UND_AUFGENOMMENER_AUSZUG	3	3	6	PROC009|PROC019|PROC031	42	Auszug und Halten passen, die wiederholten Durchlasszellen nur teilweise	NO
B2	fünf gemessene Stationsanwendungen mit Durchlass und Haltezeit	f55v	GEMESSENER_ERWAERMTER_ANSATZ	4	4	9	PROC009|PROC019|PROC038|PROC048	57	Maß, Wärme und Halten passen gut	NO
B2	fünf gemessene Stationsanwendungen mit Durchlass und Haltezeit	f56r	ZUTATENREICHER_DURCHLASS_UND_ANWENDUNGSANSATZ	5	3	5	PROC008|PROC009|PROC055	61	Portion, Durchlass, Zielstelle und wiederholte Anwendung passen direkt	NO
B3	Gefäß- und Paarstationsfolge mit Entnahme, Bereitung und wiederholtem Ablassen	f10r	WAESSRIGER_GRUNDANSATZ_MIT_OFFENEM_ABZWEIG	2	8	18	PROC003|PROC004|PROC008|PROC009|PROC013|PROC014|PROC016|PROC019	54	offener Grundansatz ist zu allgemein für die Gefäßfolge	NO
B3	Gefäß- und Paarstationsfolge mit Entnahme, Bereitung und wiederholtem Ablassen	f11r	AUSGEPRESSTER_UND_AUFGENOMMENER_AUSZUG	5	3	11	PROC009|PROC014|PROC019	67	Auspressen, Empfangen, Davon-Nehmen und Ablassen passen zur Gefäßfolge	NO
B3	Gefäß- und Paarstationsfolge mit Entnahme, Bereitung und wiederholtem Ablassen	f55v	GEMESSENER_ERWAERMTER_ANSATZ	3	6	17	PROC009|PROC016|PROC019|PROC038|PROC042|PROC048	59	Maß und Ansatz passen, aber der Extraktionscharakter fehlt	NO
B3	Gefäß- und Paarstationsfolge mit Entnahme, Bereitung und wiederholtem Ablassen	f56r	ZUTATENREICHER_DURCHLASS_UND_ANWENDUNGSANSATZ	3	3	9	PROC008|PROC009|PROC055	45	Zutat und Anwendung passen, der Empfang des Auszugs weniger	NO
