copy_order	event_id	statement_id	record	page	locus	owner_code	owner_reset	teaching_mode	teaching_parts	card_no	component_parse	procedure_tokens	automaton_before	automaton_after	line_carry_in	renderer_first_choice	renderer_final_surface	renderer_action	card_roundtrip	surface_roundtrip	apprentice_spoken_reading_de	statement_first_event	program_status	master_conscious_decision_count	master_conscious_reasons	master_mode	allograph_block_id	block_rendering_mode	block_start_decision	revised_conscious_decision_count	revised_conscious_reasons	revised_master_mode
1	E001	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	YES	TWENTY_TWO_COMPONENT_STRIPS	CH+E+Y	PROC001	CH+E+Y	SOURCE_DRAW	START	AFTER_SOURCE	NO	dchey	dchey	ACCEPT_RULE	YES	YES	abziehen · kurz · dies	YES	UNIQUE	2	SELECT_UNUSUAL_PROGRAM|RESET_VISIBLE_OWNER	CONSCIOUS_LOCAL_CHOICE	NONE	RENDER_BY_RULE	NO	2	SELECT_UNUSUAL_PROGRAM|RESET_VISIBLE_OWNER	CONSCIOUS_LOCAL_CHOICE
2	E002	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	CTH+O+OR	PROC002	CTH+O+OR	ACTIVATE_CHARGE	AFTER_SOURCE	WORK	NO	cthoor	cthoor	ACCEPT_RULE	YES	YES	bereit · Arbeitsgang · Ansatz	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
3	E003	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	AR	PROC003	AR	SOURCE_DRAW	WORK	AFTER_SOURCE	NO	char	char	ACCEPT_RULE	YES	YES	von dort	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
4	E004	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	T+Y	PROC004	T+Y	ACTIVATE_CHARGE	AFTER_SOURCE	WORK	NO	chty	chty	ACCEPT_RULE	YES	YES	eintragen · dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
5	E005	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	PROC005	PROC005	OS	TARGET_HANDOFF	WORK	WORK	NO	os	os	ACCEPT_RULE	YES	YES	Arbeitsfach	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
6	E006	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	CH+AIR	PROC006	CH+AIR	SOURCE_DRAW	WORK	AFTER_SOURCE	NO	chair	chair	ACCEPT_RULE	YES	YES	abziehen · Lauf	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
7	E007	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	OT+Y+T+CH+OL	PROC007	OT+Y+T+CH+OL	SOURCE_DRAW	AFTER_SOURCE	AFTER_SOURCE	NO	otytchol	otytchol	ACCEPT_RULE	YES	YES	danach · dies · eintragen · abziehen · fortsetzen	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
8	E008	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	OK+Y	PROC008	OK+Y	CONTINUE_USE	AFTER_SOURCE	WORK	NO	choky	oky	COPY_LOCAL_EXEMPLAR	YES	YES	ansetzen · dies	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB01	COPY_BLOCK_FROM_EXEMPLAR	YES	1	ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
9	E009	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	AIIN	PROC009	AIIN	METER_CHECK	WORK	AFTER_METER	NO	daiin	daiin	ACCEPT_RULE	YES	YES	Maß	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
10	E010	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	E+T+Y	PROC010	E+T+Y	ACTIVATE_CHARGE	AFTER_METER	WORK	NO	etyd	etyd	ACCEPT_RULE	YES	YES	kurz · eintragen · dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
