block_id	record	page	locus	start_order	end_order	start_event	end_event	span_events	true_allograph_events	extra_rule_events_copied	event_ids	surfaces	master_instruction_de
AB01	H1	f10r	f10r.2	8	8	E008	E008	1	1	0	E008	oky	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB02	H1	f10r	f10r.5	11	11	E011	E011	1	1	0	E011	qokchy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB03	H2	f10r	f10r.6	20	23	E020	E023	4	3	1	E020|E021|E022|E023	dy chy taiin shy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB04	H2	f10r	f10r.8	24	24	E024	E024	1	1	0	E024	qotchor	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB05	H2	f10r	f10r.8	28	28	E028	E028	1	1	0	E028	cholor	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB06	H2	f10r	f10r.8	31	31	E031	E031	1	1	0	E031	dar	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB07	H2	f10r	f10r.9	33	33	E033	E033	1	1	0	E033	shor	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB08	H2	f10r	f10r.9	37	37	E037	E037	1	1	0	E037	dy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB09	H3	f11r	f11r.1	44	44	E044	E044	1	1	0	E044	shey	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB10	H3	f11r	f11r.4	50	50	E050	E050	1	1	0	E050	dy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB11	H3	f11r	f11r.7	55	55	E055	E055	1	1	0	E055	dy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB12	H4	f55v	f55v.5	57	57	E057	E057	1	1	0	E057	chaiin	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB13	H4	f55v	f55v.11	68	72	E068	E072	5	4	1	E068|E069|E070|E071|E072	aiin okal oltchy or y	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
