decision_no	event_id	statement_id	record	page	decision_type	selected_value
1	E001	H1-S001	H1	f10r	SELECT_UNUSUAL_PROGRAM	H1-S001
2	E001	H1-S001	H1	f10r	RESET_VISIBLE_OWNER	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB
3	E008	H1-S001	H1	f10r	ENTER_ALLOGRAPH_BLOCK	AB01
4	E011	H1-S002	H1	f10r	SELECT_UNUSUAL_PROGRAM	H1-S002
5	E011	H1-S002	H1	f10r	ENTER_ALLOGRAPH_BLOCK	AB02
6	E015	H2-S001	H2	f10r	SELECT_UNUSUAL_PROGRAM	H2-S001
7	E015	H2-S001	H2	f10r	RESET_VISIBLE_OWNER	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB
8	E020	H2-S001	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB03
9	E024	H2-S002	H2	f10r	SELECT_UNUSUAL_PROGRAM	H2-S002
10	E024	H2-S002	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB04
11	E028	H2-S002	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB05
12	E031	H2-S002	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB06
13	E032	H2-S003	H2	f10r	SELECT_UNUSUAL_PROGRAM	H2-S003
14	E033	H2-S003	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB07
15	E037	H2-S003	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB08
16	E039	H3-S001	H3	f11r	SELECT_UNUSUAL_PROGRAM	H3-S001
17	E039	H3-S001	H3	f11r	RESET_VISIBLE_OWNER	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT
18	E044	H3-S001	H3	f11r	ENTER_ALLOGRAPH_BLOCK	AB09
19	E046	H3-S002	H3	f11r	SELECT_UNUSUAL_PROGRAM	H3-S002
20	E047	H3-S003	H3	f11r	SELECT_UNUSUAL_PROGRAM	H3-S003
21	E050	H3-S003	H3	f11r	ENTER_ALLOGRAPH_BLOCK	AB10
22	E052	H3-S004	H3	f11r	SELECT_UNUSUAL_PROGRAM	H3-S004
23	E055	H3-S004	H3	f11r	ENTER_ALLOGRAPH_BLOCK	AB11
24	E056	H4-S001	H4	f55v	SELECT_UNUSUAL_PROGRAM	H4-S001
25	E056	H4-S001	H4	f55v	RESET_VISIBLE_OWNER	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT
26	E057	H4-S001	H4	f55v	ENTER_ALLOGRAPH_BLOCK	AB12
27	E061	H4-S002	H4	f55v	SELECT_UNUSUAL_PROGRAM	H4-S002
28	E064	H4-S003	H4	f55v	SELECT_UNUSUAL_PROGRAM	H4-S003
29	E068	H4-S004	H4	f55v	SELECT_UNUSUAL_PROGRAM	H4-S004
30	E068	H4-S004	H4	f55v	ENTER_ALLOGRAPH_BLOCK	AB13
