source_unit	latent_or_plaintext_unit	mapping_probability	context_restriction	occurrences	counterexamples
aiin	o	1.0	GREEDY_LONGEST_UNIT	3951	all nonchosen mappings under frozen deterministic key
ckh	u	1.0	GREEDY_LONGEST_UNIT	866	all nonchosen mappings under frozen deterministic key
cph	g	1.0	GREEDY_LONGEST_UNIT	201	all nonchosen mappings under frozen deterministic key
cth	m	1.0	GREEDY_LONGEST_UNIT	891	all nonchosen mappings under frozen deterministic key
eee	i	1.0	GREEDY_LONGEST_UNIT	424	all nonchosen mappings under frozen deterministic key
iin	n	1.0	GREEDY_LONGEST_UNIT	200	all nonchosen mappings under frozen deterministic key
ch	d	1.0	GREEDY_LONGEST_UNIT	11050	all nonchosen mappings under frozen deterministic key
dy	n	1.0	GREEDY_LONGEST_UNIT	6957	all nonchosen mappings under frozen deterministic key
ee	i	1.0	GREEDY_LONGEST_UNIT	4458	all nonchosen mappings under frozen deterministic key
ii	c	1.0	GREEDY_LONGEST_UNIT	430	all nonchosen mappings under frozen deterministic key
qo	v	1.0	GREEDY_LONGEST_UNIT	5310	all nonchosen mappings under frozen deterministic key
sh	w	1.0	GREEDY_LONGEST_UNIT	4534	all nonchosen mappings under frozen deterministic key
a	a	1.0	GREEDY_LONGEST_UNIT	10867	all nonchosen mappings under frozen deterministic key
b	p	1.0	GREEDY_LONGEST_UNIT	15	all nonchosen mappings under frozen deterministic key
c	k	1.0	GREEDY_LONGEST_UNIT	79	all nonchosen mappings under frozen deterministic key
d	s	1.0	GREEDY_LONGEST_UNIT	6259	all nonchosen mappings under frozen deterministic key
e	i	1.0	GREEDY_LONGEST_UNIT	10237	all nonchosen mappings under frozen deterministic key
f	u	1.0	GREEDY_LONGEST_UNIT	483	all nonchosen mappings under frozen deterministic key
g	c	1.0	GREEDY_LONGEST_UNIT	154	all nonchosen mappings under frozen deterministic key
h	m	1.0	GREEDY_LONGEST_UNIT	71	all nonchosen mappings under frozen deterministic key
i	h	1.0	GREEDY_LONGEST_UNIT	2711	all nonchosen mappings under frozen deterministic key
j	m	1.0	GREEDY_LONGEST_UNIT	14	all nonchosen mappings under frozen deterministic key
k	r	1.0	GREEDY_LONGEST_UNIT	10104	all nonchosen mappings under frozen deterministic key
l	n	1.0	GREEDY_LONGEST_UNIT	10658	all nonchosen mappings under frozen deterministic key
m	g	1.0	GREEDY_LONGEST_UNIT	1071	all nonchosen mappings under frozen deterministic key
n	t	1.0	GREEDY_LONGEST_UNIT	2035	all nonchosen mappings under frozen deterministic key
o	e	1.0	GREEDY_LONGEST_UNIT	20310	all nonchosen mappings under frozen deterministic key
p	b	1.0	GREEDY_LONGEST_UNIT	1442	all nonchosen mappings under frozen deterministic key
q	f	1.0	GREEDY_LONGEST_UNIT	125	all nonchosen mappings under frozen deterministic key
r	t	1.0	GREEDY_LONGEST_UNIT	7595	all nonchosen mappings under frozen deterministic key
s	z	1.0	GREEDY_LONGEST_UNIT	2823	all nonchosen mappings under frozen deterministic key
t	l	1.0	GREEDY_LONGEST_UNIT	6017	all nonchosen mappings under frozen deterministic key
u	p	1.0	GREEDY_LONGEST_UNIT	9	all nonchosen mappings under frozen deterministic key
v	j	1.0	GREEDY_LONGEST_UNIT	15	all nonchosen mappings under frozen deterministic key
x	p	1.0	GREEDY_LONGEST_UNIT	41	all nonchosen mappings under frozen deterministic key
y	e	1.0	GREEDY_LONGEST_UNIT	10925	all nonchosen mappings under frozen deterministic key
z	y	1.0	GREEDY_LONGEST_UNIT	9	all nonchosen mappings under frozen deterministic key
