locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.1	f100r	P	A	f100r.1|P01	chosaroshol	dezatewen	dezatewen	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.10	f100r	P	A	f100r.10|P01	dakocth	sarem	sarem	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.11	f100r	P	A	f100r.11|P01|f100r.11|P02|f100r.11|P03	sofam	zeuag	zeuag	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.12	f100r	P	A	f100r.12|P01|f100r.12|P02|f100r.12|P03	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	bdien wies vgiue wesen sa ele deez wie de z	bdien wies vgiue wesen sa ele deez wie de z	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.13	f100r	P	A	f100r.13|P01|f100r.13|P02|f100r.13|P03	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol	swiet mie vrie elie eriesaht tetateso so siegden	swiet mie vrie elie eriesaht tetateso so siegden	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.14	f100r	P	A	f100r.14|P01|f100r.14|P02|f100r.14|P03	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	wet drie vlie vrien vliens vrien ze to elan erie	wet drie vlie vrien vliens vrien ze to elan erie	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.15	f100r	P	A	f100r.15|P01|f100r.15|P02|f100r.15|P03	dcheor shol qokeeol chor chol qokeeody dareu	sdiet wen vrien det den vrien satip	sdiet wen vrien det den vrien satip	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.16	f100r	P	A	f100r.16|P01	okeeos	eriez	eriez	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.17	f100r	P	A	f100r.17|P01	shockhey	weuie	weuie	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.18	f100r	P	A	f100r.18|P01	orol	eten	eten	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.19	f100r	P	A	f100r.19|P01	olcheom	endieg	endieg	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.2	f100r	P	A	f100r.2|P01	sochorcfhy	zedetkume	zedetkume	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.20	f100r	P	A	f100r.20|P01	oteol	elien	elien	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
