locus	selected_path_id	source	segmentation	rule
f100r.1	f100r.1|P01	chosaroshol	ch+o+s+a+r+o+sh+o+l	greedy longest unit; byte-order tie break
f100r.10	f100r.10|P01	dakocth	d+a+k+o+cth	greedy longest unit; byte-order tie break
f100r.11	f100r.11|P01	sofam	s+o+f+a+m	greedy longest unit; byte-order tie break
f100r.12	f100r.12|P01	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	p+ch+e+o+l sh+e+o+d qo+cph+ee+ckh+y sh+o+d+o+l d+a o+t+o ch+o+o+s sh+ee+y ch+o s	greedy longest unit; byte-order tie break
f100r.13	f100r.13|P01	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol	d+sh+e+o+r cth+e+y qo+k+ee+y o+t+ee+y y+k+ee+o+d+a+i+n r+o+r+a+r+y+d+aiin d+aiin d+ee+o+m+ch+o+l	greedy longest unit; byte-order tie break
f100r.14	f100r.14|P01	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	sh+o+r ch+k+ee+y qo+t+ee+y qo+k+e+o+dy qo+t+e+o+l+d qo+k+e+o+l s+o r+aiin o+t+a+l y+k+eee+o	greedy longest unit; byte-order tie break
f100r.15	f100r.15|P01	dcheor shol qokeeol chor chol qokeeody dareu	d+ch+e+o+r sh+o+l qo+k+ee+o+l ch+o+r ch+o+l qo+k+ee+o+dy d+a+r+e+u	greedy longest unit; byte-order tie break
f100r.16	f100r.16|P01	okeeos	o+k+ee+o+s	greedy longest unit; byte-order tie break
f100r.17	f100r.17|P01	shockhey	sh+o+ckh+e+y	greedy longest unit; byte-order tie break
f100r.18	f100r.18|P01	orol	o+r+o+l	greedy longest unit; byte-order tie break
f100r.19	f100r.19|P01	olcheom	o+l+ch+e+o+m	greedy longest unit; byte-order tie break
f100r.2	f100r.2|P01	sochorcfhy	s+o+ch+o+r+c+f+h+y	greedy longest unit; byte-order tie break
f100r.20	f100r.20|P01	oteol	o+t+e+o+l	greedy longest unit; byte-order tie break
f100r.21	f100r.21|P01	okols	o+k+o+l+s	greedy longest unit; byte-order tie break
f100r.22	f100r.22|P01	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	f+o+l+sh+o+dy ch+o+l+d+aiin f+ch+o+d y+ch+e+o+l cph+o+l qo+t+ee+s sh+e+y a+s+e+s+o a+l+c+f+h+y	greedy longest unit; byte-order tie break
f100r.23	f100r.23|P01	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	s+o+iin ch+o+l cph+o+l sh+o+l sh+o+l qo+ckh+o+l ch+o+r ch+o+l sh+o k+ee+y y y+k+ee+a+m	greedy longest unit; byte-order tie break
f100r.24	f100r.24|P01	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	s+a+ii+ch+o+r sh+e+o+r qo+ckh+o+dy o+d+e+o+r y+k sh+ee+y ch+o+l+sh+e+o+dy s+a+i ch+e+o+l r+aiin	greedy longest unit; byte-order tie break
f100r.25	f100r.25|P01	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sh+e+o+r q+k+ee+o+dy ch+o+l d+aiin cth+e+o+l o+l+ch+e+o+l ch+e+k+y ch+e+o+l ch+e+o+ckh+y o+k+e+o+l	greedy longest unit; byte-order tie break
f100r.26	f100r.26|P01	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	y+aiin ch+e+k+ee+y ch+o+l ch+o+l+o+dy ch+o+s o+l+ch+o+r qo+k+e+o+l o+k+ee+o+l ch+e+o+l+s a+l	greedy longest unit; byte-order tie break
