group_serial	page	locus	event_index	opaque_local_id	condition_shelf	surface	selected_component_parse	portable_relative_components	relative_condition_reading_de	full_workshop_default_de	reading_status	external_celestial_or_calendar_name
1	f67r2	f67r2.1	1	A1:G001	C1	ykshy	Y+K+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
2	f67r2	f67r2.1	2	A1:G002	C1	s	S_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	Sternetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
3	f67r2	f67r2.1	3	A1:G003	C1	aram	AR+AM_ADDR	AR	VON · LOKALER_BEDINGUNGSKERN	von dort + Gegenfeld	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
4	f67r2	f67r2.2	1	A1:G004	C1	ykecho	Y+K+E+HO	Y+E	DIESER_EINTRAG · KURZ · LOKALER_BEDINGUNGSKERN	dies + zufuehren + kurz + Gabe	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
5	f67r2	f67r2.2	2	A1:G005	C1	ols	O+LS	NONE	LOKALE_BEDINGUNGSKARTE	Arbeitsgang + abfuehren	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
6	f67r2	f67r2.2	3	A1:G006	C1	eesydy	EE+Y+DY	EE+Y+DY	LAENGER · DIESER_EINTRAG · LOKAL_SCHLIESSEN	laenger + dies + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
7	f67r2	f67r2.3	1	A1:G007	C1	ey	E+Y	E+Y	KURZ · DIESER_EINTRAG	kurz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
8	f67r2	f67r2.3	2	A1:G008	C1	shs	SH+S_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	halten + Sternetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
9	f67r2	f67r2.3	3	A1:G009	C1	okar	OK+AR	AR	VON · LOKALER_BEDINGUNGSKERN	ansetzen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
10	f67r2	f67r2.4	1	A1:G010	C1	shekchy	SH+E+K+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	halten + kurz + zufuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
11	f67r2	f67r2.4	2	A1:G011	C1	sykos	Y+K+O+S_LABEL	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + Arbeitsgang + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
12	f67r2	f67r2.5	1	A1:G012	C1	ykeody	Y+K+E+O+Y	Y+E+Y	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + kurz + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
13	f67r2	f67r2.5	2	A1:G013	C1	okchy	OK+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies ansetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
14	f67r2	f67r2.6	1	A1:G014	C1	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Teiladresse + abziehen + kurz + eintragen + Nebenadresse + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
15	f67r2	f67r2.7	1	A1:G015	C1	ykchy	Y+K+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
16	f67r2	f67r2.7	2	A1:G016	C1	kchey	K+E+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies kurz zuführen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
17	f67r2	f67r2.7	3	A1:G017	C1	ykchys	Y+K+Y+S_LABEL	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + dies + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
18	f67r2	f67r2.8	1	A1:G018	C1	chkchdar	CHK+CHD+AR	AR	VON · LOKALER_BEDINGUNGSKERN	waermen + umsetzen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
19	f67r2	f67r2.9	1	A1:G019	C1	ykar	Y+K+AR	Y+AR	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN	dies + zufuehren + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
20	f67r2	f67r2.9	2	A1:G020	C1	ykaly	Y+K+AL+Y	Y+AL+Y	DIESER_EINTRAG · AN · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + Stelle + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
21	f67r2	f67r2.10	1	A1:G021	C1	lkshy	L+K+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	fuehren + zufuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
22	f67r2	f67r2.10	2	A1:G022	C1	kchy	K+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies zuführen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
23	f67r2	f67r2.10	3	A1:G023	C1	okar	OK+AR	AR	VON · LOKALER_BEDINGUNGSKERN	ansetzen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
24	f67r2	f67r2.11	1	A1:G024	C1	chky	CHK+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	waermen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
25	f67r2	f67r2.11	2	A1:G025	C1	chykchs	Y+K+CH+S_LABEL	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + abziehen + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
26	f67r2	f67r2.11	3	A1:G026	C1	chy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
27	f67r2	f67r2.12	1	A1:G027	C1	ykees	Y+K+EE+S_LABEL	Y+EE	DIESER_EINTRAG · LAENGER · LOKALER_BEDINGUNGSKERN	dies + zufuehren + laenger + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
28	f67r2	f67r2.12	2	A1:G028	C1	ykchos	Y+K+HO+S_LABEL	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + Gabe + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
29	f67r2	f67r2.13	1	A1:G029	C1	opodchol	O+P+O+OL	OL	WEITER · LOKALER_BEDINGUNGSKERN	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
30	f67r2	f67r2.13	2	A1:G030	C1	s	S_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	Sternetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
31	f67r2	f67r2.13	3	A1:G031	C1	ain	AIN	AIN	PORTION	Portion	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
32	f67r2	f67r2.13	4	A1:G032	C1	aldy	AL+DY	AL+DY	AN · LOKAL_SCHLIESSEN	Stelle + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
33	f67r2	f67r2.14	1	A1:G033	C1	soeey	S_ADDR+O+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Sternbezug + Arbeitsgang + laenger + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
