condition_handle	condition_shelf	page	locus	local_image_owner	surface_sequence	relative_condition_sequence_de	group_count	portable_relative_groups	workshop_use_de	external_name_needed_for_internal_use
C1@f67r2.1	C1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	ykshy s aram	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | VON · LOKALER_BEDINGUNGSKERN	3	2	Nenne C1@f67r2.1, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.2	C1	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	ykecho ols eesydy	DIESER_EINTRAG · KURZ · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | LAENGER · DIESER_EINTRAG · LOKAL_SCHLIESSEN	3	2	Nenne C1@f67r2.2, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.3	C1	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	ey shs okar	KURZ · DIESER_EINTRAG | LOKALE_BEDINGUNGSKARTE | VON · LOKALER_BEDINGUNGSKERN	3	2	Nenne C1@f67r2.3, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.4	C1	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	shekchy sykos	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	2	2	Nenne C1@f67r2.4, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.5	C1	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	ykeody okchy	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	2	2	Nenne C1@f67r2.5, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.6	C1	f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	dchetay	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C1@f67r2.6, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.7	C1	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	ykchy kchey ykchys	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	3	3	Nenne C1@f67r2.7, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.8	C1	f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	chkchdar	VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C1@f67r2.8, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.9	C1	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	ykar ykaly	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · AN · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	2	2	Nenne C1@f67r2.9, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.10	C1	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	lkshy kchy okar	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | VON · LOKALER_BEDINGUNGSKERN	3	3	Nenne C1@f67r2.10, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
