relative_component	relative_value_de	operational_default_de	group_count	pages	condition_shelves	external_name_claim
OT	FOLGEND	nächster oder danach gewählter lokaler Eintrag	34	f67r2|f68r1|f69v	C2|C3|C4|C6	NO
OL	WEITER	vorigen Bezug fortsetzen oder gleichen Rahmen behalten	32	f67r2|f68r1|f69v	C1|C2|C3|C4|C5|C6	NO
AR	VON	von der lokalen Quelle oder dem Gegenfeld	56	f67r2|f68r1|f69v	C1|C2|C3|C4|C5|C6|Q67	NO
AL	AN	an diesem Ziel- oder Bildplatz	33	f67r2|f68r1|f69v	C1|C2|C3|C4|C5|C6	NO
AIN	PORTION	ein abgegrenzter Teil des lokalen Werts	9	f67r2	C1|C2|Q67	NO
AIIN	SOLLMASS	der vorgeschriebene lokale Wert oder Maßposten	24	f67r2|f68r1|f69v	C1|C2|C3|C4|C5|Q67	NO
IIN	STUFE	eine lokale Bedingungs- oder Einstellstufe	5	f67r2|f68r1	C1|C2|C3	NO
E	KURZ	kurzer oder erster Grad	61	f67r2|f68r1|f69v	C1|C2|C3|C4|C5|C6|Q67	NO
EE	LAENGER	längerer oder anhaltender Grad	38	f67r2|f68r1|f69v	C1|C2|C3|C4|C5|C6|Q67	NO
EEE	VOLL	vollständiger oder höchster Grad	3	f68r1|f69v	C3|C4	NO
Y	DIESER_EINTRAG	der aktuell gemeinte lokale Eintrag	208	f67r2|f68r1|f69v	C1|C2|C3|C4|C5|C6|Q67	NO
DY	LOKAL_SCHLIESSEN	diesen lokalen Etiketteneintrag schließen	21	f67r2|f68r1|f69v	C1|C2|C3|C4|C5	NO
