record_unit_id	result_id	result_word_de	event_id	statement_id	microcycle	rendered_surface	atomic_value_de	program_id	slot_code
B1	R01_BEHANDLUNGSPORTION	Behandlungsportion	E163	B1-S019	1	tedy	Kurzabsetzung	P09_ABSETZEN_SAMMELN	S3_PROZESS_TRANSFER
B1	R01_BEHANDLUNGSPORTION	Behandlungsportion	E164	B1-S020	1	cheky	Kurzwärme	P05_LANG_BEHANDELN	S4_DAUER_ZUSTAND
B1	R01_BEHANDLUNGSPORTION	Behandlungsportion	E165	B1-S020	2	shckhedy	durchlassen	P08_DURCHLASSEN	S3_PROZESS_TRANSFER
B1	R01_BEHANDLUNGSPORTION	Behandlungsportion	E166	B1-S021	1	al	Stelle	P03_AM_ZIEL_EINSETZEN	S5_ZIEL_ANWENDUNG
B2	R02_KLARABZUG	Klarabzug	E225	B2-S019	1	rshedy	Absetzschluss	P09_ABSETZEN_SAMMELN	S3_PROZESS_TRANSFER
B2	R02_KLARABZUG	Klarabzug	E226	B2-S020	1	qoteedy	Langfolgestufe	P06_FORTSETZEN	S1_BEZUG_FOLGE
B2	R02_KLARABZUG	Klarabzug	E227	B2-S021	1	qokeedy	Langkontakt	P05_LANG_BEHANDELN	S4_DAUER_ZUSTAND
B2	R02_KLARABZUG	Klarabzug	E228	B2-S022	1	lochedy	Abführung	P10_ABZIEHEN_ABFUEHREN	S3_PROZESS_TRANSFER
B3	R03_SAMMELGUT	Sammelgut	E308	B3-S033	1	ldy	abziehen	P10_ABZIEHEN_ABFUEHREN	S3_PROZESS_TRANSFER
B3	R03_SAMMELGUT	Sammelgut	E309	B3-S034	1	soiiin	Arbeitsstufe	P01_DOSIEREN	S2_MATERIAL_MASS
B3	R03_SAMMELGUT	Sammelgut	E310	B3-S034	1	checthy	Bereit	P11_BEREITEN_SCHLIESSEN	S6_BEREIT_ABSCHLUSS
B3	R03_SAMMELGUT	Sammelgut	E311	B3-S034	2	chety	Zerkleinern	P02_MATERIAL_GEBEN	S2_MATERIAL_MASS
B3	R03_SAMMELGUT	Sammelgut	E312	B3-S034	2	sotaiin	Folgemaß	P01_DOSIEREN	S2_MATERIAL_MASS
B3	R03_SAMMELGUT	Sammelgut	E313	B3-S034	2	olsaly	Zwischenziel	P03_AM_ZIEL_EINSETZEN	S5_ZIEL_ANWENDUNG
B3	R03_SAMMELGUT	Sammelgut	E314	B3-S034	3	cheedy	Kurzabsetzung	P09_ABSETZEN_SAMMELN	S3_PROZESS_TRANSFER
B4	R02_KLARABZUG	Klarabzug	E352	B4-S015	1	okain	Zugabe	P02_MATERIAL_GEBEN	S2_MATERIAL_MASS
B4	R02_KLARABZUG	Klarabzug	E353	B4-S015	1	shey	Klarauszug	P10_ABZIEHEN_ABFUEHREN	S3_PROZESS_TRANSFER
B4	R02_KLARABZUG	Klarabzug	E354	B4-S015	2	kain	Portion	P01_DOSIEREN	S2_MATERIAL_MASS
B4	R02_KLARABZUG	Klarabzug	E355	B4-S015	2	chckhal	Zielpassage	P08_DURCHLASSEN	S3_PROZESS_TRANSFER
B4	R02_KLARABZUG	Klarabzug	E356	B4-S015	2	solkey	Kurzsammlung	P09_ABSETZEN_SAMMELN	S3_PROZESS_TRANSFER
B4	R02_KLARABZUG	Klarabzug	E357	B4-S015	2	lchedy	abführen	P10_ABZIEHEN_ABFUEHREN	S3_PROZESS_TRANSFER
B4	R02_KLARABZUG	Klarabzug	E358	B4-S016	1	olkain	Folgeportion	P01_DOSIEREN	S2_MATERIAL_MASS
B4	R02_KLARABZUG	Klarabzug	E359	B4-S016	1	sal	Stelle	P03_AM_ZIEL_EINSETZEN	S5_ZIEL_ANWENDUNG
B4	R02_KLARABZUG	Klarabzug	E360	B4-S016	2	skar	Quellausguss	P10_ABZIEHEN_ABFUEHREN	S3_PROZESS_TRANSFER
B4	R02_KLARABZUG	Klarabzug	E361	B4-S016	2	shedy	Kurzabsetzung	P09_ABSETZEN_SAMMELN	S3_PROZESS_TRANSFER
B5	R04_TRANSFERGUT	Transfergut	E364	B5-S003	1	shedal	Zielabsetzung	P09_ABSETZEN_SAMMELN	S3_PROZESS_TRANSFER
B5	R04_TRANSFERGUT	Transfergut	E365	B5-S003	1	cheal	Stelle	P03_AM_ZIEL_EINSETZEN	S5_ZIEL_ANWENDUNG
B5	R04_TRANSFERGUT	Transfergut	E366	B5-S003	2	cheol	Fortsetzung	P06_FORTSETZEN	S1_BEZUG_FOLGE
B5	R04_TRANSFERGUT	Transfergut	E367	B5-S003	2	lol	Weiterabzug	P10_ABZIEHEN_ABFUEHREN	S3_PROZESS_TRANSFER
B5	R04_TRANSFERGUT	Transfergut	E368	B5-S003	2	chdal	Zieltransfer	P07_UEBERFUEHREN	S3_PROZESS_TRANSFER
B5	R04_TRANSFERGUT	Transfergut	E369	B5-S003	3	chaiin	Sollmaß	P01_DOSIEREN	S2_MATERIAL_MASS
B5	R04_TRANSFERGUT	Transfergut	E370	B5-S003	4	cheol	Fortsetzung	P06_FORTSETZEN	S1_BEZUG_FOLGE
B5	R04_TRANSFERGUT	Transfergut	E371	B5-S003	4	daiiin	Endstufe	P01_DOSIEREN	S2_MATERIAL_MASS
B5	R04_TRANSFERGUT	Transfergut	E372	B5-S003	4	chedy	Umsetzen	P07_UEBERFUEHREN	S3_PROZESS_TRANSFER
B6	R05_ANWENDUNGSPOSTEN	Anwendungsposten	E373	B6-S001	1	solkeey	Langsammlung	P09_ABSETZEN_SAMMELN	S3_PROZESS_TRANSFER
B6	R05_ANWENDUNGSPOSTEN	Anwendungsposten	E374	B6-S001	1	qekey	Kurzbearbeitung	P04_KURZ_BEHANDELN	S4_DAUER_ZUSTAND
B6	R05_ANWENDUNGSPOSTEN	Anwendungsposten	E375	B6-S001	1	raly	Endposten	P11_BEREITEN_SCHLIESSEN	S6_BEREIT_ABSCHLUSS
B6	R05_ANWENDUNGSPOSTEN	Anwendungsposten	E376	B6-S001	2	cheol	Fortsetzung	P06_FORTSETZEN	S1_BEZUG_FOLGE
