target_occurrence_id	page	physical_folio	locus	line_number	section	language	hand	target_surface	target_ordinal	line_token_count	target_line_position	target_polarity	target_carrier_role	target_working_candidate_de	written_line_eva	l2_ordinal	l2_surface	l2_status	l2_axes	l2_semantic_candidate_de	l2_semantic_source	l2_unknown_cell	l1_ordinal	l1_surface	l1_status	l1_axes	l1_semantic_candidate_de	l1_semantic_source	l1_unknown_cell	r1_ordinal	r1_surface	r1_status	r1_axes	r1_semantic_candidate_de	r1_semantic_source	r1_unknown_cell	r2_ordinal	r2_surface	r2_status	r2_axes	r2_semantic_candidate_de	r2_semantic_source	r2_unknown_cell
G761-O001	f100r	f100	f100r.24	24	P	A	1	sheor	2	10	MIDDLE	MOIST	MATERIAL_PART	feuchter Drogenteil	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	0	LINE_EDGE	EDGE	NONE	NONE	LINE_EDGE	1	1	saiichor	ELIGIBLE	NONE	[saiichor:?]	GDT734_CELL	1	3	qockhody	ELIGIBLE	NONE	[qockhody:?]	GDT734_CELL	1	4	odeor	ELIGIBLE	NONE	[odeor:?]	GDT734_CELL	1
G761-O002	f100r	f100	f100r.25	25	P	A	1	sheor	1	10	FIRST	MOIST	MATERIAL_PART	feuchter Drogenteil	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	0	LINE_EDGE	EDGE	NONE	NONE	LINE_EDGE	1	0	LINE_EDGE	EDGE	NONE	NONE	LINE_EDGE	1	2	qkeeody	ELIGIBLE	NONE	[qkeeody:?]	GDT734_CELL	1	3	chol	ELIGIBLE	NONE	trocken/getrocknet	GDT758_COMPLETE_WHOLE	0
G761-O003	f100v	f100	f100v.18	18	P	A	1	cheo	4	11	MIDDLE	DRY	PREPARATION	trocken angesetzte Zubereitung	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	2	s	NONEXACT	NONE	Mengen-/Gleichteileform	GDT760_AMOUNT_FAMILY	0	3	ol	NONEXACT	NONE	Ansatz oder Stoffkopf	GDT761_CARRIER_PRIOR	0	5	cheeor	ELIGIBLE	DRY|AMOUNT|MATERIAL|END_STAGE	eine Portion vollständig getrocknete Droge	GDT734_COMPLETE_WHOLE	0	6	odaidy	ELIGIBLE	NONE	[odaidy:?]	GDT734_CELL	1
G761-O004	f100v	f100	f100v.20	20	P	A	1	cheor	6	8	MIDDLE	DRY	MATERIAL_PART	trockener Drogenteil	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	4	chokeol	ELIGIBLE	NONE	[chokeol:?]	GDT734_CELL	1	5	saraloaly	NONEXACT	NONE	[saraloaly:?]	GDT734_CELL	1	7	ol	ELIGIBLE	NONE	Ansatz oder Stoffkopf	GDT761_CARRIER_PRIOR	0	8	chockhar	ELIGIBLE	NONE	[chockhar:?]	GDT734_CELL	1
G761-O005	f102v1	f102	f102v1.9	9	P	A	1	cheo	7	10	MIDDLE	DRY	PREPARATION	trocken angesetzte Zubereitung	teody ckheey qokeol sheky qockheor or cheo rchol qoteor dar	5	qockheor	ELIGIBLE	NONE	[qockheor:?]	GDT734_CELL	1	6	or	NONEXACT	NONE	Portionsform	GDT760_AMOUNT_FAMILY	0	8	rchol	NONEXACT	NONE	trockener Wurzeldrogenstoff	GDT734_COMPLETE_WHOLE	0	9	qoteor	ELIGIBLE	NONE	[qoteor:?]	GDT734_CELL	1
G761-O006	f102v1	f102	f102v1.12	12	P	A	1	cheor	8	10	MIDDLE	DRY	MATERIAL_PART	trockener Drogenteil	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	6	s	NONEXACT	NONE	Mengen-/Gleichteileform	GDT760_AMOUNT_FAMILY	0	7	ar	NONEXACT	NONE	Anteilsform	GDT760_AMOUNT_FAMILY	0	9	ey	NONEXACT	NONE	anschließend	GDT734_COMPLETE_WHOLE	0	10	pchodaiin	ELIGIBLE	NONE	[pchodaiin:?]	GDT734_CELL	1
G761-O007	f102v1	f102	f102v1.14	14	P	A	1	cheor	2	5	MIDDLE	DRY	MATERIAL_PART	trockener Drogenteil	chor cheor ckhey oteol aeky	0	LINE_EDGE	EDGE	NONE	NONE	LINE_EDGE	1	1	chor	ELIGIBLE	NONE	Blüten-/Samenstand	GDT761_CARRIER_PRIOR	0	3	ckhey	ELIGIBLE	PREPARATION|MIDDLE_STAGE	Arzneikompositum in der Gradmitte	GDT734_COMPLETE_WHOLE	0	4	oteol	ELIGIBLE	COLD|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	GDT734_COMPLETE_WHOLE	0
G761-O008	f102v2	f102	f102v2.11	11	P	A	1	cheor	1	1	SINGLE	DRY	MATERIAL_PART	trockener Drogenteil	cheor	0	LINE_EDGE	EDGE	NONE	NONE	LINE_EDGE	1	0	LINE_EDGE	EDGE	NONE	NONE	LINE_EDGE	1	0	LINE_EDGE	EDGE	NONE	NONE	LINE_EDGE	1	0	LINE_EDGE	EDGE	NONE	NONE	LINE_EDGE	1
G761-O009	f102v2	f102	f102v2.33	33	P	A	1	cheor	4	12	MIDDLE	DRY	MATERIAL_PART	trockener Drogenteil	qokeor sho keeeos cheor o s al chos aiiin o ky okaraiin	2	sho	ELIGIBLE	MOIST|PREPARATION	feuchter Ansatz	GDT734_COMPLETE_WHOLE	0	3	keeeos	ELIGIBLE	NONE	[keeeos:?]	GDT734_CELL	1	5	o	NONEXACT	NONE	Ansatz mit s	GDT734_CELL	0	6	s	NONEXACT	NONE	Mengen-/Gleichteileform	GDT760_AMOUNT_FAMILY	0
G761-O010	f102v2	f102	f102v2.39	39	P	A	1	cheor	2	4	MIDDLE	DRY	MATERIAL_PART	trockener Drogenteil	yotaiin cheor cheekey orain	0	LINE_EDGE	EDGE	NONE	NONE	LINE_EDGE	1	1	yotaiin	ELIGIBLE	NONE	[yotaiin:?]	GDT734_CELL	1	3	cheekey	ELIGIBLE	NONE	[cheekey:?]	GDT734_CELL	1	4	orain	ELIGIBLE	AMOUNT|MATERIAL	zwei Portionen	GDT760_AMOUNT_FAMILY	0
