neighbor_surface	direct_contacts	direct_contact_pages	target_coverage	target_counts	polarity_counts	side_counts	global_reader_exact_occurrences	global_reader_exact_pages	direct_contact_share	global_background_share	descriptive_contact_lift	current_semantic_candidate_de	current_role_class	decision	carrier_candidate_selected	specific_identity_confirmed	component_export_credit
chor	5	5	4	cheo:1|cheor:2|sheo:1|sheor:1	DRY:3|MOIST:2	L:3|R:2	176	94	0.022321	0.007634	2.924107	Blüten-/Samenstand	REPRODUCTIVE_PART_CARRIER	SELECT_REPRODUCTIVE_PART_CARRIER_CROSSING_ALL4_TARGETS	1	0	0
oraiin	4	4	4	cheo:1|cheor:1|sheo:1|sheor:1	DRY:2|MOIST:2	L:3|R:1	21	18	0.017857	0.000911	19.605442	drei Portionen	AMOUNT_OR_VALUE_FORM	KNOWN_AMOUNT_FORMULA_CROSSING_ALL4_NOT_CARRIER	0	0	0
ol	6	6	3	cheor:4|sheo:1|sheor:1	DRY:4|MOIST:2	L:2|R:4	376	98	0.026786	0.016308	1.642477	Ansatz oder Stoffkopf	NEUTRAL_CARRIER_OR_PREPARATION	NEUTRAL_CARRIER_OR_PREPARATION_RIVAL_NOT_SOLVENT_IDENTITY	0	0	0
aiin	5	5	3	cheo:2|cheor:2|sheor:1	DRY:4|MOIST:1	L:1|R:4	338	89	0.022321	0.014660	1.522612	Wert III	AMOUNT_OR_VALUE_FORM	SHARED_STRUCTURAL_CANDIDATE_RETAIN	0	0	0
daiin	4	4	3	cheo:1|sheo:1|sheor:2	DRY:1|MOIST:3	L:4	602	163	0.017857	0.026110	0.683911	Grad-/Maßwert III || Qualitätsgrad III	AMOUNT_OR_VALUE_FORM	SHARED_STRUCTURAL_CANDIDATE_RETAIN	0	0	0
al	3	3	3	cheo:1|cheor:1|sheo:1	DRY:2|MOIST:1	R:3	167	55	0.013393	0.007243	1.849016	Material I	MATERIAL_CARRIER	SHARED_STRUCTURAL_CANDIDATE_RETAIN	0	0	0
chey	6	4	2	cheor:4|sheor:2	DRY:4|MOIST:2	L:1|R:5	282	92	0.026786	0.012231	2.189970	trocken in der Mitte des Grades	OPEN_OR_OTHER_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
s	4	4	2	cheor:3|sheo:1	DRY:3|MOIST:1	L:3|R:1	154	88	0.017857	0.006679	2.673469	Mengen-/Gleichteileform	AMOUNT_OR_VALUE_FORM	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
chol	4	4	2	cheo:1|cheor:3	DRY:4	L:2|R:2	303	121	0.017857	0.013142	1.358793	trocken/getrocknet	OPEN_OR_OTHER_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
lor	3	3	2	cheo:2|sheor:1	DRY:2|MOIST:1	L:2|R:1	30	22	0.013393	0.001301	10.292857	Holzportion	OPEN_OR_OTHER_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
ar	3	3	2	cheor:2|sheo:1	DRY:2|MOIST:1	L:3	242	78	0.013393	0.010496	1.275974	Anteilsform	AMOUNT_OR_VALUE_FORM	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
qotchor	2	2	2	cheor:1|sheor:1	DRY:1|MOIST:1	L:1|R:1	11	10	0.008929	0.000477	18.714286	kalt-trockene Drogenportion	CONTENT_OR_PREPARATION_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
chckhey	2	2	2	cheor:1|sheor:1	DRY:1|MOIST:1	L:1|R:1	25	23	0.008929	0.001084	8.234286	Arzneikompositum: trocken, Gradmitte	CONTENT_OR_PREPARATION_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
ckhy	2	2	2	sheo:1|sheor:1	MOIST:2	L:1|R:1	25	24	0.008929	0.001084	8.234286	Mischung, Anfangsstufe	OPEN_OR_OTHER_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
sheedy	2	2	2	cheor:1|sheor:1	DRY:1|MOIST:1	R:2	41	29	0.008929	0.001778	5.020906	feucht am Ende des Grades	OPEN_OR_OTHER_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
sheey	2	2	2	cheor:1|sheor:1	DRY:1|MOIST:1	R:2	105	59	0.008929	0.004554	1.960544	feucht, Endstufe	OPEN_OR_OTHER_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
okain	2	2	2	cheor:1|sheor:1	DRY:1|MOIST:1	L:2	112	43	0.008929	0.004858	1.838010	heißer Ansatz, Grad II	OPEN_OR_OTHER_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
dar	2	2	2	sheo:1|sheor:1	MOIST:2	L:1|R:1	195	99	0.008929	0.008458	1.055678	abgemessener Anteil I	AMOUNT_OR_VALUE_FORM	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
qokain	2	2	2	cheor:1|sheor:1	DRY:1|MOIST:1	L:1|R:1	256	44	0.008929	0.011103	0.804129	heiß, Grad II	OPEN_OR_OTHER_WHOLE	PAIR_SHARED_NAVIGATION_CANDIDATE	0	0	0
pcheey	2	2	1	sheo:2	MOIST:2	R:2	3	3	0.008929	0.000130	68.619048	H1-Form im trockenen Form-II-Feld; Stoff und Funktion offen	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
tor	2	2	1	sheor:2	MOIST:2	L:2	12	12	0.008929	0.000520	17.154762	kalte Drogenportion	CONTENT_OR_PREPARATION_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
sain	2	2	1	sheor:2	MOIST:2	L:2	53	30	0.008929	0.002299	3.884097	zwei Drachmen	AMOUNT_OR_VALUE_FORM	SINGLE_TARGET_NEIGHBOR	0	0	0
chody	2	2	1	cheor:2	DRY:2	L:2	64	50	0.008929	0.002776	3.216518	leicht getrocknet; abgeschlossen	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
shor	2	2	1	sheor:2	MOIST:2	L:2	77	51	0.008929	0.003340	2.673469	Blüte / Fruchtstand	REPRODUCTIVE_PART_RIVAL	SINGLE_TARGET_NEIGHBOR	0	0	0
okeey	2	2	1	cheor:2	DRY:2	L:2	116	44	0.008929	0.005031	1.774631	heiß an der End-/Vollstufe; Trägerrolle offen	QUALITY_OR_STATE_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
dain	2	2	1	cheo:2	DRY:2	R:2	149	76	0.008929	0.006463	1.381592	Grad-/Maßwert II	AMOUNT_OR_VALUE_FORM	SINGLE_TARGET_NEIGHBOR	0	0	0
cheokchet	1	1	1	cheor:1	DRY:1	R:1	1	1	0.004464	0.000043	102.928571	[cheokchet:?]	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
cheotey	1	1	1	cheor:1	DRY:1	R:1	1	1	0.004464	0.000043	102.928571	[cheotey:?]	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
chokody	1	1	1	cheor:1	DRY:1	R:1	1	1	0.004464	0.000043	102.928571	Trockenansatz erhitzen, erneut ansetzen und fertigstellen	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
cholsho	1	1	1	cheor:1	DRY:1	R:1	1	1	0.004464	0.000043	102.928571	[cholsho:?]	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
chpaiikey	1	1	1	sheo:1	MOIST:1	L:1	1	1	0.004464	0.000043	102.928571	[chpaiikey:?]	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
cthodar	1	1	1	sheo:1	MOIST:1	L:1	1	1	0.004464	0.000043	102.928571	[cthodar:?]	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
dcheodl	1	1	1	sheo:1	MOIST:1	L:1	1	1	0.004464	0.000043	102.928571	[dcheodl:?]	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
dorkcheky	1	1	1	cheo:1	DRY:1	L:1	1	1	0.004464	0.000043	102.928571	[dorkcheky:?]	OPEN_OR_OTHER_WHOLE	SINGLE_TARGET_NEIGHBOR	0	0	0
