parse_unit_id	statement_id	record_unit_id	unit_kind	source_event_ids	visible_surface_sequence	literal_value_sequence	construction_reading_de
U001	H1-S001	H1	ATOMIC_CARD	E001	dchey	Wurzel	Wurzel
U002	H1-S001	H1	ATOMIC_CARD	E002	cthoor	Vorbereitung	Vorbereitung
U003	H1-S001	H1	ATOMIC_CARD	E003	char	davon	davon
U004	H1-S001	H1	ATOMIC_CARD	E004	chty	Teil	Teil
U005	H1-S001	H1	ATOMIC_CARD	E005	os	Aufnahmegefäß	Aufnahmegefäß
U006	H1-S001	H1	ATOMIC_CARD	E006	chair	Zuguss	Zuguss
U007	H1-S001	H1	ATOMIC_CARD	E007	otytchol	Folgeteil	Folgeteil
U008	H1-S001	H1	ATOMIC_CARD	E008	oky	einsetzen	einsetzen
U009	H1-S001	H1	ATOMIC_CARD	E009	daiin	Sollwert	Sollwert
U010	H1-S001	H1	ATOMIC_CARD	E010	etyd	kleiner Rest	kleiner Rest
U011	H1-S002	H1	ATOMIC_CARD	E011	qokchy	weiterbearbeiten	weiterbearbeiten
U012	H1-S002	H1	ATOMIC_CARD	E012	qotchol	Folgegang	Folgegang
U013	H1-S002	H1	ATOMIC_CARD	E013	chol	weiter	weiter
U014	H1-S002	H1	ATOMIC_CARD	E014	cthy	bereit	bereit
U015	H2-S001	H2	ATOMIC_CARD	E015	ycheor	Auszugsansatz	Auszugsansatz
U016	H2-S001	H2	ATOMIC_CARD	E016	cthy	bereit	bereit
U017	H2-S001	H2	ATOMIC_CARD	E017	chor	Ansatz	Ansatz
U018	H2-S001	H2	ATOMIC_CARD	E018	cthaiin	Sollvorbereitung	Sollvorbereitung
U019	H2-S001	H2	ATOMIC_CARD	E019	qoctholy	bereiter Folgeposten	bereiter Folgeposten
U020	H2-S001	H2	ATOMIC_CARD	E020	dy	dies	dies
U021	H2-S001	H2	ABA_RETURN_FRAME	E021|E022|E023	chy taiin shy	dies > Sollwert > dies	Diesen Posten auf Sollwert setzen und als denselben Posten weiterführen.
U022	H2-S002	H2	ATOMIC_CARD	E024	qotchor	Folgeansatz	Folgeansatz
U023	H2-S002	H2	ATOMIC_CARD	E025	chor	Ansatz	Ansatz
