statement_id	record_unit_id	visible_owner	visible_sequence	source_event_count	parse_unit_count	aba_frame_count	parse_unit_ids	construction_aware_reading	fluent_construction_aware_de	revision_status
H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey cthoor char chty os chair otytchol oky daiin etyd	10	10	0	U001|U002|U003|U004|U005|U006|U007|U008|U009|U010	[KARTE:Wurzel] [KARTE:Vorbereitung] [KARTE:davon] [KARTE:Teil] [KARTE:Aufnahmegefäß] [KARTE:Zuguss] [KARTE:Folgeteil] [KARTE:einsetzen] [KARTE:Sollwert] [KARTE:kleiner Rest]	Wurzel nehmen, Teil im Aufnahmegefäß vorbereiten, zugießen, Folgeteil einsetzen, auf Sollwert bringen und kleinen Rest belassen.	UNCHANGED
H1-S002	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qokchy qotchol chol cthy	4	4	0	U011|U012|U013|U014	[KARTE:weiterbearbeiten] [KARTE:Folgegang] [KARTE:weiter] [KARTE:bereit]	Die erste Charge weiterbearbeiten, im Folgegang weiterführen und als bereit halten.	UNCHANGED
H2-S001	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	9	7	1	U015|U016|U017|U018|U019|U020|U021	[KARTE:Auszugsansatz] [KARTE:bereit] [KARTE:Ansatz] [KARTE:Sollvorbereitung] [KARTE:bereiter Folgeposten] [KARTE:dies] [ABA:Diesen Posten auf Sollwert setzen und als denselben Posten weiterführen.]	Auszugsansatz bereitstellen und Folgeansatz vorbereiten; diesen und den folgenden Posten führen, den folgenden auf Sollwert setzen und als aktuellen Posten halten.	ABA_REWRITTEN
H2-S002	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchor chor otol chol cholor chol daiin dar	8	6	1	U022|U023|U024|U025|U026|U027	[KARTE:Folgeansatz] [KARTE:Ansatz] [KARTE:Fortgang] [ABA:Weiter im selben Ansatz, dann den Fortgang wieder aufnehmen.] [KARTE:Sollwert] [KARTE:davon]	Folgeansatz ansetzen; im Fortgang denselben Ansatz ohne Wechsel weiterführen und davon den Sollwert nehmen.	ABA_REWRITTEN
H2-S003	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oykchor shor chor chy kaiiin dy chodaiin	7	5	1	U028|U029|U030|U031|U032	[KARTE:Zubereitungsgefäß] [KARTE:Ansatz] [KARTE:Ansatz] [ABA:Diesen Posten durch die Bearbeitungsstufe führen und als denselben Posten halten.] [KARTE:Zugabemaß]	Im Zubereitungsgefäß den Ansatz führen, denselben Posten durch die Bearbeitungsstufe halten und das Zugabemaß einsetzen.	ABA_REWRITTEN
H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	tshol schoal cfhy shfydaiin cphy shey tchody	7	7	0	U033|U034|U035|U036|U037|U038|U039	[KARTE:Kochgut] [KARTE:Sudansatz] [KARTE:auswringen] [KARTE:Stehzeit] [KARTE:nachseihen] [KARTE:Ergebnis] [KARTE:kalt stellen; Schluss]	Kochgut zum Sud ansetzen, auswringen, Stehzeit abwarten, nachseihen, Ergebnis abnehmen und kalt stellen; Schluss.	UNCHANGED
H3-S002	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shoyty	1	1	0	U040	[KARTE:Zugabeteil]	Den weiteren Zugabeteil bereitlegen.	UNCHANGED
H3-S003	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dchol chy kchy dy daiin	5	3	1	U041|U042|U043	[KARTE:vom vorigen] [ABA:Diesen Posten bearbeiten und als denselben Posten weiterführen.] [KARTE:Sollwert]	Vom vorigen Ansatz denselben Posten bearbeiten und behalten, dann auf Sollwert bringen.	ABA_REWRITTEN
H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	qotchy okchol cthy dy	4	4	0	U044|U045|U046|U047	[KARTE:nächster Posten] [KARTE:weiter einsetzen] [KARTE:bereit] [KARTE:dies]	Zum Nächsten wechseln, weiter einsetzen, Bereitschaft prüfen und dies halten.	UNCHANGED
H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	qokaiin chaiin ykain ykan ody	5	5	0	U048|U049|U050|U051|U052	[KARTE:bemessen] [KARTE:Sollwert] [KARTE:erste Portion] [KARTE:zweite Portion] [KARTE:abkühlen; Schluss]	Bemessen, auf Sollwert in erste und zweite Portion teilen und abkühlen lassen; Schluss.	UNCHANGED
H4-S002	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	daiin chedy talam	3	3	0	U053|U054|U055	[KARTE:Sollwert] [KARTE:überführen] [KARTE:Verwahrort]	Die Sollmenge überführen und am Verwahrort ablegen.	UNCHANGED
H4-S003	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ykaiin cheoar cheeky oldy	4	4	0	U056|U057|U058|U059	[KARTE:Sollportion] [KARTE:Quellauszug] [KARTE:länger bearbeiten] [KARTE:Schluss]	Sollportion aus dem Quellauszug nehmen und länger bearbeiten; Schluss.	UNCHANGED
H4-S004	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	aiin okal oltchy or y orain	6	6	0	U060|U061|U062|U063|U064|U065	[KARTE:Sollwert] [KARTE:dorthin einsetzen] [KARTE:Folgebereitung] [KARTE:Ansatz] [KARTE:dies] [KARTE:Bereitungsanteil]	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.	UNCHANGED
H5-S001	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	chochor cho chodaly daiin sho kchol otchor choky dal	9	9	0	U066|U067|U068|U069|U070|U071|U072|U073|U074	[KARTE:Zugabeansatz] [KARTE:weitere Zutat] [KARTE:Zielzugabe] [KARTE:Sollwert] [KARTE:weitere Zutat] [KARTE:weiter bearbeiten] [KARTE:Folgeansatz] [KARTE:einsetzen] [KARTE:dorthin]	Zugabeansatz, weitere Zutat als Zielzugabe auf Sollwert, Folgeansatz weiterbearbeiten, einsetzen und dorthin führen.	UNCHANGED
H5-S002	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	schol choy choky cheeckhody	4	4	0	U075|U076|U077|U078	[KARTE:vom vorigen] [KARTE:Zugabeposten] [KARTE:einsetzen] [KARTE:auftragen; Schluss]	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.	UNCHANGED
H5-S003	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sh cho kchey qokokchy	4	4	0	U079|U080|U081|U082	[KARTE:Stängel] [KARTE:weitere Zutat] [KARTE:Kurzbearbeitung] [KARTE:erneut einsetzen]	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.	UNCHANGED
H5-S004	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	okchy chokcheo kchal	3	3	0	U083|U084|U085	[KARTE:weiterbearbeiten] [KARTE:Auszug einsetzen] [KARTE:Zielbearbeitung]	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.	UNCHANGED
H5-S005	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sho chokchy kchoar sotodan	4	4	0	U086|U087|U088|U089	[KARTE:weitere Zutat] [KARTE:weiterbearbeiten] [KARTE:bearbeiteter Quellauszug] [KARTE:Folgeanwendung]	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und die Folgeanwendung ausführen.	UNCHANGED
