event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	current_short_default_de	current_layer
1	H1-S001	H1	f10r	dchey	MC071	Wurzel+Posten	UNCHANGED_LEARNED_SECTION_CARD
2	H1-S001	H1	f10r	cthoor	MC158	bereit+Ansatz	UNCHANGED_LEARNED_SECTION_CARD
3	H1-S001	H1	f10r	char	MC055	davon	REVISED_SHARED_17
4	H1-S001	H1	f10r	chty	MC086	einen Teil abtrennen	REVISED_SHARED_17
5	H1-S001	H1	f10r	os	MC159	Gefäß	UNCHANGED_LEARNED_SECTION_CARD
6	H1-S001	H1	f10r	chair	MC014	Lauf	UNCHANGED_LEARNED_SECTION_CARD
7	H1-S001	H1	f10r	otytchol	MC069	danach+Teil+weiter	UNCHANGED_LEARNED_SECTION_CARD
8	H1-S001	H1	f10r	oky	MC026	diesen Posten einsetzen	REVISED_SHARED_17
9	H1-S001	H1	f10r	daiin	MC039	Sollmaß	REVISED_SHARED_17
10	H1-S001	H1	f10r	etyd	MC108	kurz+Teil	UNCHANGED_LEARNED_SECTION_CARD
11	H1-S002	H1	f10r	qokchy	MC103	diesen Posten weiterbearbeiten	REVISED_EXTENSION_CORE_24
12	H1-S002	H1	f10r	qotchol	MC163	danach+weiter	UNCHANGED_LEARNED_SECTION_CARD
13	H1-S002	H1	f10r	chol	MC153	weiter	REVISED_SHARED_17
14	H1-S002	H1	f10r	cthy	MC161	diesen Posten bereitstellen	REVISED_SHARED_17
15	H2-S001	H2	f10r	ycheor	MC075	Posten+Auszug+Ansatz	UNCHANGED_LEARNED_SECTION_CARD
16	H2-S001	H2	f10r	cthy	MC161	diesen Posten bereitstellen	REVISED_SHARED_17
17	H2-S001	H2	f10r	chor	MC080	Arbeitsansatz	REVISED_SHARED_17
18	H2-S001	H2	f10r	cthaiin	MC169	bereit+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD
19	H2-S001	H2	f10r	qoctholy	MC115	bereit+weiter+Posten	UNCHANGED_LEARNED_SECTION_CARD
20	H2-S001	H2	f10r	dy	MC123	dieser Posten	REVISED_SHARED_17
21	H2-S001	H2	f10r	chy	MC123	dieser Posten	REVISED_SHARED_17
22	H2-S001	H2	f10r	taiin	MC039	Sollmaß	REVISED_SHARED_17
23	H2-S001	H2	f10r	shy	MC123	dieser Posten	REVISED_SHARED_17
24	H2-S002	H2	f10r	qotchor	MC013	nächster Arbeitsansatz	REVISED_EXTENSION_CORE_24
25	H2-S002	H2	f10r	chor	MC080	Arbeitsansatz	REVISED_SHARED_17
26	H2-S002	H2	f10r	otol	MC053	danach+weiter	UNCHANGED_LEARNED_SECTION_CARD
27	H2-S002	H2	f10r	chol	MC153	weiter	REVISED_SHARED_17
28	H2-S002	H2	f10r	cholor	MC157	damit weiter	REVISED_SHARED_17
29	H2-S002	H2	f10r	chol	MC153	weiter	REVISED_SHARED_17
30	H2-S002	H2	f10r	daiin	MC039	Sollmaß	REVISED_SHARED_17
31	H2-S002	H2	f10r	dar	MC055	davon	REVISED_SHARED_17
32	H2-S003	H2	f10r	oykchor	MC027	Posten+bearbeiten+Ansatz	UNCHANGED_LEARNED_SECTION_CARD
33	H2-S003	H2	f10r	shor	MC080	Arbeitsansatz	REVISED_SHARED_17
34	H2-S003	H2	f10r	chor	MC080	Arbeitsansatz	REVISED_SHARED_17
35	H2-S003	H2	f10r	chy	MC123	dieser Posten	REVISED_SHARED_17
36	H2-S003	H2	f10r	kaiiin	MC048	Stufe	UNCHANGED_LEARNED_SECTION_CARD
37	H2-S003	H2	f10r	dy	MC123	dieser Posten	REVISED_SHARED_17
38	H2-S003	H2	f10r	chodaiin	MC087	Zutat+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD
39	H3-S001	H3	f11r	tshol	MC098	Zutat+abführen	UNCHANGED_LEARNED_SECTION_CARD
40	H3-S001	H3	f11r	schoal	MC049	Zutat+Ziel	UNCHANGED_LEARNED_SECTION_CARD
41	H3-S001	H3	f11r	cfhy	MC129	auswringen+Posten	UNCHANGED_LEARNED_SECTION_CARD
42	H3-S001	H3	f11r	shfydaiin	MC111	halten+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD
43	H3-S001	H3	f11r	cphy	MC156	nachseihen+Posten	UNCHANGED_LEARNED_SECTION_CARD
44	H3-S001	H3	f11r	shey	MC119	Klarlauf	REVISED_SHARED_17
45	H3-S001	H3	f11r	tchody	MC037	Zutat+Schluss	UNCHANGED_LEARNED_SECTION_CARD
46	H3-S002	H3	f11r	shoyty	MC062	Zutat+Posten+Teil	UNCHANGED_LEARNED_SECTION_CARD
47	H3-S003	H3	f11r	dchol	MC142	vom vorigen Posten	REVISED_EXTENSION_CORE_24
48	H3-S003	H3	f11r	chy	MC123	dieser Posten	REVISED_SHARED_17
49	H3-S003	H3	f11r	kchy	MC117	bearbeiten+Posten	UNCHANGED_LEARNED_SECTION_CARD
50	H3-S003	H3	f11r	dy	MC123	dieser Posten	REVISED_SHARED_17
51	H3-S003	H3	f11r	daiin	MC039	Sollmaß	REVISED_SHARED_17
52	H3-S004	H3	f11r	qotchy	MC107	danach+Posten	UNCHANGED_LEARNED_SECTION_CARD
53	H3-S004	H3	f11r	okchol	MC041	ansetzen+weiter	UNCHANGED_LEARNED_SECTION_CARD
54	H3-S004	H3	f11r	cthy	MC161	diesen Posten bereitstellen	REVISED_SHARED_17
55	H3-S004	H3	f11r	dy	MC123	dieser Posten	REVISED_SHARED_17
56	H4-S001	H4	f55v	qokaiin	MC120	auf Sollmaß stellen	REVISED_SHARED_17
57	H4-S001	H4	f55v	chaiin	MC039	Sollmaß	REVISED_SHARED_17
58	H4-S001	H4	f55v	ykain	MC047	Posten+Anteil	UNCHANGED_LEARNED_SECTION_CARD
59	H4-S001	H4	f55v	ykan	MC148	Posten+Anteil	UNCHANGED_LEARNED_SECTION_CARD
60	H4-S001	H4	f55v	ody	MC100	kühlen	UNCHANGED_LEARNED_SECTION_CARD
61	H4-S002	H4	f55v	daiin	MC039	Sollmaß	REVISED_SHARED_17
62	H4-S002	H4	f55v	chedy	MC074	diesen Posten übertragen	REVISED_SHARED_17
63	H4-S002	H4	f55v	talam	MC160	Ziel+verwahren	UNCHANGED_LEARNED_SECTION_CARD
64	H4-S003	H4	f55v	ykaiin	MC170	Posten+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD
