event_serial	statement_id	record_unit_id	page	section	visible_surface	master_card_id	old_short_default_de	revised_short_default_de	continuous_statement_context_de
11	H1-S002	H1	f10r	HERBAL	qokchy	MC103	ansetzen+Posten	diesen Posten weiterbearbeiten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
24	H2-S002	H2	f10r	HERBAL	qotchor	MC013	danach+Ansatz	nächster Arbeitsansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
47	H3-S003	H3	f11r	HERBAL	dchol	MC142	vorher	vom vorigen Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
75	H5-S001	H5	f56r	HERBAL	cho	MC034	Zutat	weitere Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
78	H5-S001	H5	f56r	HERBAL	sho	MC034	Zutat	weitere Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
80	H5-S001	H5	f56r	HERBAL	otchor	MC013	danach+Ansatz	nächster Arbeitsansatz	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
83	H5-S002	H5	f56r	HERBAL	schol	MC142	vorher	vom vorigen Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
88	H5-S003	H5	f56r	HERBAL	cho	MC034	Zutat	weitere Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
91	H5-S004	H5	f56r	HERBAL	okchy	MC103	ansetzen+Posten	diesen Posten weiterbearbeiten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
94	H5-S005	H5	f56r	HERBAL	sho	MC034	Zutat	weitere Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
95	H5-S005	H5	f56r	HERBAL	chokchy	MC103	ansetzen+Posten	diesen Posten weiterbearbeiten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
101	B1-S001	B1	f81v	BIO	qokedy	MC083	ansetzen+kurz+Schluss	kurz einwirken; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
107	B1-S002	B1	f81v	BIO	kain	MC105	Anteil	einen Anteil	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
112	B1-S002	B1	f81v	BIO	dl	MC012	Zusatz	Zusatz	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
119	B1-S002	B1	f81v	BIO	chckhy	MC035	Durchlass+Posten	durchführen	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
