master_card_id	master_form	registered_surfaces	semantic_atoms	current_short_default_de	current_layer	event_count	records
MC001	chdal	chdal	CHD+AL	umsetzen+Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	B5
MC002	okeey	okeey|qokeey	OK+EE+Y	länger einwirken	REVISED_EXTENSION_CORE_24	7	B1|B2|B3|B4
MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen+länger+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC004	ldy	ldy	L+CLOSE	abziehen; schließen	REVISED_EXTENSION_CORE_24	2	B2|B3
MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	einsetzen, übertragen; schließen	REVISED_EXTENSION_CORE_24	2	B1|B3
MC006	chokcheo	chokcheo	OK+CHEO	ansetzen+Auszug	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC007	okey	okey|qokey	OK+E+Y	kurz einwirken	REVISED_EXTENSION_CORE_24	2	B1|B2
MC008	lchy	lchy	L+Y	abführen+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC009	chary	chary	AR+Y	Quelle+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC010	chodaly	chodaly	HO+AL+Y	Zutat+Ziel+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC011	lchedar	lchedar	L+CHD+AR	abführen+umsetzen+Quelle	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC012	dl	dl	LOCAL_WHOLE	Zusatz	REVISED_EXTENSION_CORE_24	2	B1
MC013	otchor	otchor|qotchor	OT+OR	nächster Arbeitsansatz	REVISED_EXTENSION_CORE_24	2	H2|H5
MC014	chair	chair	AIR	Lauf	UNCHANGED_LEARNED_SECTION_CARD	1	H1
MC015	qokokchy	qokokchy	OK+OK+Y	ansetzen+ansetzen+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC016	rol	rol	OL	weiter	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC017	okain	okain|qokain	OK+AIN	einen Anteil zugeben	REVISED_EXTENSION_CORE_24	7	B1|B2|B3|B4
MC018	qotedaiin	qotedaiin	OT+E+AIIN	danach+kurz+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC019	oldy	oldy	OL+CLOSE	fortsetzen; abschließen	REVISED_SHARED_17	2	B4|H4
MC020	solkeey	solkeey	SOLK+EE+Y	sammeln+länger+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B6
MC021	oltchy	oltchy	OL+CTH+Y	weiter+bereit+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H4
MC022	chckhal	chckhal	CKH+AL	Durchlass+Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC023	kair	kair	AIR	Lauf	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC024	qokol	qokol	OK+OL	ansetzen+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC025	dchedy	dchedy|schedy|tchedy	CHD+CLOSE	übertragen; schließen	REVISED_EXTENSION_CORE_24	4	B1|B2|B3
MC026	choky	choky|oky|qoky	OK+Y	diesen Posten einsetzen	REVISED_SHARED_17	10	B1|B2|B3|B4|H1|H5
MC027	oykchor	oykchor	Y+KCH+OR	Posten+bearbeiten+Ansatz	UNCHANGED_LEARNED_SECTION_CARD	1	H2
MC028	olchedy	olchedy|qolchedy	OL+CHD+CLOSE	weiter übertragen; schließen	REVISED_EXTENSION_CORE_24	3	B1|B2|B3
MC029	lar	lar	L+AR	abführen+Quelle	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC030	lo	lo	L	abführen	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC031	dalchdy	dalchdy	AL+CHD+CLOSE	Ziel+umsetzen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC032	cheeky	cheeky	CHK+EE+Y	länger bearbeiten	REVISED_SHARED_17	2	B4|H4
MC033	oiiin	oiiin|soiiin	IIN	Stufe	UNCHANGED_LEARNED_SECTION_CARD	2	B1|B3
MC034	cho	cho|sho	HO	weitere Zutat	REVISED_EXTENSION_CORE_24	4	H5
MC035	chckhy	chckhy|shckhy	CKH+Y	durchführen	REVISED_EXTENSION_CORE_24	4	B1|B2
MC036	solkaiin	solkaiin	SOLK+AIIN	sammeln+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC037	tchody	tchody	HO+CLOSE	Zutat+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC038	lshedy	lshedy	WASH+CLOSE	waschen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	2	B1
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	Sollmaß	REVISED_SHARED_17	20	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5
MC040	okal	okal|qokal	OK+AL	dorthin einsetzen	REVISED_SHARED_17	6	B1|B2|B3|H4
MC041	okchol	okchol	OK+OL	ansetzen+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC042	cheedar	cheedar	CHD+AR	umsetzen+Quelle	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC043	shecthedchy	shecthedchy	CTH+CHD+Y	bereit+umsetzen+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC044	qokar	qokar	OK+AR	ansetzen+Quelle	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC045	olkeedy	olkeedy|solkeedy	SOLK+EE+CLOSE	länger auffangen; schließen	REVISED_EXTENSION_CORE_24	3	B1|B3
MC046	raly	raly	AL+Y	Ziel+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B6
MC047	ykain	ykain	Y+AIN	Posten+Anteil	UNCHANGED_LEARNED_SECTION_CARD	1	H4
MC048	kaiiin	kaiiin	IIN	Stufe	UNCHANGED_LEARNED_SECTION_CARD	1	H2
MC049	schoal	schoal	HO+AL	Zutat+Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC050	solkey	solkey	SOLK+E+Y	sammeln+kurz+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC051	lchedal	lchedal	L+CHD+AL	abführen+umsetzen+Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC052	qekey	qekey	KCH+E+Y	bearbeiten+kurz+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B6
MC053	otol	otol	OT+OL	danach+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	H2
MC054	qokaly	qokaly	OK+AL+Y	ansetzen+Ziel+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC055	char	char|dar|sar	AR	davon	REVISED_SHARED_17	5	B1|B2|B3|H1|H2
MC056	ral	ral	AL	Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC057	otchedy	otchedy|qotchedy	OT+CHD+CLOSE	danach+umsetzen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	2	B3
MC058	sheckhal	sheckhal	CKH+E+AL	Durchlass+kurz+Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC059	dain	dain	DAIN	Tuch	UNCHANGED_LEARNED_SECTION_CARD	2	B4|B6
MC060	otaiin	otaiin|sotaiin	OT+AIIN	nächstes Sollmaß	REVISED_EXTENSION_CORE_24	3	B2|B3
MC061	sshkchdy	sshkchdy	SH+KCH+CHD+CLOSE	halten+bearbeiten+umsetzen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC062	shoyty	shoyty	HO+Y+TY	Zutat+Posten+Teil	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC063	oteey	oteey	OT+EE+Y	danach+länger+Posten	UNCHANGED_LEARNED_SECTION_CARD	2	B2
MC064	chedchy	chedchy	CHD+Y	umsetzen+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC065	ls	ls	L	abführen	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC066	lcheey	lcheey	L+CHEEY	abführen+Ergebnis	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC067	otchdy	otchdy	OT+CHD+CLOSE	danach+umsetzen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B5
MC068	sotodan	sotodan	OT+DAN	danach+anwenden	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC069	otytchol	otytchol	OT+TY+OL	danach+Teil+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	H1
MC070	pchedy	pchedy	P+CHD+CLOSE	zuführen+umsetzen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC071	dchey	dchey	DCHE+Y	Wurzel+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H1
MC072	orain	orain	OR+AIN	Ansatz+Anteil	UNCHANGED_LEARNED_SECTION_CARD	1	H4
MC073	qcthey	qcthey|shcthey	CTH+E+Y	bereit+kurz+Posten	UNCHANGED_LEARNED_SECTION_CARD	2	B2|B3
MC074	chdy	chdy|chedy	CHD+Y	diesen Posten übertragen	REVISED_SHARED_17	11	B1|B3|B4|B5|H4
