statement_id	record_unit_id	page	literal_current_card_reading_de	fluent_context_de
H1-S001	H1	f10r	Wurzel+Posten | bereit+Ansatz | davon | einen Teil abtrennen | Gefäß | Lauf | danach+Teil+weiter | diesen Posten einsetzen | Sollmaß | kurz+Teil	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
H1-S002	H1	f10r	diesen Posten weiterbearbeiten | danach+weiter | weiter | diesen Posten bereitstellen	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
H2-S001	H2	f10r	Posten+Auszug+Ansatz | diesen Posten bereitstellen | Arbeitsansatz | bereit+Sollmaß | bereit+weiter+Posten | dieser Posten | dieser Posten | Sollmaß | dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
H2-S002	H2	f10r	nächster Arbeitsansatz | Arbeitsansatz | danach+weiter | weiter | damit weiter | weiter | Sollmaß | davon	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
H2-S003	H2	f10r	Posten+bearbeiten+Ansatz | Arbeitsansatz | Arbeitsansatz | dieser Posten | Stufe | dieser Posten | Zutat+Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
H3-S001	H3	f11r	Zutat+abführen | Zutat+Ziel | auswringen+Posten | halten+Sollmaß | nachseihen+Posten | Klarlauf | Zutat+Schluss	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
H3-S002	H3	f11r	Zutat+Posten+Teil	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
H3-S003	H3	f11r	vom vorigen Posten | dieser Posten | bearbeiten+Posten | dieser Posten | Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
H3-S004	H3	f11r	danach+Posten | ansetzen+weiter | diesen Posten bereitstellen | dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
H4-S001	H4	f55v	auf Sollmaß stellen | Sollmaß | Posten+Anteil | Posten+Anteil | kühlen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
H4-S002	H4	f55v	Sollmaß | diesen Posten übertragen | Ziel+verwahren	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
H4-S003	H4	f55v	Posten+Sollmaß | Auszug+Quelle | länger bearbeiten | fortsetzen; abschließen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
H4-S004	H4	f55v	Sollmaß | dorthin einsetzen | weiter+bereit+Posten | Arbeitsansatz | dieser Posten | Ansatz+Anteil	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
H5-S001	H5	f56r	Zutat+Ansatz | weitere Zutat | Zutat+Ziel+Posten | Sollmaß | weitere Zutat | bearbeiten+weiter | nächster Arbeitsansatz | diesen Posten einsetzen | dorthin	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
H5-S002	H5	f56r	vom vorigen Posten | Zutat+Posten | diesen Posten einsetzen | länger+Durchlass+Zutat+Schluss	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
H5-S003	H5	f56r	halten | weitere Zutat | bearbeiten+kurz+Posten | ansetzen+ansetzen+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
H5-S004	H5	f56r	diesen Posten weiterbearbeiten | ansetzen+Auszug | bearbeiten+Ziel	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
H5-S005	H5	f56r	weitere Zutat | diesen Posten weiterbearbeiten | Auszug+Quelle | danach+anwenden	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
H5-S006	H5	f56r	der nächste Posten | kurz+weiter | Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
B1-S001	B1	f81v	kurz einwirken; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S002	B1	f81v	auf Sollmaß stellen | Lauf | dorthin einsetzen | davon | weiter | einen Anteil | weiter+Anteil | dorthin | weiter | weiter | Zusatz | damit weiter | weiter | Durchlass+kurz+Ziel | Sollmaß | ansetzen+länger+Ziel | Sollmaß | durchführen | übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
B1-S003	B1	f81v	weiter | halten+bearbeiten+umsetzen+Schluss	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
B1-S004	B1	f81v	diesen Posten übertragen | weiter | kurz absetzen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
B1-S005	B1	f81v	weiter übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe
B1-S006	B1	f81v	einen Anteil zugeben | durchführen | Zusatz | Ziel	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.
B1-S007	B1	f81v	einsetzen, übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe
B1-S008	B1	f81v	dieser Posten | weiter | kurz wärmen | weiter | kurz absetzen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
B1-S009	B1	f81v	kurz einwirken; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S010	B1	f81v	kurz einwirken; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S011	B1	f81v	durchführen | diesen Posten einsetzen	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an
B1-S012	B1	f81v	waschen | kurz einwirken | waschen+Schluss	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe
B1-S013	B1	f81v	waschen+Schluss	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe
B1-S014	B1	f81v	diesen Posten übertragen | weiter | abführen+umsetzen+Ziel | weiter | danach+Quelle	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
B1-S015	B1	f81v	Posten+kurz+Teil | einsetzen, übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
B1-S016	B1	f81v	dorthin einsetzen | länger einwirken | weiter | kurz absetzen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
B1-S017	B1	f81v	dorthin | kurz+weiter | umsetzen+Schluss	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
B1-S018	B1	f81v	abführen+Posten | halten+kurz+weiter | Stufe | länger auffangen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.
B1-S019	B1	f81v	kurz absetzen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe
B1-S020	B1	f81v	kurz wärmen | seihen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe
B1-S021	B1	f81v	dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
B2-S001	B2	f82r	übertragen; schließen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.
B2-S002	B2	f82r	weiter übertragen; schließen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.
B2-S003	B2	f82r	einen Anteil zugeben | dieser Posten | länger einwirken; schließen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.
B2-S004	B2	f82r	dorthin einsetzen | abführen+Durchlass+Posten | abführen+umsetzen | länger einwirken | abführen+trennen+Schluss	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.
B2-S005	B2	f82r	ansetzen+Ziel+Posten | sammeln+Sollmaß | durchführen | auf Sollmaß stellen | auf Sollmaß stellen | bereit+weiter | wärmen+länger+Posten | abziehen; schließen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
