section	master_card_id	master_form	registered_surfaces	semantic_atoms	event_count	records	old_short_default_de	revised_short_default_de	concrete_rival_a	concrete_rival_b
BIO	MC128	cheedy	cheedy|shedy|tedy	SHED+E+CLOSE	12	B1|B2|B3|B4	absetzen+kurz+Schluss	kurz absetzen; schließen	ruhen lassen	kurz warten
BIO	MC082	qokeedy	qokeedy	OK+EE+CLOSE	10	B2|B3|B4	ansetzen+länger+Schluss	länger einwirken; schließen	länger baden	länger bearbeiten
BIO	MC083	qokedy	qokedy	OK+E+CLOSE	8	B1|B3|B4	ansetzen+kurz+Schluss	kurz einwirken; schließen	kurz baden	kurz bearbeiten
BIO	MC155	lchedy	lchedy	L+CHD+CLOSE	8	B2|B3|B4	abführen+umsetzen+Schluss	abführen; schließen	ablassen	zum Auslass führen
BIO	MC002	okeey	okeey|qokeey	OK+EE+Y	7	B1|B2|B3|B4	ansetzen+länger+Posten	länger einwirken	länger halten	länger baden
BIO	MC017	okain	okain|qokain	OK+AIN	7	B1|B2|B3|B4	ansetzen+Anteil	einen Anteil zugeben	Portion nehmen	Anteil einsetzen
BIO	MC025	dchedy	dchedy|schedy|tchedy	CHD+CLOSE	4	B1|B2|B3	umsetzen+Schluss	übertragen; schließen	umfüllen	weitergeben
BIO	MC035	chckhy	chckhy|shckhy	CKH+Y	4	B1|B2	Durchlass+Posten	durchführen	durch den Gang leiten	durchseihen
BIO	MC028	olchedy	olchedy|qolchedy	OL+CHD+CLOSE	3	B1|B2|B3	weiter+umsetzen+Schluss	weiter übertragen; schließen	weiterführen	weiter umfüllen
BIO	MC045	olkeedy	olkeedy|solkeedy	SOLK+EE+CLOSE	3	B1|B3	sammeln+länger+Schluss	länger auffangen; schließen	länger sammeln	länger halten
BIO	MC060	otaiin	otaiin|sotaiin	OT+AIIN	3	B2|B3	danach+Sollmaß	nächstes Sollmaß	Folgemaß	zweites Maß
BIO	MC088	qokchdy	qokchdy	OK+CHD+CLOSE	3	B1|B3|B5	ansetzen+umsetzen+Schluss	einsetzen, übertragen; schließen	umsetzen	Arbeitsgang wechseln
BIO	MC093	otal	otal|qotal	OT+AL	3	B3|B4	danach+Ziel	danach dorthin	zum nächsten Ziel	von dort weiter
BIO	MC105	chkain	chkain|kain	AIN	3	B1|B3|B4	Anteil	einen Anteil	Portion	Teilcharge
BIO	MC143	shckhedy	shckhedy	CKHE+CLOSE	3	B1|B4	trennen+Schluss	seihen; schließen	abtrennen	Durchlass schließen
BIO	MC147	cheky	cheky	CHK+E+Y	3	B1|B4	wärmen+kurz+Posten	kurz wärmen	handwarm machen	kurz halten
BIO	MC004	ldy	ldy	L+CLOSE	2	B2|B3	abführen+Schluss	abziehen; schließen	ablassen	entnehmen
BIO	MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	2	B1|B3	ansetzen+umsetzen+Schluss	einsetzen, übertragen; schließen	umfüllen	neuen Lauf beginnen
BIO	MC007	okey	okey|qokey	OK+E+Y	2	B1|B2	ansetzen+kurz+Posten	kurz einwirken	kurz baden	kurz bearbeiten
BIO	MC012	dl	dl	LOCAL_WHOLE	2	B1	Zusatz	Zusatz	weitere Portion	Hilfsstoff
HERBAL	MC034	cho	cho|sho	HO	4	H5	Zutat	weitere Zutat	Pflanzenstoff	Bindestoff
HERBAL	MC103	chokchy	chokchy|okchy|qokchy	OK+Y	3	H1|H5	ansetzen+Posten	diesen Posten weiterbearbeiten	wieder aufnehmen	Flüssigkeit zugeben
HERBAL	MC013	otchor	otchor|qotchor	OT+OR	2	H2|H5	danach+Ansatz	nächster Arbeitsansatz	danach	zweite Zubereitung
HERBAL	MC142	dchol	dchol|schol	DCHOL	2	H3|H5	vorher	vom vorigen Posten	davon	derselbe Pflanzenstoff
