action_register_cell_id	card_id	frozen_frame	action_root	action_recipe	register	event_count	page_count	pages	observed_clause_form_count	observed_clauses_de	observed_not_invented
G492-ARC01	G492-CARD01	@ACTION+AL+Y	OK	OK+AL+Y	BIOLOGICAL	3	3	f76r|f77r|f82r	1	Setze den Stationsposten im Stationsgang an; zur Zielstation.	YES
G492-ARC02	G492-CARD01	@ACTION+AL+Y	OK	OK+AL+Y	CELESTIAL	2	1	f72r	1	Setze den Positionsposten; zur Zielposition.	YES
G492-ARC03	G492-CARD01	@ACTION+AL+Y	CH	CH+AL+Y	BIOLOGICAL	1	1	f76r	1	Entnimm den Stationsposten; zur Zielstation.	YES
G492-ARC04	G492-CARD01	@ACTION+AL+Y	CH	CH+AL+Y	PHARMA	2	2	f88v|f89r	1	Nimm den Drogenposten; zum Zielgefäß.	YES
G492-ARC05	G492-CARD01	@ACTION+AL+Y	T	T+AL+Y	CELESTIAL	1	1	f72r	1	Stelle den Positionsposten ein; zur Zielposition.	YES
G492-ARC06	G492-CARD01	@ACTION+AL+Y	R	R+AL+Y	BIOLOGICAL	1	1	f83r	1	Markiere den Stationsposten; zur Zielstation.	YES
G492-ARC07	G492-CARD02	@ACTION+CH+E+Y	OK	OK+CH+E+Y	HERBAL	1	1	f56r	1	Setze den Pflanzenposten im Arbeitsgang an und nimm den Pflanzenposten; auf Grad I.	YES
G492-ARC08	G492-CARD02	@ACTION+CH+E+Y	K	K+CH+E+Y	HERBAL	1	1	f56r	1	Gib den Pflanzenposten zu und nimm den Pflanzenposten; auf Grad I.	YES
G492-ARC09	G492-CARD02	@ACTION+CH+E+Y	S	S+CH+E+Y	HERBAL	1	1	f56r	1	Wähle den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	YES
G492-ARC10	G492-CARD02	@ACTION+CH+E+Y	T	T+CH+E+Y	SOURCE_SECTION_T	1	1	f1r	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	YES
G492-ARC11	G492-CARD02	@ACTION+CH+E+Y	R	R+CH+E+Y	BIOLOGICAL	1	1	f82r	1	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	YES
G492-ARC12	G492-CARD03	@ACTION+OR+Y	SH	SH+OR+Y	SOURCE_SECTION_T	1	1	f1r	1	Halte die Eintragseinheit und den laufenden Eintrag fest.	YES
G492-ARC13	G492-CARD03	@ACTION+OR+Y	S	S+OR+Y	SOURCE_SECTION_T	1	1	f1r	1	Wähle die Eintragseinheit und den laufenden Eintrag.	YES
G492-ARC14	G492-CARD03	@ACTION+OR+Y	T	T+OR+Y	HERBAL	1	1	f13r	1	Stelle die Arbeitseinheit und den Pflanzenposten ein.	YES
G492-ARC15	G492-CARD03	@ACTION+OR+Y	R	R+OR+Y	BIOLOGICAL	1	1	f76r	1	Markiere die Stationseinheit und den Stationsposten.	YES
G492-ARC16	G492-CARD04	CH+@ACTION	K	CH+K	BIOLOGICAL	1	1	f76r	1	Entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu.	YES
G492-ARC17	G492-CARD04	CH+@ACTION	S	CH+S	CELESTIAL	1	1	f72r	1	Nimm den Positionswert [wie zuvor] auf und wähle den Positionswert [wie zuvor].	YES
G492-ARC18	G492-CARD04	CH+@ACTION	T	CH+T	HERBAL	1	1	f10r	1	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	YES
G492-ARC19	G492-CARD04	CH+@ACTION	R	CH+R	BIOLOGICAL	1	1	f77r	1	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	YES
