slot_cell_id	root	portable_default_de	structural_category	register	owner_local_expansion_de	mention_count	event_count	page_count	owner_class_count	owner_count	sample_pages	source_atlas	observed_old_slot_cell
G492-SC01	T	EINSTELLEN	HANDLUNG	SOURCE_SECTION_T	FESTLEGEN	27	27	1	1	4	f1r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC02	T	EINSTELLEN	HANDLUNG	HERBAL	ARBEITSSTUFE EINSTELLEN	103	103	9	4	9	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f95v	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC03	T	EINSTELLEN	HANDLUNG	BIOLOGICAL	STATIONSWERT EINSTELLEN	106	105	7	3	14	f75r|f76r|f77r|f81r|f81v|f82r|f83r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC04	T	EINSTELLEN	HANDLUNG	CELESTIAL	WERT EINSTELLEN	38	38	4	3	13	f67r2|f68r1|f71v|f72r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC05	T	EINSTELLEN	HANDLUNG	PHARMA	ANSATZWERT EINSTELLEN	22	22	3	2	9	f88r|f88v|f89r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC06	R	MARKIEREN	HANDLUNG	SOURCE_SECTION_T	KENNZEICHNEN	6	6	1	1	3	f1r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC07	R	MARKIEREN	HANDLUNG	HERBAL	TEIL MARKIEREN	14	14	7	4	7	f10r|f17r|f18r|f24v|f55v|f56r|f95v	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC08	R	MARKIEREN	HANDLUNG	BIOLOGICAL	STATION MARKIEREN	61	61	7	3	13	f75r|f76r|f77r|f81r|f81v|f82r|f83r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC09	R	MARKIEREN	HANDLUNG	CELESTIAL	POSITION MARKIEREN	14	14	4	3	6	f67r2|f68r1|f71v|f72r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC10	R	MARKIEREN	HANDLUNG	PHARMA	POSTEN MARKIEREN	19	19	3	2	7	f88r|f88v|f89r	GDT415_REGISTER_EXPANSION_ATLAS	YES
