slot_occurrence_id	card_id	frozen_frame	slot_ordinal	frame_token	t_root	r_root	portable_value_pair_de	t_register	r_register	t_owner_local_expansion_de	r_owner_local_expansion_de	t_register_event_support	r_register_event_support	slot_relation	both_slot_cells_observed	new_slot_value_required
G492-S01	G492-CARD01	@ACTION+AL+Y	1	@ACTION	T	R	EINSTELLEN ↔ MARKIEREN	CELESTIAL	BIOLOGICAL	WERT EINSTELLEN	STATION MARKIEREN	38	61	ACTION_CONTRAST_WITH_OWNER_LOCAL_REALIZATIONS	YES	NO
G492-S02	G492-CARD01	@ACTION+AL+Y	2	AL	AL	AL	ZIELORT	CELESTIAL	BIOLOGICAL	ZIELPOSITION	ZIELSTATION	71	177	OWNER_LOCAL_REALIZATION_OF_SAME_PORTABLE_VALUE	YES	NO
G492-S03	G492-CARD01	@ACTION+AL+Y	3	Y	Y	Y	POSTEN	CELESTIAL	BIOLOGICAL	POSITIONSPOSTEN	STATIONSPOSTEN	168	804	OWNER_LOCAL_REALIZATION_OF_SAME_PORTABLE_VALUE	YES	NO
G492-S04	G492-CARD02	@ACTION+CH+E+Y	1	@ACTION	T	R	EINSTELLEN ↔ MARKIEREN	SOURCE_SECTION_T	BIOLOGICAL	FESTLEGEN	STATION MARKIEREN	27	61	ACTION_CONTRAST_WITH_OWNER_LOCAL_REALIZATIONS	YES	NO
G492-S05	G492-CARD02	@ACTION+CH+E+Y	2	CH	CH	CH	NEHMEN	SOURCE_SECTION_T	BIOLOGICAL	ENTNEHMEN	POSTEN ENTNEHMEN	57	255	OWNER_LOCAL_REALIZATION_OF_SAME_PORTABLE_VALUE	YES	NO
G492-S06	G492-CARD02	@ACTION+CH+E+Y	3	E	E	E	GRAD I	SOURCE_SECTION_T	BIOLOGICAL	GRAD I	GRAD I	32	548	REGISTER_STABLE_REALIZATION	YES	NO
G492-S07	G492-CARD02	@ACTION+CH+E+Y	4	Y	Y	Y	POSTEN	SOURCE_SECTION_T	BIOLOGICAL	LAUFENDER EINTRAG	STATIONSPOSTEN	70	804	OWNER_LOCAL_REALIZATION_OF_SAME_PORTABLE_VALUE	YES	NO
G492-S08	G492-CARD03	@ACTION+OR+Y	1	@ACTION	T	R	EINSTELLEN ↔ MARKIEREN	HERBAL	BIOLOGICAL	ARBEITSSTUFE EINSTELLEN	STATION MARKIEREN	103	61	ACTION_CONTRAST_WITH_OWNER_LOCAL_REALIZATIONS	YES	NO
G492-S09	G492-CARD03	@ACTION+OR+Y	2	OR	OR	OR	EINHEIT	HERBAL	BIOLOGICAL	ARBEITSEINHEIT	STATIONSEINHEIT	95	79	OWNER_LOCAL_REALIZATION_OF_SAME_PORTABLE_VALUE	YES	NO
G492-S10	G492-CARD03	@ACTION+OR+Y	3	Y	Y	Y	POSTEN	HERBAL	BIOLOGICAL	PFLANZENPOSTEN	STATIONSPOSTEN	307	804	OWNER_LOCAL_REALIZATION_OF_SAME_PORTABLE_VALUE	YES	NO
G492-S11	G492-CARD04	CH+@ACTION	1	CH	CH	CH	NEHMEN	HERBAL	BIOLOGICAL	PFLANZENTEIL NEHMEN	POSTEN ENTNEHMEN	215	255	OWNER_LOCAL_REALIZATION_OF_SAME_PORTABLE_VALUE	YES	NO
G492-S12	G492-CARD04	CH+@ACTION	2	@ACTION	T	R	EINSTELLEN ↔ MARKIEREN	HERBAL	BIOLOGICAL	ARBEITSSTUFE EINSTELLEN	STATION MARKIEREN	103	61	ACTION_CONTRAST_WITH_OWNER_LOCAL_REALIZATIONS	YES	NO
